"Date","Changes","Max","Min","Reference.Price","Open","High","Low","Close","Average","Adjusted.Close","KLGD","GTGD","symbol"
"January, 2014","23,2  0,3 (1,31%)",25.1,20.7,22.9,22.9,23.2,22.5,23.2,22.74,54.3,"432.100","9.830.640","AAA"
"February, 2014","23,1  0 (0%)",25.4,20.8,23.1,23.3,23.5,22.8,23.1,23.04,51.9,"606.900","13.981.380","AAA"
"March, 2014","23,8  0,4 (1,71%)",25.7,21.1,23.4,24.4,24.4,23.5,23.8,23.7,61.4,"256.500","6.081.030","AAA"
"April, 2014","19,6  0,2 (1,03%)",21.3,17.5,19.4,19.3,19.6,19.1,19.6,19.33,53.6,"108.7","2.103.360","AAA"
"May, 2014","18,5  -0,4 (-2,12%)",20.7,17.1,18.9,18.7,19,18.5,18.5,18.73,41.8,"315.3","5.895.310","AAA"
"June, 2014","18  0 (0%)",19.8,16.2,18,17.9,18.1,17.8,18,17.9,42.4,"101.9","1.823.890","AAA"
"July, 2014","18,4  0,1 (0,55%)",20.1,16.5,18.3,18.4,18.5,18.2,18.4,18.39,37.9,"155.4","2.857.810","AAA"
"August, 2014","16,8  0 (0%)",18.4,15.2,16.8,16.9,16.9,16.6,16.8,16.72,5,"254.600","4.259.150","AAA"
"September, 2014","15,7  -0,1 (-0,63%)",17.3,14.3,15.8,15.8,15.9,15.6,15.7,15.73,48,"174.44","2.742.452","AAA"
"October, 2014","15,6  0,2 (1,3%)",16.9,13.9,15.4,15.5,15.6,15.3,15.6,15.5,44.7,"182.5","2.831.190","AAA"
"November, 2014","17,7  1 (5,99%)",18.3,15.1,16.7,16.8,18,16.8,17.7,17.42,49.1,"3.639.056","63.409.918","AAA"
"December, 2014","13,9  0,5 (3,73%)",14.7,12.1,13.4,13.5,14.1,13.5,13.9,13.87,47,"809.710","11.230.046","AAA"
"January, 2015","13  -0,3 (-2,26%)",14.6,12,13.3,13.3,13.4,13,13,13.21,45.4,"426.3","5.623.180","AAA"
"February, 2015","13,6  0,6 (4,62%)",14.3,11.7,13,13.1,13.7,13,13.6,13.59,50.1,"759.296","10.316.693","AAA"
"March, 2015","12,6  0,2 (1,61%)",13.6,11.2,12.4,12.4,12.7,12.3,12.6,12.48,50.1,"66.8","833.760","AAA"
"April, 2015","13  0 (0%)",14.3,11.7,13,13,13,12.9,13,12.97,47.2,"168.9","2.191.470","AAA"
"May, 2015","13,3  0 (0%)",14.6,12,13.3,13.1,13.4,13.1,13.3,13.2,48.1,"112.6","1.487.080","AAA"
"June, 2015","13  0 (0%)",14.3,11.7,13,12.9,13.1,12.9,13,12.97,46.4,"299.7","3.889.600","AAA"
"July, 2015","13,5  0 (0%)",14.8,12.2,13.5,13.5,13.7,13.3,13.5,13.56,46.9,"68.313","926.256","AAA"
"August, 2015","12,4  -0,1 (-0,8%)",13.7,11.3,12.5,12.5,12.5,12.2,12.4,12.36,39.1,"416.9","5.150.900","AAA"
"September, 2015","10,3  0 (0%)",11.3,93,10.3,10.4,10.4,10.3,10.3,10.34,58.3,"74.519","769.839","AAA"
"October, 2015","11,3  1 (9,71%)",11.3,93,10.3,10.4,11.3,10.4,11.3,11.13,59.9,"827.53","9.209.030","AAA"
"November, 2015","10,8  -0,3 (-2,7%)",12.2,10,11.1,11,11,10.8,10.8,10.86,6,"83.880","908.920","AAA"
"December, 2015","12,3  -0,2 (-1,6%)",13.7,11.3,12.5,12,12.6,12,12.3,12.46,67.1,"217.745","2.708.373","AAA"
"January, 2016","13,6  -0,6 (-4,23%)",15.6,12.8,14.2,14.3,14.3,13.3,13.6,13.81,81.1,"357.977","4.949.541","AAA"
"February, 2016","14,4  -0,2 (-1,37%)",16,13.2,14.6,14.6,16,14.4,14.4,14.55,87.4,"170.28","2.520.199","AAA"
"March, 2016","16,8  -0,7 (-4%)",19.2,15.8,17.5,17.8,17.8,16.8,16.8,17.57,10.74,"421.105","7.356.737","AAA"
"April, 2016","18,7  0 (0%)",20.5,16.9,18.7,18.7,18.8,17.5,18.7,18.64,13.22,"223.105","4.145.034","AAA"
"May, 2016","24,2  -0,6 (-2,42%)",27.2,22.4,24.8,25,25,24.1,24.2,24.42,14.7,"2.731.537","68.022.007","AAA"
