Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14,7  -0,2 (-1,34%)",15.9,13.9,14.9,14.6,14.8,14.5,14.7,14.72,15.8,4.04,59.0
"February, 2014","15,8  -0,2 (-1,25%)",17.1,14.9,16.0,16.0,16.0,15.4,15.8,15.6,17.0,3.24,50.556
"March, 2014","15,9  0 (0%)",17.0,14.8,15.9,15.9,16.2,15.9,15.9,15.99,17.1,1.02,16.307
"April, 2014","14,8  0 (0%)",15.8,13.8,14.8,0.0,0.0,0.0,14.8,0.0,15.9,9.03,133.444
"May, 2014","14,3  -0,9 (-5,92%)",16.2,14.2,15.2,14.3,14.9,14.2,14.3,14.35,15.4,3.57,51.0
"June, 2014","14,5  0 (0%)",15.5,13.5,14.5,0.0,0.0,0.0,14.5,0.0,15.6,77.776,1.104.000
"July, 2014","15  0,8 (5,63%)",15.1,13.3,14.2,15.0,15.0,15.0,15.0,15.0,16.2,10.0,38.0
"August, 2014","14,3  -0,2 (-1,38%)",15.5,13.5,14.5,14.3,14.3,14.3,14.3,14.3,15.4,2.0,29.000
"September, 2014","15,4  0 (0%)",16.4,14.4,15.4,15.4,15.4,15.0,15.4,15.26,16.6,250.0,4.0
"October, 2014","15,9  0,6 (3,92%)",16.3,14.3,15.3,15.5,15.9,15.5,15.9,15.5,17.1,2.01,31.0
"November, 2014","14,9  0,1 (0,68%)",15.8,13.8,14.8,15.0,15.0,14.7,14.9,14.7,16.1,1.75,26.0
"December, 2014","14,4  0,6 (4,35%)",14.7,12.9,13.8,14.2,14.4,14.2,14.4,14.28,15.5,800.0,11.0
"January, 2015","14,2  0,3 (2,16%)",14.8,13.0,13.9,14.3,14.3,14.0,14.2,14.02,15.3,320.0,4.0
"February, 2015","13,4  0,2 (1,52%)",14.1,12.3,13.2,13.2,13.5,13.2,13.4,13.330000000000002,16.8,11.85,158.0
"March, 2015","12,8  0 (0%)",13.6,12.0,12.8,12.7,12.8,12.7,12.8,12.7,16.0,1.61,20.0
"April, 2015","12,7  0 (0%)",13.5,11.9,12.7,12.7,12.7,12.6,12.7,12.68,15.9,80.0,1.0
"May, 2015","12,1  0 (0%)",12.9,11.3,12.1,0.0,0.0,0.0,12.1,0.0,15.2,4.0,49.0
"June, 2015","12,8  0 (0%)",13.6,12.0,12.8,12.8,12.8,12.8,12.8,12.8,16.0,10.0,15.000
"July, 2015","11,9  -0,1 (-0,83%)",12.8,11.2,12.0,11.8,12.8,11.8,11.9,11.91,14.9,1.26,15.0
