Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","13,4  0,1 (0,75%)",14.2,12.4,13.3,13.2,13.4,12.9,13.4,13.14,0.0,336.300,4.420.000
"February, 2020","14,3  0,9 (6,72%)",14.3,12.5,13.4,13.7,14.3,13.55,14.3,13.98,0.0,316.120,4.418.000
"March, 2020","23,55  1,5 (6,8%)",23.55,20.55,22.05,23.55,23.55,23.45,23.55,23.54,23.55,211.06,4.968.000
"April, 2020","16,65  -1,25 (-6,98%)",19.15,16.65,17.9,16.65,16.65,16.65,16.65,16.65,16.65,141.34,2.353.000
"May, 2020","14  0,1 (0,72%)",14.85,12.95,13.9,14.0,14.0,13.6,14.0,13.88,14.0,113.42,1.574.000
"June, 2020","11,25  -0,8 (-6,64%)",12.85,11.25,12.05,11.3,11.85,11.25,11.25,11.33,0.0,187.56,2.125.000
"July, 2020","11  0,05 (0,46%)",11.7,10.2,10.95,10.95,11.0,10.6,11.0,10.82,0.0,112.960,1.222.000
"August, 2020","13,8  -0,2 (-1,43%)",14.95,13.05,14.0,14.1,14.1,13.65,13.8,13.9,0.0,371.87,5.169.000
"September, 2020","11,55  0,05 (0,43%)",12.3,10.7,11.5,11.45,11.55,11.0,11.55,11.22,0.0,213.040,2.391.000
"October, 2020","10,65  0 (0%)",11.35,99.1,10.65,10.6,10.65,10.45,10.65,10.57,0.0,52.39,554.000
"November, 2020","13,3  0,2 (1,53%)",14.0,12.2,13.1,13.0,13.4,12.75,13.3,13.16,0.0,429.110,5.649.000
"December, 2020","20,4  0,3 (1,49%)",21.5,18.7,20.1,20.0,21.5,20.0,20.4,20.33,0.0,274.700,5.584.000
"January, 2021","30  0,1 (0,33%)",31.95,27.85,29.9,29.0,30.0,28.8,30.0,29.630000000000003,0.0,49.3,1.461.000
"February, 2021","33,2  0,45 (1,37%)",35.0,30.5,32.75,32.75,33.5,32.75,33.2,32.94,0.0,24.8,817.000
"March, 2021","46  1,05 (2,34%)",48.05,41.85,44.95,45.8,46.0,44.4,46.0,45.17,0.0,61.1,2.760.000
"April, 2021","65  -4,8 (-6,88%)",74.6,65.0,69.8,65.0,65.0,65.0,65.0,65.05,0.0,10.9,709.000
"May, 2021","44  0,65 (1,5%)",46.35,40.35,43.35,42.6,44.6,40.35,44.0,41.23,0.0,304.2,12.541.000
"June, 2021","30,3  -0,8 (-2,57%)",33.25,28.95,31.1,31.4,31.4,30.0,30.3,30.44,0.0,147.8,4.499.000
"July, 2021","20,4  0,45 (2,26%)",21.3,18.6,19.95,20.5,20.5,19.9,20.4,20.2,0.0,344.6,6.961.000
"August, 2021","19,8  -0,45 (-2,22%)",21.65,18.85,20.25,19.95,20.25,19.7,19.8,19.880000000000003,0.0,568.0,11.291.000
"September, 2021","20,95  0,05 (0,24%)",21.8,19.0,20.9,20.5,21.75,20.5,20.95,21.18,0.0,897.600,19.007.000
"October, 2021","20,05  -0,55 (-2,67%)",22.0,19.2,20.6,20.5,20.5,19.9,20.05,20.17,0.0,1.746.300,35.222.000
"November, 2021","26,5  0,45 (1,73%)",27.85,24.25,26.05,27.5,27.5,26.0,26.5,26.56,0.0,975.900,25.923.000
"December, 2021","27,5  -0,5 (-1,79%)",29.95,26.05,28.0,27.95,28.3,27.1,27.5,27.53,0.0,1.319.300,36.320.000
