Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","30,3  1,9 (6,69%)",30.3,26.5,28.4,29.0,30.3,29.0,30.3,29.65,17.169999999999998,200.0,6.0
"February, 2014","30  0,5 (1,69%)",31.5,27.5,29.5,30.0,30.0,30.0,30.0,30.0,14.02,2.02,60.6
"March, 2014","33,1  0,8 (2,48%)",34.5,30.1,32.3,31.1,33.1,30.1,33.1,30.23,15.47,310.0,9.371
"April, 2014","32,2  2 (6,62%)",32.3,28.1,30.2,29.0,32.2,29.0,32.2,30.02,15.05,3.0,90.069
"May, 2014","29,5  0 (0%)",31.5,27.5,29.5,0.0,0.0,0.0,29.5,0.0,13.78,10.0,28.0
"June, 2014","28  0,8 (2,94%)",29.1,25.3,27.2,29.0,29.0,28.0,28.0,28.02,15.87,4.11,115.0
"July, 2014","27  -1 (-3,57%)",29.9,26.1,28.0,27.5,27.5,27.0,27.0,27.05,15.3,330.0,9.0
"August, 2014",28  0 (0%),29.9,26.1,28.0,0.0,0.0,0.0,28.0,0.0,15.87,100.0,3.0
"September, 2014","27,2  0,2 (0,74%)",28.8,25.2,27.0,27.2,27.2,27.2,27.2,27.2,15.419999999999998,100.0,3.0
"October, 2014","27,8  -0,5 (-1,77%)",30.2,26.4,28.3,27.8,27.8,27.8,27.8,27.8,15.76,10.0,4.0
"November, 2014","28,4  0 (0%)",30.3,26.5,28.4,0.0,0.0,0.0,28.4,0.0,16.1,1.2,34.0
"December, 2014","31,9  -0,9 (-2,74%)",35.0,30.6,32.8,32.0,32.0,31.9,31.9,31.93,18.08,30.0,1.0
"January, 2015","34,5  0 (0%)",36.9,32.1,34.5,0.0,0.0,0.0,34.5,0.0,19.55,10.0,37.000
"February, 2015","33  -1,5 (-4,35%)",36.9,32.1,34.5,34.0,34.0,33.0,33.0,33.980000000000004,18.7,510.0,17.0
"March, 2015","32,8  -0,1 (-0,3%)",35.2,30.6,32.9,31.2,32.8,31.2,32.8,31.92,18.59,40.0,1.0
"April, 2015",33  0 (0%),35.3,30.7,33.0,0.0,0.0,0.0,33.0,0.0,18.7,50.0,2.0
"May, 2015","31  -1,5 (-4,62%)",34.7,30.3,32.5,32.0,32.0,31.0,31.0,31.06,17.57,1.11,34.0
"June, 2015","28,4  -0,1 (-0,35%)",30.4,26.6,28.5,28.4,28.4,28.4,28.4,28.4,19.2,130.0,4.0
"July, 2015","26,5  -0,3 (-1,12%)",28.6,25.0,26.8,26.5,26.5,26.5,26.5,26.5,17.919999999999998,260.0,7.0
"August, 2015","26,3  0,1 (0,38%)",28.0,24.4,26.2,26.3,26.3,26.3,26.3,26.3,16.82,780.0,21.0
"September, 2015","26,5  1,1 (4,33%)",27.1,23.7,25.4,26.5,26.5,26.5,26.5,26.5,16.56,1.03,27.0
"October, 2015","25,5  -1,5 (-5,56%)",28.8,25.2,27.0,25.5,25.5,25.5,25.5,25.5,15.01,400.0,10.0
"November, 2015","24,4  0 (0%)",26.1,22.7,24.4,0.0,0.0,0.0,24.4,0.0,14.36,20.0,153.0
"December, 2015","24,3  1,3 (5,65%)",23.0,20.0,23.0,24.3,24.3,24.3,24.3,24.3,14.26,1.5,36.0
"January, 2016","22,9  0 (0%)",24.5,21.3,22.9,22.9,22.9,22.9,22.9,22.9,13.44,10.0,1.0
"February, 2016","26,5  0,5 (1,92%)",27.8,24.2,26.0,24.8,26.5,24.8,26.5,25.910000000000004,15.55,880.0,23.0
"March, 2016","27  -0,1 (-0,37%)",28.9,25.3,27.1,27.0,27.3,26.8,27.0,26.910000000000004,15.84,4.39,118.0
"April, 2016","29,4  0,9 (3,16%)",30.4,26.6,28.5,28.7,29.4,28.7,29.4,28.910000000000004,17.509999999999998,170.0,5.0
