Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,8  0,2 (1,72%)",12.4,10.8,11.6,11.9,11.9,11.6,11.8,11.7,75.7,1.03,12.0
"February, 2014","9,9  0,1 (1,02%)",10.4,92.0,98.0,10.0,10.0,98.0,99.0,98.9,63.5,1.55,15.336
"March, 2014","10,5  -0,2 (-1,87%)",11.4,10.0,10.7,10.3,11.0,10.3,10.5,10.72,67.4,27.62,295.952
"April, 2014","10,3  0 (0%)",11.0,96.0,10.3,0.0,0.0,0.0,10.3,0.0,66.1,40.0,411
"May, 2014","9,7  0,2 (2,11%)",10.1,89.0,95.0,97.0,97.0,97.0,97.0,97.0,62.3,50.0,8.000
"June, 2014","9,3  -0,3 (-3,12%)",10.2,9.0,96.0,93.0,93.0,92.0,93.0,92.4,59.7,3.38,31.000
"July, 2014","9,5  0 (0%)",10.1,89.0,95.0,95.0,95.0,95.0,95.0,95.0,61.0,420.0,4.000
"August, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,98.0,98.0,97.0,98.0,97.6,62.9,2.83,28.000
"September, 2014","12,5  0,7 (5,93%)",12.6,11.0,11.8,12.0,12.6,11.7,12.5,12.23,80.2,60.14,736.000
"October, 2014","11,8  -0,1 (-0,84%)",12.7,11.1,11.9,11.4,11.9,11.4,11.8,11.75,75.7,3.69,43.0
"November, 2014","11,6  0 (0%)",12.4,10.8,11.6,12.0,12.0,11.6,11.6,11.65,74.5,1.33,15.0
"December, 2014","11,4  0,7 (6,54%)",11.4,10.0,10.7,11.0,11.4,11.0,11.4,11.24,73.2,446.54,4.475.000
"January, 2015","10,4  0,3 (2,97%)",10.8,94.0,10.1,10.0,10.5,10.0,10.4,10.24,73.4,1.71,18.0
"February, 2015","9,7  0 (0%)",10.3,91.0,97.0,98.0,98.0,97.0,97.0,97.5,68.5,20.0,20.0
"March, 2015","9,8  0,4 (4,26%)",10.0,88.0,94.0,98.0,98.0,98.0,98.0,98.0,69.2,60.0,1.0
"April, 2015","9,3  0 (0%)",99.0,87.0,93.0,0.0,0.0,0.0,93.0,0.0,65.6,2.1,18.0
"May, 2015","9,1  -0,3 (-3,19%)",10.0,88.0,94.0,89.0,93.0,89.0,91.0,89.2,64.2,1.11,10.000
"June, 2015","8,3  -0,5 (-5,68%)",94.0,82.0,88.0,86.0,86.0,83.0,83.0,83.9,58.6,217.02,1.780.000
"July, 2015","8,9  0 (0%)",95.0,83.0,89.0,89.0,9.0,89.0,89.0,89.0,62.8,29.05,259.0
"August, 2015","9,4  0 (0%)",10.0,88.0,94.0,0.0,0.0,0.0,94.0,0.0,69.3,10.72,98.000
"September, 2015","9,9  0 (0%)",10.5,93.0,99.0,0.0,0.0,0.0,99.0,0.0,73.0,80.11,809.111
"October, 2015","9,6  0,5 (5,49%)",97.0,85.0,91.0,96.0,96.0,96.0,96.0,96.0,70.8,520.03,4.940.000
"November, 2015","9,6  0 (0%)",10.2,9.0,96.0,93.0,96.0,93.0,96.0,93.0,70.8,3.83,36.000
"December, 2015","9,6  0,1 (1,05%)",10.1,89.0,95.0,96.0,96.0,96.0,96.0,96.0,62.1,20.01,192.0
"January, 2016","9,1  -0,1 (-1,09%)",98.0,86.0,92.0,92.0,92.0,91.0,91.0,91.0,67.1,121.86,1.121.000
"February, 2016","9,2  0 (0%)",98.0,86.0,92.0,91.0,92.0,9.0,92.0,90.4,67.8,134.0,1.269.000
"March, 2016","9,4  0 (0%)",10.0,88.0,94.0,0.0,0.0,0.0,94.0,0.0,69.3,30.0,1.0
"April, 2016","9,6  -0,4 (-4%)",10.7,93.0,10.0,96.0,96.0,96.0,96.0,96.0,77.3,36.0,342.500
"May, 2016","9,4  0 (0%)",10.0,88.0,94.0,95.0,96.0,94.0,94.0,95.2,75.7,3.06,29.0
"June, 2016","9,4  0 (0%)",10.0,88.0,94.0,0.0,0.0,0.0,94.0,0.0,75.7,3.85,34.0
"July, 2016","9,4  0 (0%)",10.0,88.0,94.0,91.0,94.0,91.0,94.0,91.0,75.7,710.0,6.0
"August, 2016",9  0 (0%),96.0,84.0,9.0,0.0,0.0,0.0,9.0,0.0,72.5,200.0,2.0
"September, 2016","9  0,1 (1,12%)",95.2,82.8,89.0,91.7,91.7,9.0,9.0,90.1,72.5,330.0,3.0
"October, 2016","8,7  0,02 (0,23%)",92.8,80.8,86.8,87.0,87.0,87.0,87.0,87.0,70.1,10.0,10.0
"November, 2016","8  -0,3 (-3,61%)",88.8,77.2,83.0,83.0,83.0,8.0,8.0,8.0,64.4,5.94,48.0
"December, 2016","8,5  0,11 (1,31%)",89.7,78.1,83.9,84.0,85.0,84.0,85.0,84.8,68.4,3.2,27.0
"January, 2017","8,5  0 (0%)",90.9,79.1,85.0,83.0,85.0,83.0,85.0,83.3,68.4,120.0,1.0
"February, 2017","9,19  -0,17 (-1,82%)",10.0,87.1,93.6,93.0,93.0,87.1,91.9,87.2,74.1,8.7,76.0
"March, 2017","8  -0,1 (-1,23%)",86.6,75.4,81.0,8.0,82.0,8.0,8.0,80.5,64.5,4.29,35.0
"April, 2017","8,4  -0,05 (-0,59%)",90.4,78.6,84.5,78.6,84.5,78.6,84.0,79.5,67.7,5.03,40.0
"May, 2017","8,6  0 (0%)",92.0,8.0,86.0,0.0,0.0,0.0,86.0,0.0,69.3,1.11,10.0
"June, 2017","8,48  0 (0%)",90.7,78.9,84.8,85.9,85.9,82.3,84.8,80.6,68.4,1.86,15.0
"July, 2017","8,56  0,56 (7%)",85.6,74.4,8.0,85.6,85.6,85.6,85.6,86.0,69.0,9.88,85.0
"August, 2017","8,54  -0,04 (-0,47%)",91.8,79.8,85.8,85.5,85.5,8.0,85.4,82.1,68.8,2.68,22.0
"September, 2017","8,4  0 (0%)",89.8,78.2,84.0,0.0,0.0,0.0,84.0,0.0,67.7,200.0,2.0
"October, 2017","8,6  0 (0%)",92.0,8.0,86.0,0.0,0.0,0.0,86.0,0.0,69.3,310.0,3.0
"November, 2017","8,67  0 (0%)",92.7,80.7,86.7,86.7,86.7,86.7,86.7,86.7,69.9,20.0,173.0
"December, 2017","8,1  -0,02 (-0,25%)",86.8,75.6,81.2,85.5,85.5,81.0,81.0,80.9,65.3,5.44,44.0
"January, 2018","7,8  -0,18 (-2,26%)",85.3,74.3,79.8,79.8,79.8,78.0,78.0,78.9,62.9,2.28,18.0
"February, 2018","8,3  0,1 (1,22%)",87.7,76.3,82.0,8.0,83.0,8.0,83.0,82.0,66.9,9.63,79.0
"March, 2018","8,4  0 (0%)",89.8,78.2,84.0,84.0,87.0,84.0,84.0,84.1,67.7,35.66,300.0
"April, 2018","9,4  0,2 (2,17%)",98.4,85.6,92.0,94.0,94.0,94.0,94.0,94.0,75.8,10.0,94.0
"May, 2018","9,95  -0,03 (-0,3%)",10.65,92.9,99.8,93.3,99.5,93.2,99.5,94.5,82.3,50.0,473.0
"June, 2018",10  0 (0%),10.7,93.0,10.0,0.0,0.0,0.0,10.0,0.0,83.4,35.0,350.000
"July, 2018","11,4  0,7 (6,54%)",11.4,99.6,10.7,11.4,11.4,11.3,11.4,11.43,95.5,5.51,63.000
"August, 2018","12  -0,2 (-1,64%)",13.05,11.35,12.2,11.5,12.2,11.5,12.0,11.47,10.15,10.03,115.0
"September, 2018","17,8  1,15 (6,91%)",17.8,15.5,16.65,17.8,17.8,17.8,17.8,17.8,15.06,53.65,955.0
"October, 2018","25,65  1,65 (6,87%)",25.65,22.35,24.0,25.65,25.65,25.65,25.65,25.65,21.7,126.75,3.251.000
"November, 2018","30  -1,85 (-5,81%)",34.05,29.65,31.85,31.45,32.0,30.0,30.0,30.76,28.360000000000003,81.49,2.507.000
"December, 2018",30  0 (0%),32.1,27.9,30.0,30.95,30.95,30.0,30.0,30.12,28.360000000000003,7.57,228.000
"January, 2019","41,15  -0,7 (-1,67%)",44.75,38.95,41.85,42.4,42.4,41.0,41.15,41.55,38.91,52.75,2.192.000
"February, 2019","39,3  -0,4 (-1,01%)",42.45,36.95,39.7,39.7,40.0,38.6,39.3,39.03,37.16,21.52,840.000
"March, 2019","36,3  -0,2 (-0,55%)",39.05,33.95,36.5,36.95,36.95,36.3,36.3,36.510000000000005,34.32,11.75,429.000
"April, 2019","42  0,4 (0,96%)",44.5,38.7,41.6,41.1,43.0,41.1,42.0,42.33,39.71,61.71,2.612.000
"May, 2019","38,5  -1,3 (-3,27%)",42.55,37.05,39.8,39.8,39.8,38.2,38.5,39.07,36.4,51.06,1.995.000
"June, 2019","38,15  0,2 (0,53%)",40.6,35.3,37.95,37.5,38.45,37.3,38.15,37.9,36.07,9.71,368.000
"July, 2019","36,5  -0,35 (-0,95%)",39.4,34.3,36.85,36.6,37.0,36.0,36.5,36.33,34.510000000000005,13.24,481.000
"August, 2019","33,8  0,6 (1,81%)",35.5,30.9,33.2,34.0,34.0,33.45,33.8,33.63,31.96,25.48,857.000
"September, 2019","33,4  0 (0%)",35.7,31.1,33.4,33.6,34.4,33.35,33.4,33.56,31.58,16.21,544.000
"October, 2019","26,3  -1,2 (-4,36%)",27.8,24.2,27.5,27.0,27.0,26.0,26.3,26.410000000000004,26.3,8.18,216.000
"November, 2019","22,5  -0,3 (-1,32%)",24.35,21.25,22.8,22.7,22.8,21.85,22.5,22.380000000000003,22.5,6.3,141.000
"December, 2019","23,2  0,05 (0,22%)",24.75,21.55,23.15,22.05,23.3,22.05,23.2,23.14,23.2,22.77,527.0
"January, 2020","22,5  0 (0%)",24.05,20.95,22.5,21.0,23.35,21.0,22.5,22.12,22.5,9.04,200.0
"February, 2020","19,9  -0,1 (-0,5%)",21.4,18.6,20.0,19.8,19.9,19.0,19.9,19.130000000000003,19.9,16.05,307.000
"March, 2020","17,5  -0,25 (-1,41%)",18.95,16.55,17.75,17.8,17.8,17.15,17.5,17.330000000000002,17.5,750.0,13.0
"April, 2020","18,4  -0,2 (-1,08%)",19.9,17.3,18.6,18.7,18.7,17.85,18.4,18.18,18.4,37.02,673.000
"May, 2020","24,6  -0,2 (-0,81%)",26.5,23.1,24.8,25.3,25.3,24.5,24.6,24.72,24.6,55.47,1.371.000
"June, 2020","21,7  0,15 (0,7%)",23.05,20.05,21.55,21.55,21.9,21.55,21.7,21.7,0.0,37.14,806.000
