Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"December, 2019","90,9  0,02 (0,02%)",10.4,77.0,90.5,89.5,91.5,88.5,90.9,90.52,90.9,18.9,1.710.860
"January, 2020","90,5  0,31 (0,34%)",10.39,76.9,90.4,90.7,90.8,90.5,90.5,90.71,90.5,10.7,970.550
"February, 2020","95,2  0,3 (0,31%)",10.9,80.6,94.8,95.2,95.2,95.0,95.2,95.1,95.2,22.71,2.159.675
"March, 2020","92  -0,33 (-0,36%)",10.67,78.9,92.8,92.0,92.9,92.0,92.0,92.47,92.0,2.5,231.17
"April, 2020","95  0,47 (0,5%)",10.77,79.7,93.7,93.8,95.0,93.8,95.0,94.17,95.0,10.6,998.22
"May, 2020","107,5  -0,15 (-0,14%)",12.37,91.5,10.76,10.73,10.76,10.73,10.75,107.45,10.75,10.7,1.149.760
"June, 2020","106  1,2 (1,15%)",11.98,88.6,10.42,10.43,10.6,10.43,10.6,10.54,0.0,19.8,2.086.890
"July, 2020","47,1  -0,32 (-0,68%)",54.6,40.4,47.5,46.5,47.6,46.5,47.1,47.18,0.0,20.71,977.076
"August, 2020","51,4  0,69 (1,38%)",57.6,42.6,50.1,50.1,51.5,50.0,51.4,50.79,0.0,16.655,845.908
"September, 2020","50,7  -0,33 (-0,64%)",58.3,43.1,50.7,51.0,51.0,50.0,50.7,50.37,0.0,20.709,1.043.167
"October, 2020","55,2  -0,23 (-0,42%)",63.2,46.8,55.0,55.0,55.3,54.2,55.2,54.77,0.0,47.59,2.606.450
"November, 2020","58,7  -0,27 (-0,46%)",67.6,50.0,58.8,58.5,58.9,58.3,58.7,58.53,0.0,79.45,4.650.396
"December, 2020","67,7  0,31 (0,46%)",76.2,56.4,66.3,65.8,68.0,65.8,67.7,66.6,0.0,114.286,7.612.016
"January, 2021","58  0,33 (0,6%)",63.5,47.1,55.3,54.3,59.0,53.5,58.0,55.63,0.0,87.205,4.851.347
"February, 2021","61  0,1 (0,16%)",65.1,56.7,60.9,60.8,61.2,59.0,61.0,60.7,0.0,104.8,6.361.000
"March, 2021","56,3  -1 (-1,75%)",61.3,53.3,57.3,57.3,57.3,56.0,56.3,56.69,0.0,76.1,4.314.000
"April, 2021","61,5  0,1 (0,16%)",65.6,57.2,61.4,61.4,61.7,61.3,61.5,61.42999999999999,0.0,82.3,5.056.000
"May, 2021","50  -0,5 (-0,99%)",54.0,47.0,50.5,50.5,50.5,49.4,50.0,49.92,0.0,104.1,5.197.000
"June, 2021","48,2  0,4 (0,84%)",51.1,44.5,47.8,47.9,48.2,47.6,48.2,47.85,0.0,94.5,4.522.000
"July, 2021","47,7  0,8 (1,71%)",50.1,43.65,46.9,46.9,47.8,46.5,47.7,47.13,0.0,124.3,5.858.000
"August, 2021","41,6  0,25 (0,6%)",44.2,38.5,41.35,41.35,41.8,41.2,41.6,41.38,0.0,110.2,4.560.000
"September, 2021",42  0 (0%),44.9,39.1,42.0,42.1,42.2,41.8,42.0,42.0,0.0,121.2,5.091.000
"October, 2021","45,9  0,1 (0,22%)",49.0,42.6,45.8,46.0,46.3,45.9,45.9,46.07,0.0,113.9,5.247.000
"November, 2021","48,15  -1,85 (-3,7%)",53.5,46.5,50.0,50.3,50.8,48.15,48.15,49.48,0.0,260.1,12.871.000
"December, 2021","52,7  0,1 (0,19%)",56.2,48.95,52.6,52.6,54.0,52.4,52.7,53.19,0.0,150.3,7.995.000
