Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","21  -0,15 (-0,71%)",22.6,19.7,21.15,21.3,21.3,20.85,21.0,20.94,86.9,184.6,3.865.000
"February, 2016","20,95  -0,05 (-0,24%)",22.45,19.55,21.0,20.95,20.95,20.7,20.95,20.82,86.7,173.95,3.622.000
"March, 2016","18,85  0,1 (0,53%)",20.05,17.45,18.75,18.75,18.9,18.5,18.85,18.71,70.8,194.06,3.631.000
"April, 2016","18,95  0,1 (0,53%)",20.15,17.55,18.85,18.95,19.0,18.85,18.95,18.92,71.2,146.47,2.771.000
"May, 2016","20,45  -0,5 (-2,39%)",22.4,19.5,20.95,20.9,20.9,20.1,20.45,20.53,84.6,137.22,2.817.000
"June, 2016","14,6  0,9 (6,57%)",14.6,12.8,13.7,13.7,14.6,13.0,14.6,14.03,54.8,14.0,196.0
"July, 2016","13,9  -0,2 (-1,42%)",15.0,13.2,14.1,13.7,14.0,13.7,13.9,13.89,52.2,18.62,259.0
"August, 2016","15  0,3 (2,04%)",15.7,13.7,14.7,14.5,15.0,14.3,15.0,14.74,56.3,62.12,915.000
"September, 2016","16,8  -0,4 (-2,33%)",18.4,16.0,17.2,17.15,17.2,16.7,16.8,16.96,63.1,88.4,1.499.000
"October, 2016","18,6  1,15 (6,59%)",18.65,16.25,17.45,17.1,18.6,17.1,18.6,17.740000000000002,69.8,219.6,3.896.000
"November, 2016","21,15  -0,2 (-0,94%)",22.8,19.9,21.35,21.4,21.4,21.1,21.15,21.24,87.5,88.43,1.879.000
"December, 2016","20,65  -0,05 (-0,24%)",22.1,19.3,20.7,20.75,20.75,20.4,20.65,20.630000000000003,85.5,160.76,3.317.000
"January, 2017","22,15  0,2 (0,91%)",23.45,20.45,21.95,22.0,22.15,21.6,22.15,21.95,91.7,187.84,4.123.000
"February, 2017","22,4  -0,05 (-0,22%)",24.0,20.9,22.45,22.5,22.6,22.35,22.4,22.45,92.7,266.42,5.980.000
"March, 2017","22,3  0 (0%)",23.85,20.75,22.3,22.3,22.55,22.15,22.3,22.28,92.3,306.810,6.835.000
"April, 2017","20,8  0 (0%)",22.25,19.35,20.8,20.6,21.0,20.6,20.8,20.8,10.38,213.75,4.446.000
"May, 2017","19  -0,5 (-2,56%)",20.85,18.15,19.5,19.55,19.75,19.0,19.0,19.34,94.8,202.56,3.918.000
"June, 2017","19,5  -0,1 (-0,51%)",20.95,18.25,19.6,19.6,19.6,19.3,19.5,19.42,97.3,45.57,885.000
"July, 2017","19,5  -0,1 (-0,51%)",20.95,18.25,19.6,19.55,19.6,19.4,19.5,19.5,97.3,145.22,2.832.000
"August, 2017","19,1  0,05 (0,26%)",20.35,17.75,19.05,19.05,19.1,18.95,19.1,19.0,95.3,106.93,2.032.000
