Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","29,75  -0,45 (-1,49%)",32.3,28.1,30.2,30.15,30.15,29.75,29.75,29.910000000000004,29.75,211.69,6.332.000
"February, 2020","27,45  -0,9 (-3,17%)",30.3,26.4,28.35,28.25,28.25,27.4,27.45,27.73,27.45,167.63,4.648.000
"March, 2020","26,3  -0,05 (-0,19%)",28.15,24.55,26.35,26.35,26.45,26.3,26.3,26.39,26.3,280.0,7.389.000
"April, 2020","27,8  1,45 (5,5%)",28.15,24.55,26.35,26.5,27.8,26.3,27.8,26.56,27.8,247.51,6.575.000
"May, 2020","27,2  -0,05 (-0,18%)",29.15,25.35,27.25,27.2,27.25,26.9,27.2,27.12,27.2,269.72,7.314.000
"June, 2020","27,2  0 (0%)",29.1,25.3,27.2,26.95,27.45,26.65,27.2,26.99,0.0,983.94,25.450.500
"July, 2020","26,4  0,1 (0,38%)",28.1,24.5,26.3,26.2,26.7,26.1,26.4,26.37,0.0,406.510,10.718.000
"August, 2020","27,85  -0,3 (-1,07%)",30.1,26.2,28.15,28.0,28.0,27.7,27.85,27.83,0.0,521.82,14.520.000
"September, 2020","29,45  -0,05 (-0,17%)",31.55,27.45,29.5,29.55,29.65,29.3,29.45,29.45,0.0,711.000,20.940.000
"October, 2020","28,1  0,1 (0,36%)",29.95,26.05,28.0,27.8,28.2,27.7,28.1,27.99,0.0,546.17,15.285.000
"November, 2020","30,3  0,6 (2,02%)",31.75,27.65,29.7,29.8,30.5,29.8,30.3,30.21,0.0,1.420.040,42.893.000
"December, 2020","28,7  0,45 (1,59%)",30.2,26.3,28.25,28.2,29.2,28.1,28.7,28.45,0.0,580.980,16.529.000
"January, 2021","35,35  1 (2,91%)",36.75,31.95,34.35,31.95,35.8,31.95,35.35,34.260000000000005,0.0,1.385.000,47.473.500
"February, 2021","36  0,05 (0,14%)",38.45,33.45,35.95,35.95,36.1,35.2,36.0,35.52,0.0,3.758.600,133.482.000
"March, 2021","42,15  0,85 (2,06%)",44.15,38.45,41.3,41.3,42.3,41.3,42.15,42.05,0.0,2.023.700,83.040.550
"April, 2021","44,4  -0,2 (-0,45%)",47.7,41.5,44.6,44.6,44.65,44.0,44.4,44.27,0.0,4.350.300,188.242.000
"May, 2021","48,6  0,15 (0,31%)",51.8,45.1,48.45,48.5,48.6,48.0,48.6,48.18,0.0,2.324.200,111.236.000
"June, 2021","51,2  0,2 (0,39%)",54.5,47.45,51.0,51.1,51.7,51.0,51.2,51.260000000000005,0.0,2.995.000,150.095.000
"July, 2021","53,5  -1,9 (-3,43%)",59.2,51.6,55.4,55.0,55.1,53.5,53.5,54.32000000000001,0.0,3.733.500,203.459.300
"August, 2021","48  0,9 (1,91%)",50.3,43.85,47.1,47.2,49.4,47.0,48.0,47.63,0.0,836.900,39.863.000
"September, 2021","42,3  -0,05 (-0,12%)",45.3,39.4,42.35,42.35,42.85,42.25,42.3,42.33,0.0,263.1,11.137.000
"October, 2021","48  -0,8 (-1,64%)",52.2,45.4,48.8,49.3,49.4,48.0,48.0,48.760000000000005,0.0,950.800,46.357.000
"November, 2021","44,05  0,35 (0,8%)",46.75,40.65,43.7,43.85,45.1,43.65,44.05,44.18,0.0,681.600,30.113.000
"December, 2021","52  1,2 (2,36%)",54.3,47.25,50.8,51.3,52.3,51.1,52.0,51.99,0.0,862.400,44.838.000
