Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,5  -0,2 (-2,99%)",71.0,63.0,67.0,67.0,67.0,65.0,65.0,65.7,97.7,213.78,1.405.000
"February, 2014","5,1  0,1 (2%)",53.0,47.0,5.0,5.0,51.0,5.0,51.0,50.2,64.7,198.320,996.425
"March, 2014","8,8  -0,1 (-1,12%)",95.0,83.0,89.0,91.0,91.0,88.0,88.0,89.5,11.16,1.686.520,15.102.711
"April, 2014","7,1  -0,2 (-2,74%)",78.0,68.0,73.0,72.0,74.0,69.0,71.0,70.7,9.0,935.360,6.615.348
"May, 2014","6,6  -0,1 (-1,49%)",71.0,63.0,67.0,67.0,69.0,66.0,66.0,67.0,92.3,784.070,5.256.000
"June, 2014",7  0 (0%),74.0,66.0,7.0,7.0,71.0,69.0,7.0,69.9,97.9,1.063.140,7.436.000
"July, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,64.0,66.0,63.0,65.0,64.8,97.7,380.760,2.469.000
"August, 2014","7,1  0,1 (1,43%)",74.0,66.0,7.0,71.0,72.0,7.0,71.0,70.7,10.67,590.670,4.177.000
"September, 2014","7,5  0,1 (1,35%)",79.0,69.0,74.0,73.0,75.0,73.0,75.0,73.7,11.27,742.670,5.470.000
"October, 2014","6,7  0,2 (3,08%)",69.0,61.0,65.0,66.0,67.0,65.0,67.0,66.1,10.07,197.63,1.306.000
"November, 2014","6,7  0,1 (1,52%)",7.0,62.0,66.0,66.0,67.0,65.0,67.0,65.7,10.07,184.13,1.210.000
"December, 2014","6,1  0,2 (3,39%)",63.0,55.0,59.0,58.0,62.0,58.0,61.0,60.5,91.7,122.42,741.000
"January, 2015","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,64.0,65.0,62.0,63.0,63.1,94.7,302.75,1.909.000
"February, 2015","6,1  -0,1 (-1,61%)",66.0,58.0,62.0,62.0,63.0,61.0,61.0,61.6,91.7,106.65,657.0
"March, 2015","5,7  0,1 (1,79%)",59.0,53.0,56.0,56.0,58.0,56.0,57.0,56.9,85.7,111.4,634.000
"April, 2015","5,8  0 (0%)",62.0,54.0,58.0,57.0,59.0,57.0,58.0,57.5,87.2,17.68,102.000
"May, 2015","5,7  0 (0%)",6.0,54.0,57.0,58.0,58.0,56.0,57.0,56.3,85.7,58.0,326.000
"June, 2015","6,2  -0,4 (-6,06%)",7.0,62.0,66.0,65.0,65.0,62.0,62.0,63.3,93.2,810.010,5.126.000
"July, 2015","5,5  -0,1 (-1,79%)",59.0,53.0,56.0,57.0,57.0,55.0,55.0,56.0,82.7,160.28,898.000
"August, 2015","4,9  0,1 (2,08%)",51.0,45.0,48.0,49.0,5.0,47.0,49.0,48.3,64.9,294.28,1.422.000
"September, 2015","4,1  0 (0%)",43.0,39.0,41.0,41.0,42.0,41.0,41.0,41.4,54.3,35.8,148.000
"October, 2015","4  -0,1 (-2,44%)",43.0,39.0,41.0,41.0,41.0,4.0,4.0,40.4,48.2,25.04,101.0
"November, 2015","3,8  0 (0%)",4.0,36.0,38.0,38.0,39.0,38.0,38.0,38.0,45.8,158.68,603.000
"December, 2015","3,4  0 (0%)",36.0,32.0,34.0,34.0,35.0,33.0,34.0,34.0,38.8,49.1,167.0
"January, 2016","3  0,1 (3,45%)",31.0,27.0,29.0,3.0,31.0,29.0,3.0,29.9,34.3,342.11,1.023.000
"February, 2016","2,9  0 (0%)",31.0,27.0,29.0,29.0,3.0,29.0,29.0,29.0,33.1,67.07,195.0
"March, 2016","3,2  0,1 (3,23%)",33.0,29.0,31.0,31.0,33.0,31.0,32.0,31.7,36.6,460.88,1.459.000
"April, 2016","3  0,1 (3,45%)",31.0,27.0,29.0,29.0,3.0,29.0,3.0,29.0,34.4,67.99,197.0
"May, 2016","2,9  0,1 (3,57%)",29.0,27.0,28.0,29.0,29.0,28.0,29.0,29.0,29.0,147.38,427.000
"June, 2016","2,8  0 (0%)",29.0,27.0,28.0,28.0,29.0,28.0,28.0,28.0,28.0,56.12,157.0
"July, 2016","2,7  0,1 (3,85%)",27.0,25.0,26.0,26.0,27.0,25.0,27.0,25.3,27.0,62.02,157.0
"August, 2016","2,5  0 (0%)",26.0,24.0,25.0,26.0,26.0,25.0,25.0,26.0,25.0,225.35,585.0
"September, 2016","2,39  -0,09 (-3,63%)",26.5,23.1,24.8,24.8,24.8,23.7,23.9,24.0,23.9,185.97,447.0
