Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","19,1  -0,05 (-0,27%)",21.4,17.6,19.5,19.5,19.6,19.1,19.1,19.45,12.67,152.7,2.969.550
"February, 2014","19  -1,45 (-7,46%)",21.3,17.5,19.4,19.3,19.4,17.5,19.0,17.95,12.6,414.8,7.446.420
"March, 2014","17,4  0,15 (0,83%)",19.8,16.2,18.0,18.1,18.6,17.4,17.4,18.15,11.54,247.4,4.490.120
"April, 2014","16,7  -1,37 (-7,57%)",19.9,16.3,18.1,18.1,18.2,16.3,16.7,16.73,11.08,462.4,7.736.040
"May, 2014","17,9  1,09 (6,53%)",18.3,15.1,16.7,17.0,18.3,17.0,17.9,17.79,11.87,215.3,3.830.370
"June, 2014",,,,,,,,,,,,
"July, 2014",,,,,,,,,,,,
"August, 2014","17,5  -0,21 (-1,17%)",19.5,16.1,17.8,17.8,17.8,17.4,17.5,17.59,11.61,223.1,3.924.530
"September, 2014","15,9  -1,19 (-6,77%)",19.3,15.9,17.6,17.5,17.6,15.9,15.9,16.41,10.55,309.2,5.073.480
"October, 2014","18  -0,09 (-0,57%)",18.0,14.8,16.4,16.3,18.0,15.5,18.0,16.31,11.94,197.7,3.223.700
"November, 2014","19,2  -0,1 (-0,48%)",21.5,17.7,19.6,19.6,19.6,19.2,19.2,19.5,12.74,160.2,3.124.730
"December, 2014","16,1  0,14 (0,87%)",17.3,14.3,15.8,15.8,16.1,15.8,16.1,15.94,10.68,106.8,1.702.200
"January, 2015","15,7  0,03 (0,2%)",17.2,14.2,15.7,15.7,15.9,15.6,15.7,15.73,10.41,170.4,2.680.500
"February, 2015","16,2  0,14 (0,88%)",17.7,14.5,16.1,16.2,16.4,16.0,16.2,16.240000000000002,10.75,161.9,2.629.590
"March, 2015","15,8  -0,08 (-0,48%)",17.4,14.4,15.9,15.9,16.0,15.7,15.8,15.82,10.48,171.5,2.713.840
"April, 2015","15,9  0,03 (0,19%)",17.4,14.4,15.9,15.9,16.0,15.8,15.9,15.93,10.55,31.1,495.44
"May, 2015","15,6  0,04 (0,24%)",17.1,14.1,15.6,15.6,15.9,15.5,15.6,15.64,10.35,70.2,1.097.750
"June, 2015","21,1  -1,5 (-6,64%)",24.1,21.1,22.6,22.5,22.7,21.1,21.1,21.9,14.0,978.610,21.436.000
"July, 2015","13,1  0,1 (0,77%)",13.9,12.1,13.0,13.1,13.4,13.1,13.1,13.2,86.9,921.59,12.164.000
