Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,6  -0,2 (-1,85%)",11.5,10.1,10.8,10.9,10.9,10.6,10.6,10.77,11.0,32.88,354.000
"February, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,98.0,98.0,96.0,98.0,96.5,84.0,142.98,1.379.598
"March, 2014","11,1  0,1 (0,91%)",11.7,10.3,11.0,11.4,11.4,11.0,11.1,11.05,11.6,78.36,865.642
"April, 2014","9,8  -0,1 (-1,01%)",10.5,93.0,99.0,97.0,98.0,95.0,98.0,96.9,10.2,18.22,176.472
"May, 2014","9,1  0,1 (1,11%)",96.0,84.0,9.0,91.0,91.0,9.0,91.0,90.6,95.0,58.31,528.0
"June, 2014","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,99.0,99.0,93.0,96.0,94.9,1.0,22.1,210.000
"July, 2014","9,4  -0,1 (-1,05%)",10.1,89.0,95.0,95.0,96.0,94.0,94.0,94.2,98.0,35.01,330.0
"August, 2014","9,9  0,1 (1,02%)",10.4,92.0,98.0,97.0,10.0,97.0,99.0,98.4,10.3,60.57,596.000
"September, 2014","10,5  0 (0%)",11.2,98.0,10.5,10.5,10.5,10.3,10.5,10.38,10.9,22.78,237.000
"October, 2014","10,6  0,1 (0,95%)",11.2,98.0,10.5,10.5,10.7,10.4,10.6,10.53,11.0,23.31,246.000
"November, 2014","10,8  0 (0%)",11.5,10.1,10.8,10.9,10.9,10.8,10.8,10.84,11.3,14.95,162.000
"December, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,95.0,10.0,94.0,98.0,97.1,10.2,19.2,186.000
"January, 2015","10,3  0 (0%)",11.0,96.0,10.3,10.3,10.3,10.2,10.3,10.22,10.7,12.1,124.0
"February, 2015","10,9  0 (0%)",11.6,10.2,10.9,10.9,10.9,10.7,10.9,10.8,11.4,12.94,140.0
"March, 2015","10,1  0,1 (1%)",10.7,93.0,10.0,10.0,10.1,98.0,10.1,99.7,12.5,9.03,90.0
"April, 2015","9,2  -0,1 (-1,08%)",99.0,87.0,93.0,92.0,95.0,92.0,92.0,92.2,11.4,3.31,31.0
"May, 2015","9,3  -0,3 (-3,12%)",10.2,9.0,96.0,96.0,96.0,93.0,93.0,94.5,11.5,3.6,34.0
"June, 2015","9,7  -0,1 (-1,02%)",10.4,92.0,98.0,98.0,99.0,97.0,97.0,97.1,12.0,7.67,75.0
"July, 2015","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,98.0,98.0,96.0,96.0,96.1,11.8,7.37,71.0
"August, 2015","8,4  0 (0%)",89.0,79.0,84.0,84.0,84.0,84.0,84.0,84.0,10.4,140.0,1.0
"September, 2015","8,3  0,2 (2,47%)",86.0,76.0,81.0,83.0,83.0,8.0,83.0,80.5,10.2,5.14,41.0
"October, 2015","9,1  0,1 (1,11%)",96.0,84.0,9.0,9.0,91.0,89.0,91.0,9.0,11.2,9.55,86.0
"November, 2015","8,7  -0,4 (-4,4%)",97.0,85.0,91.0,87.0,89.0,87.0,87.0,87.5,10.7,61.81,541.0
"December, 2015",8  0 (0%),85.0,75.0,8.0,84.0,84.0,8.0,8.0,80.2,92.0,210.0,2.0
"January, 2016","7,4  0,3 (4,23%)",75.0,67.0,71.0,71.0,74.0,71.0,74.0,73.7,85.0,110.0,1.0
"February, 2016","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,77.0,81.0,77.0,79.0,79.2,91.0,45.72,362.0
"March, 2016","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,74.0,78.0,74.0,78.0,74.0,9.0,5.15,38.0
"April, 2016","7,3  0,2 (2,82%)",75.0,67.0,71.0,74.0,74.0,73.0,73.0,73.6,91.0,220.0,2.0
"May, 2016","7,4  0,1 (1,37%)",78.0,68.0,73.0,73.0,74.0,73.0,74.0,73.8,11.0,1.9,14.0
"June, 2016","6,7  -0,3 (-4,29%)",74.0,66.0,7.0,69.0,7.0,67.0,67.0,68.8,99.0,3.7,25.0
"July, 2016","6  -0,4 (-6,25%)",68.0,6.0,64.0,64.0,64.0,6.0,6.0,60.6,89.0,18.47,112.0
