Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","89,1  -1,5 (-1,66%)",96.9,84.3,90.6,88.3,90.3,87.3,89.1,88.7,0.0,2.013.750,178.623.000
"February, 2020","90,2  1,1 (1,23%)",95.3,82.9,89.1,88.8,90.3,86.8,90.2,88.16,0.0,1.913.650,168.714.000
"March, 2020","89,8  -0,4 (-0,44%)",96.5,83.9,90.2,90.2,90.6,89.0,89.8,89.83,0.0,1.809.640,162.554.000
"April, 2020","89,9  0,1 (0,11%)",96.0,83.6,89.8,89.8,90.4,89.3,89.9,89.75,0.0,1.272.320,114.190.000
"May, 2020","74  -0,1 (-0,13%)",79.2,69.0,74.1,74.1,74.8,73.7,74.0,74.28999999999999,0.0,368.9,27.406.000
"June, 2020","74,2  0,2 (0,27%)",79.1,68.9,74.0,74.0,75.0,73.6,74.2,74.21000000000001,0.0,389.31,28.889.000
"July, 2020","60,3  3,4 (5,98%)",60.8,53.0,56.9,60.7,60.8,55.5,60.3,59.91,0.0,328.95,19.706.000
"August, 2020","73,3  -0,3 (-0,41%)",78.7,68.5,73.6,73.4,74.5,73.1,73.3,73.72999999999999,0.0,314.52,23.190.000
"September, 2020","74,4  0,2 (0,27%)",79.3,69.1,74.2,74.0,74.9,74.0,74.4,74.22999999999999,0.0,293.79,21.808.000
"October, 2020","74,5  3,9 (5,52%)",75.5,65.7,70.6,75.5,75.5,71.2,74.5,74.12,0.0,851.7,63.131.000
"November, 2020","90,6  -1,8 (-1,95%)",98.8,86.0,92.4,92.4,92.4,90.3,90.6,91.24,0.0,978.710,89.297.000
"December, 2020","74,8  0,4 (0,54%)",79.6,69.2,74.4,74.6,75.1,74.4,74.8,74.72999999999999,0.0,478.19,35.734.000
"January, 2021","56,8  0,7 (1,25%)",60.0,52.2,56.1,53.1,57.0,53.1,56.8,56.25,0.0,517.600,29.115.000
"February, 2021","68,5  0 (0%)",73.2,63.8,68.5,68.0,68.6,67.2,68.5,67.88,0.0,1.724.700,117.067.000
"March, 2021","48,7  0 (0%)",52.1,45.3,48.7,48.7,48.8,48.2,48.7,48.45,0.0,479.500,23.232.000
"April, 2021","53,6  -0,8 (-1,47%)",58.2,50.6,54.4,53.9,54.4,52.9,53.6,53.720000000000006,0.0,1.023.500,54.983.000
"May, 2021","73,3  2,8 (3,97%)",75.4,65.6,70.5,70.5,73.3,68.6,73.3,71.22,0.0,1.032.100,73.502.000
"June, 2021","58,6  -0,7 (-1,18%)",63.4,55.2,59.3,59.7,59.8,57.0,58.6,58.59,0.0,420.500,24.635.000
"July, 2021","45,75  0,35 (0,77%)",48.55,42.25,45.4,45.6,45.9,45.4,45.75,45.74,0.0,1.132.400,51.799.000
"August, 2021","53,7  0 (0%)",57.4,49.95,53.7,53.8,56.6,51.8,53.7,54.54,0.0,9.221.600,502.919.000
"September, 2021","40,6  0 (0%)",43.4,37.8,40.6,40.7,40.85,40.05,40.6,40.35,0.0,3.171.000,129.227.600
"October, 2021",42  0 (0%),44.9,39.1,42.0,42.05,42.25,41.65,42.0,41.86,0.0,2.698.800,112.985.000
"November, 2021","39,7  -0,6 (-1,49%)",43.1,37.5,40.3,40.4,40.8,39.0,39.7,39.78,0.0,4.151.700,165.168.000
"December, 2021","37,15  -0,25 (-0,67%)",40.0,34.8,37.4,37.4,37.95,37.0,37.15,37.43,0.0,7.835.800,291.208.080
