Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2012","9,8  0,4 (4,26%)",98.0,9.0,94.0,98.0,98.0,98.0,98.0,98.0,98.0,20.0,196.0
"February, 2012","9,4  -0,4 (-4,08%)",10.2,94.0,98.0,10.2,10.2,94.0,94.0,94.2,94.0,510.0,4.802
"March, 2012","10,3  0 (0%)",10.8,98.0,10.3,0.0,0.0,0.0,10.3,0.0,10.3,50.0,505.0
"April, 2012","10,8  0,5 (4,85%)",10.8,98.0,10.3,10.3,10.8,10.3,10.8,10.55,10.8,20.0,211.0
"May, 2012","11,3  0,5 (4,63%)",11.3,10.3,10.8,11.3,11.3,11.3,11.3,11.3,11.3,10.0,113.0
"June, 2012","10,5  0 (0%)",11.0,10.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,1.5,15.75
"July, 2012","10,5  -0,1 (-0,94%)",11.1,10.1,10.6,10.5,10.5,10.5,10.5,10.5,10.5,100.0,1.05
"August, 2012","10,6  0 (0%)",11.1,10.1,10.6,0.0,0.0,0.0,10.6,0.0,10.6,500.0,5.26
"September, 2012","10,1  0 (0%)",10.6,96.0,10.1,0.0,0.0,0.0,10.1,0.0,10.1,30.0,303.0
"October, 2012","9,4  0,4 (4,44%)",94.0,86.0,9.0,94.0,94.0,94.0,94.0,94.0,94.0,50.0,470.0
"November, 2012","10,3  0,2 (1,98%)",10.6,96.0,10.1,10.3,10.6,10.3,10.3,10.4,10.3,30.0,312.0
"December, 2012","10,8  0 (0%)",11.3,10.3,10.8,0.0,0.0,0.0,10.8,0.0,10.8,110.0,1.196
"January, 2013","10,7  0 (0%)",11.4,10.0,10.7,0.0,0.0,0.0,10.7,0.0,10.7,20.0,196.0
"February, 2013","9,8  -0,7 (-6,67%)",11.2,98.0,10.5,98.0,98.0,98.0,98.0,98.0,98.0,100.0,980.0
"March, 2013","10,3  0 (0%)",11.0,96.0,10.3,0.0,0.0,0.0,10.3,0.0,10.3,100.0,1.03
"April, 2013","10,1  0 (0%)",10.8,94.0,10.1,0.0,0.0,0.0,10.1,0.0,10.1,100.0,1.01
"May, 2013",10  0 (0%),10.7,93.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,100.0
"June, 2013","11  0,5 (4,76%)",11.2,98.0,10.5,11.0,11.0,11.0,11.0,11.0,11.0,10.0,110.0
"July, 2013","10,8  0 (0%)",11.5,10.1,10.8,0.0,0.0,0.0,10.8,0.0,10.8,1.0,10.8
"August, 2013","10,9  0,7 (6,86%)",10.9,95.0,10.2,10.9,10.9,10.9,10.9,10.9,10.9,10.0,109.0
"September, 2013","12,5  -0,9 (-6,72%)",14.3,12.5,13.4,12.5,12.5,12.5,12.5,12.5,12.5,310.0,3.875
"October, 2013","7,9  -0,3 (-3,66%)",87.0,77.0,82.0,79.0,79.0,79.0,79.0,79.0,79.0,10.0,79.0
"November, 2013","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,85.0,85.0,83.0,83.0,84.8,83.0,360.0,3.053
"December, 2013","8,8  0 (0%)",94.0,82.0,88.0,82.0,9.0,82.0,88.0,87.9,88.0,320.0,2.812
