Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,7  -0,1 (-0,93%)",11.5,10.1,10.8,10.9,10.9,10.6,10.7,10.79,45.0,1.242.460,13.400.000
"February, 2014","8,3  0 (0%)",88.0,78.0,83.0,83.0,83.0,81.0,83.0,82.6,20.4,723.510,5.974.187
"March, 2014","11,6  -0,5 (-4,13%)",12.9,11.3,12.1,12.2,12.2,11.6,11.6,11.8,28.5,1.151.580,13.585.403
"April, 2014","10,8  0,1 (0,93%)",11.4,10.0,10.7,10.7,10.8,10.5,10.8,10.65,26.6,335.310,3.570.695
"May, 2014","9,2  -0,2 (-2,13%)",10.0,88.0,94.0,93.0,96.0,92.0,92.0,93.6,22.6,1.028.070,9.926.000
"June, 2014","10,3  0 (0%)",11.0,96.0,10.3,10.4,10.4,10.2,10.3,10.29,25.3,346.39,3.565.000
"July, 2014","10,9  0,2 (1,87%)",11.4,10.0,10.7,10.7,10.9,10.7,10.9,10.85,26.8,241.620,2.622.000
"August, 2014","12,1  0,2 (1,68%)",12.7,11.1,11.9,12.0,12.4,12.0,12.1,12.17,29.8,2.348.870,28.581.000
"September, 2014","11,8  0,3 (2,61%)",12.3,10.7,11.5,11.4,11.9,11.4,11.8,11.65,49.7,1.637.730,19.081.000
"October, 2014","11,1  0,3 (2,78%)",11.5,10.1,10.8,11.1,11.3,11.0,11.1,11.11,46.7,1.933.910,21.487.000
"November, 2014","10,8  0,1 (0,93%)",11.4,10.0,10.7,10.7,11.0,10.6,10.8,10.81,45.5,1.926.130,20.819.000
"December, 2014","8,6  0,5 (6,17%)",86.0,76.0,81.0,81.0,86.0,81.0,86.0,85.3,36.2,1.868.700,15.935.000
"January, 2015","9,2  -0,3 (-3,16%)",10.1,89.0,95.0,95.0,96.0,91.0,92.0,93.1,38.7,1.558.500,14.517.000
"February, 2015","9,6  0 (0%)",10.2,9.0,96.0,97.0,98.0,96.0,96.0,96.4,40.4,881.070,8.493.000
"March, 2015","8,5  -0,1 (-1,16%)",92.0,8.0,86.0,85.0,88.0,85.0,85.0,86.4,35.8,1.553.580,13.421.000
"April, 2015","8,2  0 (0%)",87.0,77.0,82.0,82.0,83.0,81.0,82.0,81.4,34.5,431.180,3.515.000
"May, 2015","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,85.0,86.0,83.0,83.0,84.4,34.9,3.464.590,29.234.000
"June, 2015","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,84.0,84.0,83.0,83.0,83.1,34.9,1.594.960,13.249.000
"July, 2015","8,8  0,1 (1,15%)",88.0,77.0,87.0,86.0,88.0,84.0,88.0,87.2,41.2,1.456.510,12.702.000
"August, 2015","9,7  -0,1 (-1,02%)",10.4,92.0,98.0,98.0,99.0,97.0,97.0,97.5,49.4,307.090,2.995.000
"September, 2015","9,7  0,3 (3,19%)",10.0,88.0,94.0,93.0,98.0,93.0,97.0,96.1,49.4,968.790,9.313.000
"October, 2015","12,4  -0,2 (-1,59%)",13.4,11.8,12.6,12.7,12.7,12.4,12.4,12.52,57.9,567.560,7.106.000
"November, 2015","13,9  -0,2 (-1,42%)",15.0,13.2,14.1,13.9,14.0,13.8,13.9,13.9,64.9,687.100,9.553.000
"December, 2015","16,5  0,2 (1,23%)",17.5,15.3,16.3,16.3,16.5,16.2,16.5,16.35,81.3,1.173.820,19.194.000
"January, 2016","17,2  0,1 (0,58%)",18.2,16.0,17.1,17.1,17.5,16.8,17.2,17.03,84.7,1.256.340,21.391.000
"February, 2016","17,9  0 (0%)",19.1,16.7,17.9,17.7,18.0,17.7,17.9,17.8,88.2,1.027.040,18.281.000
"March, 2016","17  -0,3 (-1,73%)",18.5,16.1,17.3,17.3,17.4,17.0,17.0,17.130000000000003,83.8,1.042.560,17.862.000
"April, 2016","18,5  1,2 (6,94%)",18.5,16.1,17.3,17.3,18.5,17.2,18.5,17.57,89.1,1.172.460,20.603.000
"May, 2016","16,9  -0,1 (-0,59%)",18.1,15.9,17.0,17.0,17.2,16.8,16.9,16.97,82.4,979.020,16.614.000
"June, 2016","15,1  -0,2 (-1,31%)",16.3,14.3,15.3,15.3,15.4,15.1,15.1,15.26,73.6,1.057.360,16.136.000
"July, 2016","15,1  0 (0%)",16.1,14.1,15.1,15.2,15.2,14.9,15.1,15.0,73.6,1.061.750,15.929.000
"August, 2016","16,4  0,1 (0,61%)",17.4,15.2,16.3,16.3,16.7,16.2,16.4,16.369999999999997,8.0,1.528.300,25.022.000
"September, 2016","15,65  -0,1 (-0,63%)",16.85,14.65,15.75,15.8,15.9,15.6,15.65,15.68,76.3,1.436.040,22.515.000
"October, 2016","15,5  0,05 (0,32%)",16.5,14.4,15.45,15.5,15.8,15.3,15.5,15.52,75.6,827.100,12.837.000
"November, 2016","15,4  0,1 (0,65%)",16.35,14.25,15.3,15.3,15.4,15.2,15.4,15.25,75.1,1.625.260,24.785.000
"December, 2016","14,7  0 (0%)",15.7,13.7,14.7,14.7,14.75,14.65,14.7,14.669999999999998,71.7,1.649.470,24.197.000
"January, 2017","15,1  0,2 (1,34%)",15.9,13.9,14.9,14.9,15.1,14.9,15.1,14.96,73.6,2.481.990,37.128.000
"February, 2017","15,15  0 (0%)",16.2,14.1,15.15,15.2,15.2,15.1,15.15,15.12,73.9,2.171.230,32.820.000
"March, 2017","15,4  -0,2 (-1,28%)",16.65,14.55,15.6,15.6,15.7,15.4,15.4,15.57,75.1,1.368.880,21.319.000
"April, 2017","15,3  0,15 (0,99%)",16.2,14.1,15.15,15.15,15.3,15.05,15.3,15.12,74.6,1.262.520,19.089.000
"May, 2017",14  0 (0%),14.95,13.05,14.0,14.0,14.1,14.0,14.0,14.05,68.3,1.106.530,15.546.000
"June, 2017","14,1  0,05 (0,36%)",15.0,13.1,14.05,14.0,14.15,14.0,14.1,14.05,68.8,1.143.000,16.063.000
"July, 2017","12,85  0 (0%)",13.7,12.0,12.85,12.8,12.85,12.75,12.85,12.79,62.7,1.361.570,17.418.000
"August, 2017","12,15  0,05 (0,41%)",12.9,11.3,12.1,12.1,12.3,12.05,12.15,12.17,59.2,2.289.620,27.862.000
"September, 2017","10,9  -0,05 (-0,46%)",11.7,10.2,10.95,10.95,11.0,10.75,10.9,10.88,64.4,1.955.440,21.268.000
"October, 2017","10,65  -0,75 (-6,58%)",12.15,10.65,11.4,11.2,11.2,10.65,10.65,10.81,65.0,3.275.530,35.406.000
"November, 2017","10,65  0 (0%)",11.35,99.1,10.65,10.6,10.65,10.5,10.65,10.58,68.9,2.190.580,23.173.000
"December, 2017","10,6  0 (0%)",11.3,98.6,10.6,10.6,10.7,10.5,10.6,10.57,70.9,5.151.900,54.467.000
"January, 2018","10,6  -0,2 (-1,85%)",11.55,10.05,10.8,10.8,10.9,10.5,10.6,10.68,71.5,5.223.250,55.794.000
"February, 2018","9,92  -0,07 (-0,7%)",10.65,93.0,99.9,10.0,10.0,99.0,99.2,99.6,68.7,1.983.940,19.765.000
"March, 2018","11,1  0,7 (6,73%)",11.1,96.8,10.4,10.5,11.1,10.5,11.1,10.88,78.3,6.027.860,65.572.000
"April, 2018","14,8  0,2 (1,37%)",15.6,13.6,14.6,14.5,15.0,14.45,14.8,14.74,10.44,6.705.370,98.830.000
"May, 2018","12,6  0,55 (4,56%)",12.85,11.25,12.05,12.05,12.75,11.95,12.6,12.36,88.9,3.245.290,40.122.000
"June, 2018","12,75  0 (0%)",13.6,11.9,12.75,12.75,12.9,12.65,12.75,12.76,89.9,2.148.540,27.416.000
"July, 2018","13,55  0,05 (0,37%)",14.4,12.6,13.5,13.4,13.9,13.35,13.55,13.6,95.6,6.814.490,92.680.000
"August, 2018","12,7  0,15 (1,2%)",13.4,11.7,12.55,12.55,12.85,12.55,12.7,12.69,89.6,5.383.510,68.294.000
"September, 2018","12,85  -0,3 (-2,28%)",14.05,12.25,13.15,13.2,13.3,12.85,12.85,13.02,90.7,6.540.880,85.139.000
"October, 2018","10,6  0,45 (4,43%)",10.85,94.4,10.15,10.5,10.7,10.4,10.6,10.55,75.4,4.488.260,47.354.000
"November, 2018","10,2  -0,05 (-0,49%)",10.95,95.4,10.25,10.25,10.3,10.05,10.2,10.15,75.5,2.909.490,29.534.000
"December, 2018","7,8  -0,2 (-2,5%)",85.6,74.4,8.0,8.0,82.0,76.0,78.0,78.8,59.6,4.784.440,37.686.000
"January, 2019","8,15  0,01 (0,12%)",87.0,75.8,81.4,81.4,82.3,81.2,81.5,81.7,62.3,1.338.220,10.933.000
"February, 2019","8,05  -0,05 (-0,62%)",86.6,75.4,81.0,81.0,83.2,79.9,80.5,81.4,61.5,1.978.130,16.103.000
