Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","7,6  -0,1 (-1,3%)",82.0,72.0,77.0,77.0,77.0,75.0,76.0,75.6,47.8,85.2,644.000
"February, 2014","7,3  0,2 (2,82%)",75.0,67.0,71.0,71.0,75.0,71.0,73.0,73.3,39.0,465.270,3.412.002
"March, 2014","8,8  0 (0%)",94.0,82.0,88.0,88.0,89.0,86.0,88.0,86.8,47.0,204.170,1.771.268
"April, 2014","7,1  0,1 (1,43%)",74.0,66.0,7.0,69.0,72.0,69.0,71.0,70.3,37.9,42.29,297.469
"May, 2014","6,9  0 (0%)",73.0,65.0,69.0,69.0,7.0,68.0,69.0,68.6,36.8,152.32,1.045.000
"June, 2014","7,1  0 (0%)",75.0,67.0,71.0,72.0,72.0,7.0,71.0,70.5,37.9,61.0,430.000
"July, 2014","7,4  0 (0%)",79.0,69.0,74.0,74.0,75.0,73.0,74.0,73.5,39.5,101.53,747.000
"August, 2014","7,3  0,1 (1,39%)",77.0,67.0,72.0,72.0,73.0,71.0,73.0,72.5,46.0,376.84,2.734.000
"September, 2014","7,8  0,1 (1,3%)",82.0,72.0,77.0,77.0,79.0,75.0,78.0,76.8,49.1,392.550,3.015.000
"October, 2014","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,78.0,8.0,78.0,78.0,78.5,49.1,108.17,849.000
"November, 2014","7,7  0,1 (1,32%)",81.0,71.0,76.0,76.0,77.0,75.0,77.0,75.8,48.5,25.84,196.000
"December, 2014","6,7  0 (0%)",71.0,63.0,67.0,67.0,68.0,66.0,67.0,67.3,42.2,48.78,328.0
"January, 2015","5,9  0,1 (1,72%)",62.0,54.0,58.0,59.0,6.0,59.0,59.0,59.0,37.1,42.36,250.0
"February, 2015","6,3  0,2 (3,28%)",65.0,57.0,61.0,61.0,63.0,6.0,63.0,61.1,39.7,37.65,230.0
"March, 2015","5,7  0 (0%)",6.0,54.0,57.0,57.0,57.0,55.0,57.0,55.7,35.9,41.48,231.0
"April, 2015","6,2  0,4 (6,9%)",62.0,54.0,58.0,59.0,62.0,59.0,62.0,61.4,39.0,237.65,1.460.000
"May, 2015","6,3  0 (0%)",67.0,59.0,63.0,62.0,63.0,61.0,63.0,62.0,39.7,7.57,47.0
"June, 2015","5,9  0 (0%)",63.0,55.0,59.0,58.0,59.0,57.0,59.0,58.4,37.1,25.76,150.000
"July, 2015","5,9  0 (0%)",63.0,55.0,59.0,59.0,59.0,58.0,59.0,58.0,37.1,2.42,14.0
"August, 2015","5,2  -0,1 (-1,89%)",56.0,5.0,53.0,54.0,54.0,5.0,52.0,51.6,35.7,45.6,235.0
"September, 2015","5,3  0 (0%)",56.0,5.0,53.0,53.0,53.0,53.0,53.0,53.0,36.4,5.62,30.0
"October, 2015","5  -0,1 (-1,96%)",54.0,48.0,51.0,51.0,51.0,48.0,5.0,50.2,33.1,22.5,113.0
"November, 2015","4,5  0,1 (2,27%)",47.0,41.0,44.0,44.0,45.0,43.0,45.0,44.3,29.8,1.43,6.0
"December, 2015","4,1  0 (0%)",42.0,38.0,41.0,4.0,41.0,4.0,41.0,4.0,24.8,5.09,20.0
"January, 2016","3,4  0,1 (3,03%)",35.0,31.0,33.0,34.0,34.0,31.0,34.0,32.1,20.6,75.72,243.0
"February, 2016","3,8  -0,2 (-5%)",42.0,38.0,4.0,4.0,4.0,38.0,38.0,38.9,23.0,38.81,151.0
"March, 2016","3,9  -0,1 (-2,5%)",42.0,38.0,4.0,4.0,4.0,39.0,39.0,39.3,23.6,19.13,75.0
"April, 2016","4,5  -0,3 (-6,25%)",51.0,45.0,48.0,46.0,49.0,45.0,45.0,45.7,34.7,190.82,871.0
"May, 2016","4,4  -0,1 (-2,22%)",48.0,42.0,45.0,45.0,45.0,43.0,44.0,43.8,32.4,60.66,266.0
"June, 2016","4,1  0 (0%)",43.0,39.0,41.0,4.0,42.0,4.0,41.0,41.0,30.2,48.37,196.0
"July, 2016",4  0 (0%),42.0,38.0,4.0,39.0,4.0,39.0,4.0,39.9,29.4,5.71,23.0
