Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","65,9  0,8 (1,23%)",69.6,60.6,65.1,67.0,67.0,65.7,65.9,65.91,37.31,116.87,7.703.000
"February, 2018","71,6  0 (0%)",76.6,66.6,71.6,71.6,71.6,71.2,71.6,71.45,40.53,198.25,14.164.000
"March, 2018",80  0 (0%),85.6,74.4,80.0,80.3,80.4,78.0,80.0,79.64,45.29,112.34,8.947.000
"April, 2018","82  0,1 (0,12%)",87.6,76.2,81.9,81.5,82.0,80.5,82.0,81.47999999999999,46.42,140.12,11.417.000
"May, 2018","64,8  1,7 (2,69%)",67.5,58.7,63.1,63.1,66.4,63.1,64.8,65.58,36.68,52.93,3.471.000
"June, 2018","62,9  0 (0%)",67.3,58.5,62.9,63.5,63.5,62.3,62.9,62.8,37.83,60.0,3.768.000
"July, 2018","62,7  -0,3 (-0,48%)",67.4,58.6,63.0,62.5,62.9,62.1,62.7,62.48,37.71,53.49,3.342.000
"August, 2018","62,5  -0,2 (-0,32%)",67.0,58.4,62.7,62.8,62.8,61.9,62.5,62.42999999999999,37.59,59.62,3.722.000
"September, 2018","65  1,8 (2,85%)",67.6,58.8,63.2,64.0,65.6,63.8,65.0,65.01,39.09,139.23,9.052.000
"October, 2018","65,7  0,2 (0,31%)",70.0,61.0,65.5,65.5,66.0,65.0,65.7,65.57000000000001,39.52,98.39,6.451.000
"November, 2018","69,7  0,3 (0,43%)",74.2,64.6,69.4,69.4,70.0,69.0,69.7,69.66,41.92,138.61,9.655.000
"December, 2018","69,2  0,3 (0,44%)",73.7,64.1,68.9,68.9,69.2,68.3,69.2,68.67,41.62,85.05,5.840.000
"January, 2019","64,3  0,8 (1,26%)",67.9,59.1,63.5,63.5,64.5,63.5,64.3,64.17999999999999,38.67,72.23,4.636.000
"February, 2019","70,2  -0,8 (-1,13%)",75.9,66.1,71.0,71.0,71.2,70.0,70.2,70.77000000000001,42.22,64.94,4.596.000
"March, 2019","70,7  0,1 (0,14%)",75.5,65.7,70.6,70.6,70.8,70.6,70.7,70.67,44.38,69.24,4.893.000
"April, 2019","75,4  0,4 (0,53%)",80.2,69.8,75.0,75.0,75.4,75.0,75.4,75.07000000000001,47.33,235.95,16.922.000
"May, 2019",61  0 (0%),65.2,56.8,61.0,60.8,61.0,60.7,61.0,60.83,59.75,163.95,9.973.000
"June, 2019",64  0 (0%),68.4,59.6,64.0,64.2,64.5,63.9,64.0,64.14,62.69,62.3,3.996.000
"July, 2019","62,2  1,2 (1,97%)",65.2,56.8,61.0,61.2,62.9,60.8,62.2,61.5,60.92999999999999,67.2,4.133.000
"August, 2019","65,4  -0,1 (-0,15%)",70.0,61.0,65.5,65.5,65.5,64.1,65.4,64.61,64.06,140.620,9.085.000
