Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2008","12,4  0 (0%)",13.0,11.8,12.4,11.8,12.4,11.8,12.4,11.88,135.51,80.0,1.0
"February, 2008","12,4  0 (0%)",13.0,11.8,12.4,12.4,12.4,12.4,12.4,12.4,135.51,20.0,
"March, 2008","11,8  -0,6 (-4,84%)",13.0,11.8,12.4,11.8,11.8,11.8,11.8,11.8,128.95,30.0,
"April, 2008","11,3  -0,5 (-4,24%)",12.3,11.3,11.8,11.8,11.8,11.3,11.3,11.63,123.49,30.0,
"May, 2008","11,8  0,5 (4,42%)",11.8,10.8,11.3,10.8,11.8,10.8,11.8,11.13,128.95,60.0,1.0
"June, 2008",,,,,,,,,,,,
"July, 2008",,,,,,,,,,,,
"August, 2008","11,8  0 (0%)",12.3,11.3,11.8,11.8,11.8,11.8,11.8,11.8,128.95,20.0,
"September, 2008","11,3  -0,5 (-4,24%)",12.3,11.3,11.8,11.8,11.8,11.3,11.3,11.5,123.49,50.0,1.0
"October, 2008","10,8  -0,5 (-4,42%)",11.8,10.8,11.3,10.8,10.8,10.8,10.8,10.8,118.02,30.0,
"November, 2008","12,4  0,2 (1,64%)",12.8,11.6,12.2,11.6,12.5,11.6,12.4,11.76,135.51,160.0,2.0
"December, 2008","9,4  0,4 (4,44%)",94.0,86.0,9.0,91.0,94.0,87.0,94.0,91.6,102.72,80.0,1.0
"January, 2009","8,1  0,3 (3,85%)",81.0,75.0,78.0,0.0,81.0,81.0,81.0,81.0,82.78,10.0,2.0
"February, 2009","7,3  0 (0%)",76.0,7.0,73.0,76.0,76.0,73.0,73.0,73.1,74.6,430.0,3.0
"March, 2009","9,3  -0,4 (-4,12%)",10.1,93.0,97.0,93.0,93.0,93.0,93.0,93.0,95.04,1.19,11.0
"April, 2009","8,6  -0,3 (-3,37%)",93.0,85.0,89.0,86.0,9.0,86.0,86.0,88.6,99.55,1.5,13.0
"May, 2009","9,8  -0,4 (-3,92%)",10.7,97.0,10.2,97.0,10.6,97.0,98.0,97.3,113.44,12.17,118.0
"June, 2009","11,3  -0,5 (-4,24%)",12.3,11.3,11.8,11.9,11.9,11.3,11.3,11.81,119.49,1.38,16.0
"July, 2009","10,4  0,3 (2,97%)",10.6,96.0,10.1,10.5,10.5,10.4,10.4,10.4,11.23,780.0,8.0
"August, 2009","11,9  0,5 (4,39%)",11.9,10.9,11.4,11.9,11.9,11.9,11.9,11.9,12.85,14.89,177.191
"September, 2009","28,4  1,3 (4,8%)",28.4,25.8,27.1,28.4,28.4,28.4,28.4,28.4,306.66,18.79,533.636
"October, 2009","19,2  -1 (-4,95%)",21.2,19.2,20.2,20.9,20.9,19.2,19.2,19.54,207.32,92.15,1.800.500
"November, 2009","13,9  0,4 (2,96%)",14.1,12.9,13.5,13.5,13.9,13.4,13.9,13.6,150.09,26.97,366.731
"December, 2009","14,8  0,7 (4,96%)",14.8,13.4,14.1,14.8,14.8,14.8,14.8,14.8,159.81,15.02,222.296
"January, 2010","14,1  0 (0%)",14.8,13.4,14.1,13.7,14.2,13.4,14.1,13.64,152.25,16.59,226.21599999999998
