Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,8  0 (0%)",11.5,10.1,10.8,10.8,10.8,10.6,10.8,10.75,55.9,45.93,494.0
"February, 2014","13,3  0 (0%)",14.2,12.4,13.3,13.4,13.4,13.0,13.3,13.13,57.6,322.510,4.235.733
"March, 2014","12,6  -0,3 (-2,33%)",13.8,12.0,12.9,12.9,12.9,12.4,12.6,12.61,65.2,100.95,1.273.378
"April, 2014","10,2  -0,3 (-2,86%)",11.2,98.0,10.5,10.6,10.6,10.2,10.2,10.24,52.8,76.41,782.201
"May, 2014","10,2  -0,2 (-1,92%)",11.1,97.0,10.4,10.1,10.3,10.1,10.2,10.16,52.8,22.21,226.0
"June, 2014","10,5  -0,1 (-0,94%)",11.3,99.0,10.6,10.5,10.8,10.5,10.5,10.51,54.4,22.51,237.000
"July, 2014","10,1  0,1 (1%)",10.7,93.0,10.0,10.0,10.3,10.0,10.1,10.15,52.3,41.36,420.000
"August, 2014","10,9  0 (0%)",11.6,10.2,10.9,10.9,11.0,10.8,10.9,10.87,56.4,102.89,1.119.000
"September, 2014","11,7  -0,1 (-0,85%)",12.6,11.0,11.8,11.7,11.8,11.5,11.7,11.65,60.6,120.35,1.402.000
"October, 2014","10,7  0,2 (1,9%)",11.2,98.0,10.5,10.5,10.7,10.5,10.7,10.59,55.4,36.8,390.000
"November, 2014","10,8  0,3 (2,86%)",11.2,98.0,10.5,10.4,10.9,10.4,10.8,10.74,55.9,73.05,785.0
"December, 2014","10,5  0,3 (2,94%)",10.9,95.0,10.2,10.3,10.5,10.2,10.5,10.3,54.4,45.46,468.000
"January, 2015","10,2  -0,2 (-1,92%)",11.1,97.0,10.4,10.2,10.2,10.0,10.2,10.04,52.8,7.01,70.000
"February, 2015","10,2  0 (0%)",10.9,95.0,10.2,10.3,10.3,10.2,10.2,10.24,52.8,74.51,763.0
"March, 2015","9,7  0,1 (1,04%)",10.2,9.0,96.0,96.0,97.0,96.0,97.0,96.0,50.2,7.43,71.0
"April, 2015","9  0,1 (1,12%)",95.0,83.0,89.0,88.0,9.0,87.0,9.0,88.9,46.6,2.65,24.0
"May, 2015","8,4  0,1 (1,2%)",88.0,78.0,83.0,83.0,85.0,81.0,84.0,83.2,51.4,3.51,29.0
"June, 2015","7,9  0 (0%)",84.0,74.0,79.0,8.0,82.0,78.0,79.0,78.7,48.4,24.44,192.0
"July, 2015","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,78.0,8.0,77.0,79.0,78.0,48.4,3.41,27.0
"August, 2015","6,8  0 (0%)",72.0,64.0,68.0,7.0,7.0,68.0,68.0,68.4,36.4,26.95,184.0
"September, 2015","6,8  0 (0%)",72.0,64.0,68.0,68.0,68.0,67.0,68.0,67.2,36.4,5.86,39.0
"October, 2015","7,2  -0,1 (-1,37%)",78.0,68.0,73.0,72.0,72.0,72.0,72.0,72.0,37.5,810.0,6.0
"November, 2015","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,68.0,68.0,67.0,67.0,67.6,34.9,270.0,2.0
"December, 2015","7,2  0,3 (4,35%)",75.0,67.0,69.0,72.0,73.0,7.0,72.0,72.0,32.5,75.85,546.0
"January, 2016","7  0,2 (2,94%)",72.0,64.0,68.0,7.0,7.0,7.0,7.0,7.0,32.5,10.0,4.0
"February, 2016","6,8  0 (0%)",72.0,64.0,68.0,0.0,68.0,66.0,68.0,66.0,31.5,8.12,54.0
"March, 2016","6,7  0 (0%)",71.0,63.0,67.0,66.0,69.0,66.0,67.0,67.8,30.2,25.2,171.000
"April, 2016","6,8  0,1 (1,49%)",71.0,63.0,67.0,68.0,7.0,67.0,68.0,68.1,30.6,203.9,1.388.000
"May, 2016","7,2  0 (0%)",77.0,67.0,72.0,73.0,74.0,72.0,72.0,72.9,35.3,68.96,503.000
"June, 2016","6,1  0 (0%)",65.0,57.0,61.0,61.0,62.0,6.0,61.0,60.9,35.6,27.13,165.000
"July, 2016","7,1  0,1 (1,43%)",74.0,66.0,7.0,7.0,72.0,7.0,71.0,70.4,41.4,60.45,426.000
"August, 2016","6,7  0,1 (1,52%)",7.0,62.0,66.0,66.0,67.0,66.0,67.0,66.4,39.1,39.39,261.0
"September, 2016","6,38  0,01 (0,16%)",68.1,59.3,63.7,63.5,63.8,63.2,63.8,63.3,37.2,18.53,117.0
"October, 2016","5,7  0 (0%)",60.9,53.1,57.0,57.0,57.0,56.0,57.0,56.2,33.3,38.07,214.0
"November, 2016","6,1  -0,1 (-1,61%)",66.3,57.7,62.0,59.1,61.0,59.1,61.0,59.4,35.6,1.1,7.0
"December, 2016","5,96  -0,04 (-0,67%)",64.2,55.8,6.0,6.0,60.4,59.6,59.6,59.9,34.8,12.42,74.0
"January, 2017","6,45  -0,19 (-2,86%)",71.0,61.8,66.4,66.0,66.0,64.0,64.5,65.7,37.6,11.15,73.000
"February, 2017","6,2  -0,04 (-0,64%)",66.7,58.1,62.4,62.4,62.4,62.0,62.0,62.0,36.2,3.33,21.0
"March, 2017","6,3  -0,01 (-0,16%)",67.5,58.7,63.1,63.4,63.4,63.0,63.0,63.2,36.8,11.22,71.0
"April, 2017","6,48  0 (0%)",69.3,60.3,64.8,64.0,65.8,63.5,64.8,64.4,37.8,17.38,112.000
"May, 2017","6,14  -0,04 (-0,65%)",66.1,57.5,61.8,60.1,61.8,60.1,61.4,61.2,45.8,32.85,201.0
"June, 2017",6  0 (0%),64.2,55.8,6.0,58.6,60.1,58.6,6.0,59.6,44.8,64.22,383.0
"July, 2017","5,9  0 (0%)",63.1,54.9,59.0,59.0,59.0,58.9,59.0,58.9,44.0,18.69,110.0
"August, 2017","5,69  0 (0%)",60.8,53.0,56.9,56.8,57.0,56.8,56.9,56.9,42.5,25.5,145.0
"September, 2017","5,8  0 (0%)",62.0,54.0,58.0,58.7,58.7,58.0,58.0,58.2,43.3,23.88,139.0
"October, 2017","5,7  -0,01 (-0,18%)",61.0,53.2,57.1,57.0,57.0,57.0,57.0,57.1,42.5,62.2,355.0
"November, 2017","5,61  -0,01 (-0,18%)",60.1,52.3,56.2,56.2,56.2,56.0,56.1,56.1,41.9,37.42,210.0
"December, 2017","5,6  0 (0%)",59.9,52.1,56.0,56.0,56.1,55.3,56.0,55.7,41.8,11.14,62.0
"January, 2018","5,97  0,26 (4,55%)",61.0,53.2,57.1,59.3,59.9,58.0,59.7,59.6,44.5,422.57,2.520.000
"February, 2018","5,84  0,09 (1,57%)",61.5,53.5,57.5,57.6,58.5,57.6,58.4,58.2,43.6,17.0,99.0
"March, 2018","6  -0,02 (-0,33%)",64.4,56.0,60.2,60.1,60.2,59.4,6.0,60.1,44.8,71.75,431.0
"April, 2018","6,35  0,08 (1,28%)",67.0,58.4,62.7,62.7,65.5,62.7,63.5,64.3,47.4,8.87,57.000
"May, 2018","6,18  0,08 (1,31%)",65.2,56.8,61.0,6.0,61.8,6.0,61.8,61.8,46.1,3.4,21.0
"June, 2018","6,4  -0,02 (-0,31%)",68.6,59.8,64.2,63.1,64.1,63.1,64.0,62.9,47.8,1.75,11.0
"July, 2018","5,42  0,07 (1,31%)",57.2,49.8,53.5,53.5,54.2,53.5,54.2,54.0,46.4,7.59,41.0
"August, 2018","5,5  0 (0%)",58.8,51.2,55.0,55.0,55.0,54.0,55.0,54.3,47.1,20.26,110.0
"September, 2018","5,48  0,01 (0,18%)",58.5,50.9,54.7,54.8,55.0,54.7,54.8,54.6,47.0,13.56,74.0
"October, 2018","5,56  -0,04 (-0,71%)",59.9,52.1,56.0,54.0,55.6,53.5,55.6,54.0,47.6,5.93,32.0
"November, 2018","5,56  0 (0%)",59.4,51.8,55.6,55.8,55.8,55.6,55.6,55.8,47.6,12.37,69.0
"December, 2018","5,7  0,02 (0,35%)",60.7,52.9,56.8,56.9,57.0,56.9,57.0,90.9,48.8,110.0,1.0
"January, 2019","6,03  0,08 (1,34%)",63.6,55.4,59.5,59.5,60.5,59.5,60.3,59.9,51.7,5.01,30.0
