Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","19,5  -0,7 (-3,47%)",23.2,17.2,20.2,19.5,19.5,19.5,19.5,19.5,19.5,2.2,42.9
"February, 2018","22  0,12 (0,56%)",25.0,18.6,21.8,20.4,22.0,20.4,22.0,21.92,22.0,2.3,50.42
"March, 2018","24,9  0,54 (2,27%)",27.6,20.4,24.0,24.1,25.0,24.1,24.9,24.54,24.9,46.0,1.129.030
"April, 2018",25  0 (0%),28.7,21.3,25.0,25.0,25.0,25.0,25.0,25.0,25.0,33.2,830.0
"May, 2018","23,5  0 (0%)",27.0,20.0,23.5,0.0,0.0,0.0,23.5,23.5,24.0,8.9,209.5
"June, 2018","19  -0,56 (-2,81%)",23.0,17.0,20.0,21.6,21.6,19.0,19.0,19.44,19.0,7.2,139.95
"July, 2018","17,7  -0,85 (-4,89%)",20.0,14.8,17.4,15.0,17.7,15.0,17.7,16.55,17.7,24.4,403.81
"August, 2018","14,9  0 (-0,02%)",17.2,12.8,15.0,15.0,15.0,14.9,14.9,15.0,14.9,6.4,95.98
"September, 2018","19,7  0,19 (0,98%)",22.5,16.7,19.6,19.9,20.0,19.7,19.7,19.79,19.7,50.8,1.005.430
"October, 2018","20,5  0,82 (4,22%)",22.3,16.5,19.4,19.2,20.5,19.2,20.5,20.22,20.5,10.3,208.26
"November, 2018","21,5  0,51 (2,41%)",24.2,18.0,21.1,22.0,22.0,21.1,21.5,21.61,21.5,11.2,242.01
"December, 2018","24,2  0,42 (1,74%)",27.8,20.6,24.2,23.5,25.0,23.2,24.2,24.62,24.2,1.104.800,27.200.750
"January, 2019","23  0,45 (2,01%)",25.4,18.8,22.1,22.0,23.0,22.0,23.0,22.54,23.0,1.114,25.069000000000003
"February, 2019","25,5  0,34 (1,33%)",29.3,21.7,25.5,26.0,26.2,25.5,25.5,25.84,25.5,4.5,116.270
"March, 2019","26,5  0,69 (2,78%)",28.7,21.3,25.0,25.4,26.5,25.0,26.5,25.69,26.5,35.3,906.990
"April, 2019","24,1  -0,05 (-0,21%)",27.4,20.4,23.9,23.9,24.1,20.4,24.1,23.85,24.1,15.3,359.38
"May, 2019","23,3  0,27 (1,19%)",26.4,19.6,23.0,23.0,23.8,22.7,23.3,23.27,23.3,25.2,586.490
"June, 2019","24,9  0,3 (1,24%)",27.8,20.6,24.2,24.5,24.9,24.1,24.9,24.5,24.9,22.5,551.220
"July, 2019","28  0,31 (1,12%)",31.6,23.4,27.5,27.9,28.0,27.5,28.0,27.81,28.0,67.22,1.869.186
"August, 2019","34,5  0,05 (0,14%)",40.1,29.7,34.9,34.9,35.6,34.5,34.5,34.95,34.5,309.394,10.812.789
"September, 2019","31,2  -0,08 (-0,25%)",35.7,26.5,31.1,31.0,31.2,28.0,31.2,31.02,31.2,204.41,6.335.858
"October, 2019","30,5  -0,27 (-0,9%)",34.8,25.8,30.3,30.1,30.5,29.7,30.5,30.03,30.5,34.03,1.021.817
"November, 2019","27,3  0,12 (0,45%)",31.3,23.3,27.3,27.8,27.8,27.3,27.3,27.42,27.3,2.112,57.918
"December, 2019","30,1  0,09 (0,31%)",34.3,25.5,29.9,29.5,30.1,29.4,30.1,29.99,30.1,23.8,713.810
"January, 2020","28  -0,58 (-2,05%)",32.6,24.2,28.4,29.1,29.1,27.7,28.0,27.82,28.0,4.8,133.53
"February, 2020","25  0 (-0,01%)",28.2,21.0,24.6,24.3,25.0,24.2,25.0,24.6,25.0,53.92,1.326.338
"March, 2020","16,6  0,04 (0,24%)",18.9,14.1,16.5,16.4,17.0,16.0,16.6,16.54,16.6,5.71,94.450
"April, 2020","23,9  0,4 (1,7%)",26.7,19.9,23.3,24.0,24.0,23.3,23.9,23.7,23.9,104.63,2.479.407
"May, 2020","26,5  0,35 (1,35%)",29.5,21.9,25.7,26.5,26.5,25.5,26.5,26.05,26.5,23.294,606.717
"June, 2020","26,6  -0,07 (-0,25%)",30.2,22.4,26.3,26.1,26.6,26.0,26.6,26.24,0.0,74.45,1.953.155
"July, 2020","26,1  -0,38 (-1,47%)",29.9,22.1,26.0,24.5,26.1,24.5,26.1,25.62,0.0,28.93,741.125
"August, 2020","33,6  0 (0%)",0.0,0.0,0.0,33.6,33.6,33.6,33.6,33.6,0.0,215.370,7.236.000
"September, 2020","40,5  -0,1 (-0,25%)",43.4,37.8,40.6,39.8,40.6,39.75,40.5,40.1,0.0,65.01,2.607.000
"October, 2020","39,5  0 (0%)",42.25,36.75,39.5,40.0,40.0,39.5,39.5,39.86,0.0,4.24,169.000
"November, 2020","43,85  0,95 (2,21%)",45.9,39.9,42.9,43.0,45.5,43.0,43.85,43.85,0.0,639.49,25.790.000
"December, 2020","41,2  0 (0%)",44.05,38.35,41.2,40.5,41.5,40.5,41.2,41.09,0.0,47.26,1.942.000
"January, 2021","56  2 (3,7%)",57.7,50.3,54.0,50.3,57.0,50.3,56.0,52.77,0.0,91.3,4.818.000
