Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","26,9  0,3 (1,13%)",28.4,24.8,26.6,26.5,27.0,26.5,26.9,26.77,74.1,11.88,318.000
"February, 2015","26,9  0 (0%)",28.7,25.1,26.9,0.0,27.0,26.9,26.9,26.9,74.1,3.21,86.000
"March, 2015","26,7  -0,2 (-0,74%)",28.7,25.1,26.9,26.7,27.1,26.7,26.7,27.0,73.6,28.66,774.000
"April, 2015","26,8  0,1 (0,37%)",28.7,25.1,26.7,26.8,26.9,26.5,26.8,26.73,72.8,27.53,736.000
"May, 2015","26,4  0 (0%)",28.2,24.6,26.4,26.2,26.8,26.2,26.4,26.4,72.7,46.21,1.220.000
"June, 2015","27  0,6 (2,27%)",28.2,24.6,26.4,26.6,27.5,26.6,27.0,27.07,74.4,91.19,2.469.000
"July, 2015","26,8  0 (0%)",28.5,24.9,26.8,26.6,26.9,26.3,26.8,26.46,73.3,52.45,1.388.000
"August, 2015","26,8  0 (0%)",28.6,25.0,26.8,26.5,26.8,26.5,26.8,26.58,73.3,56.77,1.509.000
"September, 2015","27  0,2 (0,75%)",28.6,25.0,26.8,26.8,27.0,26.5,27.0,26.59,73.8,26.74,711.000
"October, 2015","28,6  0 (0%)",30.6,26.6,28.6,30.0,30.0,28.6,28.6,28.84,78.8,105.24,3.035.000
"November, 2015","26,6  -0,2 (-0,75%)",28.6,25.0,26.8,27.6,27.6,26.5,26.6,26.630000000000003,73.3,36.36,968.000
"December, 2015","27  -0,1 (-0,37%)",28.3,24.7,27.1,27.9,27.9,26.8,27.0,26.880000000000003,74.4,23.15,622.000
"January, 2016","25,4  -0,2 (-0,78%)",27.3,23.9,25.6,25.2,25.4,25.0,25.4,25.2,77.6,11.9,300.000
"February, 2016","27,9  0,5 (1,82%)",29.3,25.5,27.4,27.9,27.9,27.4,27.9,27.77,85.3,18.47,513.000
"March, 2016","29,9  0,7 (2,4%)",31.2,27.2,29.2,29.5,30.5,29.3,29.9,29.67,97.5,140.96,4.182.000
"April, 2016","31,1  0,2 (0,65%)",33.0,28.8,30.9,31.0,31.4,30.9,31.1,31.07,10.48,33.43,1.039.000
"May, 2016","31,8  -0,1 (-0,31%)",34.1,29.7,31.9,31.9,31.9,31.5,31.8,31.51,10.71,9.72,306.000
"June, 2016","32  -0,5 (-1,54%)",34.7,30.3,32.5,33.2,33.2,32.0,32.0,32.410000000000004,12.64,30.56,990.000
"July, 2016","35,1  2 (6,04%)",35.4,30.8,33.1,33.2,35.4,33.2,35.1,34.739999999999995,13.87,250.39,8.700.000
"August, 2016","42  1 (2,44%)",43.8,38.2,41.0,40.8,42.4,40.8,42.0,41.74,16.6,182.43,7.614.000
"September, 2016","38,8  0,2 (0,52%)",41.3,35.9,38.6,38.3,39.0,38.2,38.8,38.510000000000005,22.12,116.23,4.476.000
"October, 2016","34,7  0,4 (1,17%)",36.7,31.9,34.3,34.4,35.2,34.3,34.7,34.68,19.78,134.1,4.651.000
"November, 2016","31,6  -1,2 (-3,66%)",35.05,30.55,32.8,32.0,32.95,30.7,31.6,31.78,20.18,105.69,3.359.000
