Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","109,5  1,36 (1,28%)",12.2,90.2,10.61,10.61,11.1,10.6,10.95,107.46,94.25,85.775,9.217.361
"February, 2016","111  2,13 (1,98%)",12.36,91.4,10.75,10.95,11.1,10.77,11.1,109.63,95.54,37.231,4.081.582
"March, 2016","95,3  12,4 (14,96%)",95.3,70.5,82.9,95.3,95.3,95.3,95.3,95.3,82.03,2.6,247.780
"April, 2016","109,5  14,2 (14,9%)",10.95,81.1,95.3,10.95,10.95,10.95,10.95,10.95,94.25,13.7,1.500.150
"May, 2016","109,8  -0,62 (-0,57%)",12.6,93.2,10.96,10.96,11.0,10.8,10.98,108.98,94.51,47.57,5.184.106
"June, 2016","100  -5,4 (-4,95%)",12.53,92.7,10.9,11.0,11.18,95.0,100.0,10.36,86.07000000000001,122.16,12.656.172
"July, 2016","116,4  4,53 (4,38%)",11.91,88.1,10.36,100.0,11.91,88.1,11.64,108.13,100.19,273.397,29.562.173
"August, 2016","124,3  9,88 (9,14%)",12.43,91.9,10.81,11.6,12.43,10.51,12.43,117.98,106.99,213.727,25.212.072
"September, 2016","135,7  11,17 (9,46%)",13.57,10.03,11.8,12.43,13.57,11.67,13.57,129.17000000000002,11.68,172.5,22.277.861
"October, 2016","62,7  8,1 (14,84%)",62.7,46.5,54.6,62.7,62.7,50.2,62.7,62.7,53.970000000000006,40.1,2.014.270
"November, 2016","106,1  -0,29 (-0,27%)",12.23,90.5,10.64,10.6,10.66,10.5,10.61,106.12,91.33,17.15,1.819.872
"December, 2016","125,5  -3,51 (-2,72%)",14.81,10.95,12.88,12.5,12.8,12.26,12.55,125.29,108.02,13.202,1.654.143
"January, 2017","135  1,2 (0,9%)",14.31,12.45,13.38,13.8,13.8,13.11,13.5,134.16,11.62,5.32,714.000
"February, 2017","107,6  -2,3 (-2,09%)",11.75,10.23,10.99,10.9,11.35,10.76,10.76,108.31,92.62,5.14,557.000
"March, 2017","81,1  -2,9 (-3,45%)",89.8,78.2,84.0,86.0,86.0,81.0,81.1,82.4,69.81,10.87,896.000
"April, 2017","84,3  0,1 (0,12%)",90.0,78.4,84.2,85.3,85.4,83.0,84.3,83.17,72.56,10.1,840.000
"May, 2017","80,9  0,3 (0,37%)",86.2,75.0,80.6,81.0,81.0,80.5,80.9,80.95,69.63,2.52,204.000
"June, 2017","78  -0,4 (-0,51%)",83.8,73.0,78.4,78.4,78.4,77.0,78.0,77.67,67.14,1.03,80.0
"July, 2017","77,7  -1,6 (-2,02%)",84.8,73.8,79.3,78.2,79.2,77.5,77.7,77.92999999999999,66.88,15.45,1.204.000
"August, 2017","84,2  -1,2 (-1,41%)",91.3,79.5,85.4,86.0,86.0,83.6,84.2,84.72999999999999,72.47,15.19,1.287.000
"September, 2017","124,7  8,1 (6,95%)",12.47,10.85,11.66,12.2,12.47,12.2,12.47,124.55,111.37,55.52,6.915.000
"October, 2017","110  -4,9 (-4,26%)",12.29,10.69,11.49,11.5,11.5,11.0,11.0,112.36,98.24,12.14,1.364.000
"November, 2017","154  9,6 (6,65%)",15.45,13.43,14.44,15.45,15.45,14.54,15.4,15.44,137.54000000000002,70.41,10.871.000
"December, 2017","127,6  3,6 (2,9%)",13.26,11.54,12.4,12.69,12.91,12.4,12.76,127.17,113.96,37.83,4.811.000
"January, 2018","154  -3,5 (-2,22%)",16.85,14.65,15.75,15.75,15.75,15.0,15.4,151.70999999999998,137.54000000000002,9.65,1.464.000
"February, 2018","147,2  0 (0%)",15.75,13.69,14.72,14.73,15.0,14.5,14.72,148.37,131.45999999999998,2.15,319.000
"March, 2018","129,5  1,5 (1,17%)",13.69,11.91,12.8,12.9,12.99,12.9,12.95,129.37,115.66,3.95,511.0
"April, 2018","104,5  5,5 (5,56%)",10.59,92.1,99.0,95.0,10.45,92.1,10.45,98.2,93.33,3.34,328.0
"May, 2018","104  -0,7 (-0,67%)",11.2,97.4,10.47,100.0,10.4,100.0,10.4,103.95,92.88,760.0,79.0
"June, 2018","91,5  -5,5 (-5,67%)",10.37,90.3,97.0,98.0,98.0,91.5,91.5,94.27,81.72,2.79,263.000
"July, 2018","82,6  -3 (-3,5%)",91.5,79.7,85.6,85.6,85.6,82.3,82.6,82.5,73.77000000000001,2.4,198.0
"August, 2018","84  -0,9 (-1,06%)",90.8,79.0,84.9,84.7,84.7,84.0,84.0,85.37,75.02000000000001,410.0,35.0
"September, 2018","86  -0,6 (-0,69%)",92.6,80.6,86.6,88.8,89.0,86.0,86.0,87.55,76.81,2.65,232.0
"October, 2018","82,2  -2,7 (-3,18%)",90.8,79.0,84.9,83.5,84.0,82.2,82.2,83.33,73.41,540.0,45.0
