Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,9  0,3 (2,21%)",14.5,12.7,13.6,13.8,14.0,13.8,13.9,13.98,66.9,208.34,2.912.000
"February, 2014","13,8  0,4 (2,99%)",14.3,12.5,13.4,13.4,13.8,13.3,13.8,13.44,52.8,21.24,285.520
"March, 2014","14,9  -0,6 (-3,87%)",16.5,14.5,15.5,15.5,15.8,14.9,14.9,15.35,57.0,131.48,2.018.295
"April, 2014","11,9  0 (0%)",12.7,11.1,11.9,11.9,11.9,11.6,11.9,11.65,45.6,18.0,209.730
"May, 2014","10,8  0,1 (0,93%)",11.4,10.0,10.7,10.6,10.8,10.5,10.8,10.68,42.9,71.31,762.000
"June, 2014","10,9  -0,1 (-0,91%)",11.7,10.3,11.0,11.0,11.2,10.9,10.9,11.02,43.3,86.18,949.000
"July, 2014","10,7  0,2 (1,9%)",11.2,98.0,10.5,10.6,10.9,10.4,10.7,10.7,51.5,49.9,534.000
"August, 2014","11,6  0,1 (0,87%)",12.3,10.7,11.5,11.5,11.6,11.4,11.6,11.49,55.8,82.37,946.000
"September, 2014","13,9  -0,3 (-2,11%)",15.1,13.3,14.2,14.0,14.1,13.9,13.9,13.99,66.9,560.54,7.841.000
"October, 2014","14  0,6 (4,48%)",14.3,12.5,13.4,13.4,14.1,13.3,14.0,13.74,67.3,265.47,3.647.000
"November, 2014","13,6  0 (0%)",14.5,12.7,13.6,13.7,13.9,13.6,13.6,13.66,65.4,100.15,1.368.000
"December, 2014","13,4  0,3 (2,29%)",14.0,12.2,13.1,13.2,13.5,13.0,13.4,13.34,64.4,38.62,515.000
"January, 2015","13,9  -0,4 (-2,8%)",15.3,13.3,14.3,14.3,14.3,13.9,13.9,14.12,66.9,48.32,682.000
"February, 2015","14,9  0,3 (2,05%)",15.6,13.6,14.6,14.6,14.9,14.5,14.9,14.65,71.7,157.45,2.307.000
"March, 2015","15,4  -0,3 (-1,91%)",16.7,14.7,15.7,15.7,15.7,15.1,15.4,15.46,84.2,59.28,917.000
"April, 2015","16,9  -0,2 (-1,17%)",18.2,16.0,17.1,16.9,17.0,16.8,16.9,16.85,92.4,56.87,958.000
"May, 2015","16  -0,1 (-0,62%)",17.2,15.0,16.1,16.3,16.3,15.8,16.0,15.98,87.5,105.54,1.687.000
"June, 2015","16,8  0 (0%)",17.9,15.7,16.8,16.6,17.2,16.6,16.8,16.880000000000003,91.9,274.04,4.627.000
"July, 2015","22,4  -0,4 (-1,75%)",24.3,21.3,22.8,22.9,23.0,22.1,22.4,22.52,12.25,210.87,4.749.000
"August, 2015","24,4  -0,6 (-2,4%)",26.7,23.3,25.0,23.8,25.0,23.8,24.4,24.37,17.07,51.83,1.263.000
"September, 2015","22,7  -0,1 (-0,44%)",24.3,21.3,22.8,22.9,23.2,22.7,22.7,22.86,15.75,24.97,571.000
"October, 2015","23,3  0,2 (0,87%)",24.7,21.5,23.1,23.1,23.3,22.9,23.3,23.14,16.85,36.68,849.000
"November, 2015","18,4  -1,1 (-5,64%)",20.8,18.2,19.5,19.8,19.8,18.3,18.4,18.75,13.3,33.92,636.000
"December, 2015","18,5  -0,3 (-1,6%)",19.2,16.8,18.8,18.6,18.9,18.5,18.5,18.59,14.28,22.29,414.000
"January, 2016","15,7  -0,1 (-0,63%)",16.9,14.7,15.8,15.8,15.9,15.6,15.7,15.71,13.89,36.52,574.000
"February, 2016","21,5  -0,5 (-2,27%)",23.5,20.5,22.0,21.5,22.0,21.5,21.5,21.79,19.02,180.92,3.943.000
"March, 2016","20,6  -1,1 (-5,07%)",23.2,20.2,21.7,21.7,21.7,20.5,20.6,20.87,16.77,182.37,3.806.000
"April, 2016","23,1  1,5 (6,94%)",23.1,20.1,21.6,21.7,23.1,21.7,23.1,22.74,17.919999999999998,926.15,21.075.000
"May, 2016","21  -0,2 (-0,94%)",22.6,19.8,21.2,21.4,21.6,21.0,21.0,21.130000000000003,18.22,61.02,1.289.000
"June, 2016","24  -0,4 (-1,64%)",26.1,22.7,24.4,24.5,24.7,24.0,24.0,24.36,21.4,32.36,788.000
"July, 2016","28,1  0,1 (0,36%)",29.9,26.1,28.0,28.0,28.3,27.6,28.1,27.73,25.06,11.73,325.000
"August, 2016","30,4  0,6 (2,01%)",31.8,27.8,29.8,30.5,30.5,29.8,30.4,29.93,27.110000000000003,11.72,351.000
"September, 2016","36,2  -2,4 (-6,22%)",41.3,35.9,38.6,38.5,38.6,36.2,36.2,37.72,32.28,43.8,1.652.000
"October, 2016","33  0,3 (0,92%)",34.95,30.45,32.7,32.5,33.0,31.8,33.0,32.58,29.43,15.53,506.000
"November, 2016","35  -0,9 (-2,51%)",38.4,33.4,35.9,35.9,35.9,35.0,35.0,35.010000000000005,31.21,12.11,424.0
"December, 2016",38  -2 (-5%),42.8,37.2,40.0,39.0,39.0,37.2,38.0,37.86,33.89,36.23,1.372.000
"January, 2017","41,5  0 (0%)",44.4,38.6,41.5,41.5,41.6,41.5,41.5,41.510000000000005,37.010000000000005,1.16,48.000
"February, 2017","39,9  -0,1 (-0,25%)",42.8,37.2,40.0,39.9,39.9,39.9,39.9,39.9,35.58,10.0,327.000
"March, 2017","39,6  -0,2 (-0,5%)",42.55,37.05,39.8,37.8,39.7,37.8,39.6,39.6,35.31,5.03,199.0
"April, 2017","39,4  1,4 (3,68%)",40.65,35.35,38.0,39.0,39.8,39.0,39.4,39.59,36.4,7.4,293.0
"May, 2017",40  0 (0%),42.8,37.2,40.0,40.0,40.0,40.0,40.0,40.0,36.96,1.0,40.000
"June, 2017","39,2  0,2 (0,51%)",41.7,36.3,39.0,39.5,39.5,38.6,39.2,38.94,36.22,22.42,873.0
"July, 2017","37,8  0 (0%)",40.4,35.2,37.8,37.6,37.8,35.7,37.8,36.61,34.93,39.31,1.439.000
"August, 2017","36,4  0,1 (0,28%)",38.8,33.8,36.3,36.3,36.4,36.3,36.4,36.33,33.63,5.01,182.000
"September, 2017","34,9  -0,05 (-0,14%)",37.35,32.55,34.95,34.5,34.9,34.35,34.9,34.72,32.25,6.25,217.0
"October, 2017","32,5  -0,3 (-0,91%)",35.05,30.55,32.8,31.4,32.5,31.3,32.5,31.860000000000003,30.03,4.08,130.0
"November, 2017",32  0 (0%),34.2,29.8,32.0,30.65,32.0,30.65,32.0,31.98,29.57,2.22,71.0
"December, 2017","36,9  1,4 (3,94%)",37.95,33.05,35.5,35.45,37.0,35.45,36.9,36.89,34.09,7.4,273.0
"January, 2018","38,6  0,2 (0,52%)",41.05,35.75,38.4,36.1,38.6,36.1,38.6,38.14,35.67,14.5,553.0
"February, 2018","40  0,1 (0,25%)",42.65,37.15,39.9,37.3,40.0,37.15,40.0,38.260000000000005,36.96,34.4,1.316.000
"March, 2018","36,5  1,45 (4,14%)",37.5,32.6,35.05,33.6,36.5,33.55,36.5,35.58,33.72,16.3,580.0
"April, 2018",31  0 (0%),33.15,28.85,31.0,29.05,31.0,29.05,31.0,30.77,28.64,2.08,64.0
"May, 2018","30,95  0,05 (0,16%)",33.05,28.75,30.9,30.95,30.95,30.95,30.95,30.82,28.6,3.05,94.0
"June, 2018","27,15  -0,25 (-0,91%)",29.3,25.5,27.4,27.2,27.2,27.0,27.15,27.23,26.360000000000003,2.02,55.0
"July, 2018","32,2  1,9 (6,27%)",32.4,28.2,30.3,29.4,32.2,29.4,32.2,31.130000000000003,31.26,8.16,254.0
"August, 2018","28,5  0,5 (1,79%)",29.95,26.05,28.0,28.5,28.5,27.65,28.5,28.19,27.67,10.04,283.0
"September, 2018","26,4  0 (0%)",28.2,24.6,26.4,26.4,26.4,25.5,26.4,25.8,25.630000000000003,25.62,661.0
"October, 2018","25,25  1,65 (6,99%)",25.25,21.95,23.6,22.6,25.25,22.6,25.25,24.74,24.51,2.91,72.0
"November, 2018","24,1  0,1 (0,42%)",25.65,22.35,24.0,23.7,24.1,22.9,24.1,23.94,23.4,7.1,170.000
"December, 2018",26  0 (0%),27.8,24.2,26.0,25.95,26.0,24.75,26.0,25.880000000000003,25.24,5.1,132.0
"January, 2019","26,5  0,65 (2,51%)",27.65,24.05,25.85,24.55,26.5,24.55,26.5,25.36,25.73,8.32,211.0
"February, 2019","26,95  1,75 (6,94%)",26.95,23.45,25.2,25.0,26.95,24.7,26.95,26.33,26.160000000000004,13.71,361.0
"March, 2019","24,5  0,05 (0,2%)",26.15,22.75,24.45,24.4,24.5,24.4,24.5,24.47,23.79,9.03,221.0
"April, 2019","23,35  0 (0%)",24.95,21.75,23.35,23.35,23.35,23.35,23.35,23.81,22.67,1.05,25.000
"May, 2019","21  -0,4 (-1,87%)",22.85,19.95,21.4,21.2,21.2,20.75,21.0,21.04,20.39,13.26,279.0
"June, 2019","19,2  0,15 (0,79%)",20.35,17.75,19.05,19.0,19.2,19.0,19.2,19.12,18.64,5.65,108.0
"July, 2019","23,95  0,15 (0,63%)",25.45,22.15,23.8,23.95,23.95,23.0,23.95,23.83,23.25,6.21,148.0
"August, 2019","24  0,1 (0,42%)",25.55,22.25,23.9,23.5,24.0,23.4,24.0,23.83,24.0,5.75,137.0
"September, 2019","24  0,5 (2,13%)",25.1,21.9,23.5,23.3,24.0,23.25,24.0,23.55,24.0,5.01,118.0
"October, 2019","25,8  0 (0%)",27.6,24.0,25.8,25.6,25.8,25.0,25.8,25.81,25.8,4.03,104.0
"November, 2019","25,35  0,05 (0,2%)",27.05,23.55,25.3,25.2,25.85,25.2,25.35,25.48,25.35,6.2,158.0
