Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"December, 2020","13,2  0 (0%)",0.0,0.0,0.0,13.2,13.2,13.2,13.2,13.2,0.0,5.0,66.000
"January, 2021","12,1  0,5 (4,31%)",12.4,10.8,11.6,11.5,12.2,11.5,12.1,11.9,0.0,1.169.200,14.014.000
"February, 2021","11,45  -0,1 (-0,87%)",12.35,10.75,11.55,11.4,11.55,11.4,11.45,11.47,0.0,92.6,1.062.000
"March, 2021","11,7  0 (0%)",12.5,10.9,11.7,11.9,11.9,11.65,11.7,11.73,0.0,564.9,6.627.000
"April, 2021","10  -0,1 (-0,99%)",10.8,94.0,10.1,10.1,10.15,10.0,10.0,10.04,0.0,135.8,1.363.000
"May, 2021","10,9  -0,2 (-1,8%)",11.85,10.35,11.1,11.1,11.1,10.6,10.9,10.85,0.0,188.7,2.048.000
"June, 2021","10,95  -0,35 (-3,1%)",12.05,10.55,11.3,11.1,11.1,10.9,10.95,10.96,0.0,140.9,1.544.000
"July, 2021","10,15  0,05 (0,5%)",10.8,94.0,10.1,10.1,10.2,10.05,10.15,10.09,0.0,97.6,985.000
"August, 2021","12,8  -0,6 (-4,48%)",14.3,12.5,13.4,13.4,13.75,12.6,12.8,12.94,0.0,329.600,4.266.000
"September, 2021","10,2  0 (0%)",10.9,94.9,10.2,10.1,10.35,10.1,10.2,10.24,0.0,656.500,6.724.000
"October, 2021","11,5  0,75 (6,98%)",11.5,10.0,10.75,10.95,11.5,10.75,11.5,11.29,0.0,3.218.900,36.327.000
"November, 2021","12,6  0,8 (6,78%)",12.6,11.0,11.8,12.0,12.6,11.8,12.6,12.47,0.0,1.998.400,24.916.000
"December, 2021","13  0,15 (1,17%)",13.7,12.0,12.85,12.8,13.15,12.4,13.0,12.62,0.0,1.263.300,15.943.000
