Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14,2  0,4 (2,9%)",14.7,12.9,13.8,13.8,14.2,13.8,14.2,14.12,49.4,49.44,698.000
"February, 2014","15,9  0,1 (0,63%)",16.9,14.7,15.8,15.8,15.9,15.5,15.9,15.72,48.9,159.76,2.511.807
"March, 2014","16,5  0,1 (0,61%)",17.5,15.3,16.4,16.3,16.8,16.3,16.5,16.52,50.7,494.1,8.164.504
"April, 2014","14,8  0,1 (0,68%)",15.7,13.7,14.7,14.7,14.8,14.6,14.8,14.669999999999998,45.5,84.61,1.240.832
"May, 2014","13,2  -0,2 (-1,49%)",14.3,12.5,13.4,13.4,13.4,13.2,13.2,13.34,40.6,30.6,408.000
"June, 2014","13,2  -0,2 (-1,49%)",14.3,12.5,13.4,13.2,13.3,13.2,13.2,13.2,40.6,26.27,347.000
"July, 2014","12,1  0,1 (0,83%)",12.8,11.2,12.0,12.0,12.2,12.0,12.1,12.04,42.1,12.8,154.000
"August, 2014","12,6  0 (0%)",13.4,11.8,12.6,12.7,12.7,12.5,12.6,12.58,43.8,88.43,1.112.000
"September, 2014","12,9  0 (0%)",13.8,12.0,12.9,12.7,12.9,12.7,12.9,12.76,44.8,57.8,738.000
"October, 2014","13,7  0,1 (0,74%)",14.5,12.7,13.6,13.5,13.8,13.3,13.7,13.580000000000002,47.6,56.57,768.000
"November, 2014","13,8  -0,1 (-0,72%)",14.8,13.0,13.9,13.9,14.2,13.8,13.8,13.96,48.0,18.2,254.000
"December, 2014","14,7  0,4 (2,8%)",15.3,13.3,14.3,13.6,15.0,13.6,14.7,14.53,51.1,48.51,705.000
"January, 2015","15,7  0,5 (3,29%)",16.2,14.2,15.2,15.2,16.1,15.2,15.7,15.87,54.6,433.77,6.884.000
"February, 2015","15,5  0 (0%)",16.5,14.5,15.5,15.6,15.6,15.4,15.5,15.46,53.9,7.11,110.000
"March, 2015","16,1  0,1 (0,63%)",17.1,14.9,16.0,16.1,16.3,16.0,16.1,16.169999999999998,56.0,26.85,434.000
"April, 2015",15  0 (0%),16.0,14.0,15.0,15.0,15.0,14.9,15.0,15.0,52.1,12.03,180.000
"May, 2015","15,4  0 (0%)",16.4,14.4,15.4,15.2,15.4,15.2,15.4,15.28,53.5,15.06,230.0
"June, 2015","14,5  0 (0%)",15.5,13.5,14.5,14.4,14.5,14.3,14.5,14.330000000000002,50.4,28.48,408.0
"July, 2015","13,7  -0,1 (-0,72%)",14.7,12.9,13.8,13.7,13.7,13.7,13.7,13.7,54.9,360.0,5.0
"August, 2015","12,7  0,3 (2,42%)",13.2,11.6,12.4,12.7,12.7,12.7,12.7,12.7,51.7,10.0,25.0
"September, 2015","10,8  0 (0%)",11.5,10.1,10.8,11.0,11.0,10.1,10.8,10.19,41.0,160.03,1.623.126
"October, 2015","11,6  0,4 (3,57%)",11.9,10.5,11.2,11.4,11.9,11.2,11.6,11.6,46.9,129.78,1.505.000
"November, 2015","10,8  0,3 (2,86%)",11.2,98.0,10.5,10.4,10.9,10.3,10.8,10.72,43.7,27.07,290.0
"December, 2015",11  0 (0%),11.6,10.2,11.0,11.0,11.1,10.9,11.0,10.98,42.8,69.16,760.0
"January, 2016","11,7  -0,1 (-0,85%)",12.6,11.0,11.8,11.6,11.8,11.6,11.7,11.73,45.5,37.3,438.0
"February, 2016","13,1  0,7 (5,65%)",13.2,11.6,12.4,12.7,13.2,12.7,13.1,12.95,50.9,123.46,1.599.000
"March, 2016","16,7  -1,2 (-6,7%)",19.1,16.7,17.9,17.5,18.5,16.7,16.7,17.28,64.9,374.24,6.465.000
"April, 2016","15,1  0 (0%)",16.1,14.1,15.1,15.3,15.3,15.1,15.1,15.11,56.0,64.94,981.000
"May, 2016","14,6  -0,3 (-2,01%)",15.9,13.9,14.9,14.7,14.8,14.5,14.6,14.53,55.7,49.88,725.000
"June, 2016","15,2  -0,1 (-0,65%)",16.3,14.3,15.3,15.7,15.7,15.1,15.2,15.23,72.3,85.57,1.303.000
"July, 2016","13,6  -0,1 (-0,73%)",14.6,12.8,13.7,13.6,13.7,13.4,13.6,13.61,64.7,54.58,743.0
"August, 2016","13,7  -0,1 (-0,72%)",14.7,12.9,13.8,13.7,13.8,13.7,13.7,13.74,65.1,21.2,291.0
"September, 2016","13,9  -0,3 (-2,11%)",15.15,13.25,14.2,13.85,14.0,13.7,13.9,13.82,66.1,65.66,908.000
"October, 2016","13  -0,2 (-1,52%)",14.1,12.3,13.2,13.2,13.2,13.0,13.0,13.169999999999998,61.8,20.47,270.0
"November, 2016","12,9  -0,1 (-0,77%)",13.9,12.1,13.0,13.1,13.1,12.9,12.9,12.97,61.3,11.01,143.000
"December, 2016","13,5  0,5 (3,85%)",13.9,12.1,13.0,13.15,13.7,13.15,13.5,13.51,64.2,34.35,464.000
"January, 2017","13,9  0 (0%)",14.85,12.95,13.9,14.2,14.2,13.9,13.9,13.9,66.1,2.62,36.0
"February, 2017","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.2,13.35,13.2,13.3,13.26,63.2,21.25,282.0
"March, 2017","13,55  0 (0%)",14.45,12.65,13.55,13.4,13.55,13.4,13.55,13.4,64.4,3.1,42.0
"April, 2017","13  -0,1 (-0,76%)",14.0,12.2,13.1,13.05,13.05,13.0,13.0,12.95,61.8,5.87,76.0
"May, 2017","13,2  0 (0%)",14.1,12.3,13.2,13.2,13.2,13.2,13.2,13.23,62.8,4.46,59.0
"June, 2017","12,7  -0,1 (-0,78%)",13.65,11.95,12.8,12.65,12.7,12.6,12.7,12.67,70.2,7.18,91.0
"July, 2017",12  0 (0%),12.8,11.2,12.0,12.0,12.0,11.9,12.0,11.93,66.4,11.82,141.0
"August, 2017","11,6  -0,1 (-0,85%)",12.5,10.9,11.7,11.65,11.65,11.6,11.6,11.66,64.1,1.63,19.0
"September, 2017","11,7  0,05 (0,43%)",12.45,10.85,11.65,11.6,11.7,11.6,11.7,11.59,64.7,3.02,35.000
"October, 2017","10,3  0 (0%)",11.0,95.8,10.3,0.0,0.0,0.0,10.3,0.0,59.9,26.78,275.0
"November, 2017","10,4  -0,1 (-0,95%)",11.2,97.7,10.5,10.5,10.5,10.4,10.4,10.42,63.7,12.38,129.0
"December, 2017","12  0,7 (6,19%)",12.05,10.55,11.3,11.4,12.05,11.4,12.0,11.64,73.6,19.85,231.0
"January, 2018","11,9  -0,1 (-0,83%)",12.8,11.2,12.0,11.9,11.9,11.9,11.9,11.86,73.0,7.0,83.0
"February, 2018","11,55  -0,25 (-2,12%)",12.6,11.0,11.8,11.3,11.55,11.2,11.55,11.22,70.8,13.01,146.0
"March, 2018","11,5  0,4 (3,6%)",11.85,10.35,11.1,11.0,11.5,11.0,11.5,11.04,70.5,4.44,49.0
"April, 2018","12,05  0,05 (0,42%)",12.8,11.2,12.0,11.85,12.05,11.8,12.05,10.53,73.9,190.0,2.000
"May, 2018","11,4  0 (0%)",12.15,10.65,11.4,11.4,11.9,11.2,11.4,11.48,82.5,27.78,319.0
"June, 2018","11,5  0 (0%)",12.3,10.7,11.5,11.4,11.5,11.4,11.5,11.61,83.2,1.12,13.0
