Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","40,1  0,1 (0,25%)",42.8,37.2,40.0,39.8,40.1,39.8,40.1,40.08,14.4,4.51,181.000
"February, 2014","35  -0,8 (-2,23%)",38.3,33.3,35.8,38.0,38.0,34.2,35.0,34.53,11.2,11.32,390.932
"March, 2014","34,2  -0,3 (-0,87%)",36.9,32.1,34.5,33.0,34.2,33.0,34.2,34.0,10.94,240.0,8.16
"April, 2014","35,5  -1,5 (-4,05%)",39.5,34.5,37.0,35.0,35.5,34.5,35.5,34.8,11.36,1.21,42.104
"May, 2014","44,5  2,5 (5,95%)",44.9,39.1,42.0,42.0,44.5,42.0,44.5,43.25,15.02,20.0,1.0
"June, 2014","34,5  -1,9 (-5,22%)",38.9,33.9,36.4,35.2,36.4,34.1,34.5,34.22,11.65,5.86,201.0
"July, 2014",33  0 (0%),35.3,30.7,33.0,32.0,33.0,31.0,33.0,32.260000000000005,11.14,5.95,192.0
"August, 2014","31,6  0,2 (0,64%)",33.5,29.3,31.4,31.4,31.6,31.4,31.6,31.48,11.35,1.3,41.0
"September, 2014","37,5  0,1 (0,27%)",40.0,34.8,37.4,37.5,37.5,36.0,37.5,37.5,13.47,6.42,241.000
"October, 2014","36,1  0 (0%)",38.6,33.6,36.1,0.0,0.0,0.0,36.1,0.0,12.97,120.0,5.000
"November, 2014",40  0 (0%),42.8,37.2,40.0,40.0,40.0,40.0,40.0,40.0,14.37,40.0,1.600.000
"December, 2014",38  0 (0%),40.6,35.4,38.0,0.0,0.0,0.0,38.0,0.0,14.21,17.4,661.0
"January, 2015","36  -2,5 (-6,49%)",41.1,35.9,38.5,36.0,36.0,36.0,36.0,36.0,13.46,10.0,23.0
"February, 2015",41  0 (0%),43.8,38.2,41.0,0.0,0.0,0.0,41.0,0.0,15.330000000000002,11.02,441.000
"March, 2015",41  0 (0%),43.8,38.2,41.0,41.0,41.0,41.0,41.0,41.0,15.330000000000002,5.23,214.0
"April, 2015",40  0 (0%),42.8,37.2,40.0,0.0,0.0,0.0,40.0,0.0,14.96,413.21,15.223.000
"May, 2015",40  0 (0%),42.8,37.2,40.0,0.0,0.0,0.0,40.0,0.0,15.5,1.0,40.0
"June, 2015","36,5  0 (0%)",39.0,34.0,36.5,0.0,0.0,0.0,36.5,0.0,14.14,1.0,37.0
"July, 2015","33  -1,5 (-4,35%)",36.9,32.1,34.5,35.9,36.0,33.0,33.0,36.0,12.78,20.01,720.0
"August, 2015","31,9  0 (0%)",34.1,29.7,31.9,0.0,0.0,0.0,31.9,0.0,11.44,10.0,18.0
"September, 2015",33  0 (0%),35.3,30.7,33.0,0.0,0.0,0.0,33.0,0.0,10.52,20.0,1.0
"October, 2015","40  0,5 (1,27%)",42.2,36.8,39.5,38.0,40.0,38.0,40.0,38.67,13.32,30.0,1.000
"November, 2015","41,7  0,2 (0,48%)",44.4,38.6,41.5,41.7,44.0,41.7,41.7,43.19,13.89,13.88,600.0
"December, 2015","41,9  0 (0%)",44.9,39.1,41.9,41.9,41.9,41.9,41.9,41.9,14.18,1.91,80.0
"January, 2016","39  -1 (-2,5%)",42.8,37.2,40.0,39.0,39.0,39.0,39.0,39.0,13.2,2.0,78.0
"February, 2016","37,3  0 (0%)",39.9,34.7,37.3,0.0,0.0,0.0,37.3,0.0,12.62,19.28,769.0
"March, 2016","41,5  0 (0%)",44.4,38.6,41.5,0.0,0.0,0.0,41.5,0.0,14.04,20.0,1.0
"April, 2016",37  0 (0%),39.5,34.5,37.0,0.0,0.0,0.0,37.0,0.0,11.85,5.96,221.0
"May, 2016","34  -3 (-8,11%)",37.7,32.9,37.0,34.0,34.0,34.0,34.0,34.0,99.5,10.0,552.0
"June, 2016","38  1,2 (3,26%)",39.3,34.3,36.8,38.0,38.0,38.0,38.0,38.0,12.72,10.0,6.0
"July, 2016","34,7  0 (0%)",37.1,32.3,34.7,0.0,0.0,0.0,34.7,0.0,11.62,10.0,115.0
