Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","23,8  0,75 (3,25%)",24.65,21.45,23.05,23.05,23.85,22.9,23.8,23.4,20.96,239.280,5.598.000
"February, 2017","25  -0,55 (-2,15%)",27.3,23.8,25.55,25.6,25.6,23.8,25.0,24.880000000000003,21.58,308.420,7.674.000
"March, 2017",25  0 (0%),26.75,23.25,25.0,25.0,25.2,24.7,25.0,24.82,21.58,1.778.550,41.788.000
"April, 2017","23,8  0 (0%)",25.45,22.15,23.8,23.8,24.15,23.2,23.8,23.81,20.96,340.630,8.109.000
"May, 2017","23,7  -0,1 (-0,42%)",25.45,22.15,23.8,23.8,23.8,23.4,23.7,23.59,20.87,1.621.990,41.053.000
"June, 2017","23,4  -0,3 (-1,27%)",25.35,22.05,23.7,23.8,23.8,23.25,23.4,23.37,20.6,144.070,3.367.000
"July, 2017","27,35  1,75 (6,84%)",27.35,23.85,25.6,27.35,27.35,27.35,27.35,27.35,23.6,265.000,7.090.250
"August, 2017","25  -0,3 (-1,19%)",27.05,23.55,25.3,25.15,25.55,24.7,25.0,25.02,21.58,317.39,7.806.832
"September, 2017","26,9  -0,1 (-0,37%)",28.85,25.15,27.0,27.2,27.25,26.4,26.9,26.71,23.22,146.050,3.901.000
"October, 2017","25,3  -0,3 (-1,17%)",27.35,23.85,25.6,25.4,25.6,25.2,25.3,25.41,21.84,1.673.320,45.434.416
"November, 2017","23,05  0,2 (0,88%)",24.4,21.3,22.85,23.35,23.35,22.65,23.05,22.99,20.3,159.140,3.658.000
"December, 2017","22,7  0 (0%)",24.25,21.15,22.7,22.2,22.7,22.2,22.7,22.52,19.99,117.160,2.639.000
"January, 2018","28  -0,4 (-1,41%)",30.35,26.45,28.4,28.2,28.3,27.5,28.0,28.07,24.66,1.327.500,35.851.000
"February, 2018","27,8  -0,15 (-0,54%)",29.9,26.0,27.95,28.0,28.1,27.8,27.8,27.95,24.95,179.45,5.015.000
"March, 2018","25,1  -0,9 (-3,46%)",27.8,24.2,26.0,25.2,26.0,25.1,25.1,25.52,22.52,134.130,3.423.000
"April, 2018","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,23.0,23.0,22.5,22.9,22.83,20.880000000000003,246.420,5.971.000
"May, 2018","19,3  -0,35 (-1,78%)",21.0,18.3,19.65,19.05,19.3,18.9,19.3,19.07,17.59,131.51,2.508.000
"June, 2018","16,5  0 (0%)",17.65,15.35,16.5,16.0,16.5,16.0,16.5,16.330000000000002,15.04,388.88,6.395.000
"July, 2018","17,55  0,4 (2,33%)",18.35,15.95,17.15,17.3,17.55,17.3,17.55,17.43,16.0,1.114.070,20.407.250
"August, 2018","18,4  0 (0%)",19.65,17.15,18.4,18.25,18.4,18.15,18.4,18.3,16.77,204.07,3.795.250
"September, 2018","20  0,5 (2,56%)",20.85,18.15,19.5,19.5,20.2,19.5,20.0,19.880000000000003,18.23,459.040,9.132.000
"October, 2018","19,5  -0,05 (-0,26%)",20.9,18.2,19.55,19.3,19.55,19.2,19.5,19.32,17.78,109.56,2.117.000
"November, 2018","23,1  0,2 (0,87%)",24.5,21.3,22.9,22.9,23.4,22.85,23.1,22.99,21.06,209.04,4.796.000
"December, 2018","24,6  0,1 (0,41%)",26.2,22.8,24.5,24.5,24.8,23.6,24.6,24.41,23.74,94.43,2.305.000
"January, 2019","23,95  -0,05 (-0,21%)",25.65,22.35,24.0,23.6,24.0,23.6,23.95,23.89,23.11,105.320,2.493.000
"February, 2019","25,2  -0,25 (-0,98%)",27.2,23.7,25.45,25.8,26.0,25.0,25.2,25.33,24.32,2.594.900,65.231.000
"March, 2019","26,7  -0,25 (-0,93%)",28.8,25.1,26.95,27.3,27.3,26.7,26.7,26.93,25.76,547.300,14.739.000
"April, 2019","25,95  0,15 (0,58%)",27.6,24.0,25.8,26.0,26.0,25.6,25.95,25.85,25.04,74.81,1.934.000
"May, 2019","26  0,15 (0,58%)",27.65,24.05,25.85,25.85,26.05,25.8,26.0,25.95,25.09,178.220,4.625.000
