Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","29,3  0,1 (0,34%)",31.2,27.2,29.2,29.2,29.4,29.2,29.3,29.34,99.6,5.55,163.0
"February, 2014","30,1  -0,1 (-0,33%)",32.3,28.1,30.2,30.2,30.8,30.0,30.1,30.17,86.9,90.09,2.717.584
"March, 2014","30,4  -0,3 (-0,98%)",32.8,28.6,30.7,30.5,30.9,30.4,30.4,30.52,87.8,51.84,1.581.957
"April, 2014","31,8  0,2 (0,63%)",33.8,29.4,31.6,31.8,31.8,31.6,31.8,31.68,91.8,2.6,82.362
"May, 2014","28,9  0,1 (0,35%)",30.8,26.8,28.8,29.0,29.0,28.8,28.9,28.880000000000003,90.5,130.0,4.0
"June, 2014","29,7  -0,4 (-1,33%)",32.2,28.0,30.1,30.1,30.1,29.7,29.7,29.72,93.1,2.55,76.000
"July, 2014","33  0,4 (1,23%)",34.8,30.4,32.6,33.2,33.2,32.5,33.0,32.82,10.34,28.0,919.000
"August, 2014","31,8  -0,2 (-0,62%)",34.2,29.8,32.0,31.9,31.9,31.8,31.8,31.89,99.6,7.06,225.000
"September, 2014","32,3  0 (0%)",34.5,30.1,32.3,0.0,0.0,0.0,32.3,0.0,10.12,510.0,17.0
"October, 2014","30,5  0 (0%)",32.6,28.4,30.5,30.5,30.8,30.2,30.5,30.53,95.6,43.38,1.324.000
"November, 2014","29,2  0,2 (0,69%)",31.0,27.0,29.0,29.1,29.2,29.0,29.2,29.15,99.2,2.16,63.0
"December, 2014","29,8  -0,1 (-0,33%)",31.9,27.9,29.9,30.0,30.9,29.8,29.8,30.48,10.13,15.58,475.000
"January, 2015","30,5  0,7 (2,35%)",31.8,27.8,29.8,30.9,30.9,30.0,30.5,30.03,10.36,3.56,107.0
"February, 2015","31,2  0,6 (1,96%)",32.7,28.5,30.6,30.5,31.2,30.3,31.2,30.660000000000004,10.6,1.95,60.0
"March, 2015","31,5  0,5 (1,61%)",33.1,28.9,31.0,31.0,31.5,30.7,31.5,30.98,10.7,9.04,280.000
"April, 2015","35  0,2 (0,57%)",37.2,32.4,34.8,35.0,35.0,34.8,35.0,34.93,11.89,21.66,757.000
"May, 2015","32,8  -0,1 (-0,3%)",35.2,30.6,32.9,32.5,32.8,32.3,32.8,32.4,11.14,1.01,33.000
"June, 2015",31  0 (0%),33.1,28.9,31.0,31.4,31.4,30.5,31.0,30.62,11.36,2.45,75.0
"July, 2015","31,5  0,5 (1,61%)",33.1,28.9,31.0,31.8,31.8,31.0,31.5,31.1,11.54,5.86,182.000
"August, 2015","29,9  0 (0%)",31.9,27.9,29.9,29.6,29.9,29.5,29.9,29.630000000000003,10.34,11.58,343.000
"September, 2015","31,9  0 (0%)",34.1,29.7,31.9,31.9,31.9,31.7,31.9,31.85,11.39,17.66,562.000
"October, 2015","38,5  -0,5 (-1,28%)",41.7,36.3,39.0,39.4,39.4,37.7,38.5,38.38,14.01,24.37,935.000
"November, 2015","33,9  0,1 (0,3%)",36.1,31.5,33.8,33.8,33.9,33.5,33.9,33.82,13.2,3.74,126.0
"December, 2015","34,4  -0,1 (-0,29%)",36.8,32.0,34.5,34.4,34.6,34.2,34.4,34.36,12.42,10.960,377.000
"January, 2016","33,8  0,2 (0,6%)",35.9,31.3,33.6,33.4,34.3,32.0,33.8,33.05,12.47,138.43,4.575.000
"February, 2016","41,5  1 (2,47%)",43.3,37.7,40.5,41.5,42.7,40.5,41.5,41.49,15.31,181.86,7.546.000
"March, 2016","50  3 (6,38%)",50.0,43.8,47.0,47.0,50.0,47.0,50.0,49.55,19.630000000000003,511.32,25.334.000
"April, 2016","47,1  -0,6 (-1,26%)",51.0,44.4,47.7,47.6,48.4,46.0,47.1,46.92,15.66,210.37,9.871.000
"May, 2016","45,6  -0,4 (-0,87%)",49.2,42.8,46.0,46.0,46.0,45.6,45.6,45.82,14.96,42.33,1.940.000
"June, 2016","54  -0,5 (-0,92%)",58.0,51.0,54.5,56.0,56.0,54.0,54.0,54.96,19.5,320.39,17.607.000
"July, 2016","61  2 (3,39%)",63.0,55.0,59.0,59.0,61.5,59.0,61.0,60.84,22.11,263.95,15.892.500
"August, 2016","68,5  1 (1,48%)",72.0,63.0,67.5,68.0,70.0,68.0,68.5,68.97,24.83,205.06,14.143.000
"September, 2016","73  -1,5 (-2,01%)",79.7,69.3,74.5,74.0,74.5,72.8,73.0,73.22999999999999,26.46,115.66,8.470.000
"October, 2016","66,2  -0,1 (-0,15%)",70.9,61.7,66.3,66.9,66.9,65.6,66.2,66.1,24.86,45.28,2.993.000
"November, 2016","57,2  0 (0%)",61.2,53.2,57.2,57.8,57.8,56.4,57.2,56.94,21.48,52.62,2.996.000
"December, 2016","47,2  -1,35 (-2,78%)",51.9,45.2,48.55,47.0,48.5,46.8,47.2,47.36,17.85,666.41,31.560.000
"January, 2017","47,7  1,25 (2,69%)",49.7,43.2,46.45,46.95,47.7,46.5,47.7,47.46,17.369999999999997,58.08,2.757.000
"February, 2017","50,9  -0,6 (-1,17%)",55.1,47.9,51.5,51.5,52.4,50.6,50.9,51.6,18.630000000000003,335.88,17.333.000
"March, 2017","49,4  -0,9 (-1,79%)",53.8,46.8,50.3,50.3,50.3,49.4,49.4,49.82,18.22,353.81,17.628.000
"April, 2017","47,15  -1,05 (-2,18%)",51.5,44.85,48.2,48.2,48.2,47.15,47.15,47.5,17.59,98.54,4.681.000
"May, 2017","49,8  -0,7 (-1,39%)",54.0,47.0,50.5,50.1,50.6,49.6,49.8,50.05,18.74,240.16,12.021.000
"June, 2017","42,4  -0,4 (-0,93%)",45.75,39.85,42.8,42.8,42.8,42.0,42.4,42.2,24.36,176.04,7.429.000
"July, 2017","37,65  -0,65 (-1,7%)",40.95,35.65,38.3,38.9,38.9,37.5,37.65,37.9,21.630000000000003,52.93,2.006.000
"August, 2017","36,9  1,9 (5,43%)",37.45,32.55,35.0,35.3,36.9,35.3,36.9,36.39,21.2,236.69,8.613.000
"September, 2017","34,45  -0,05 (-0,14%)",36.9,32.1,34.5,34.5,34.6,34.0,34.45,34.19,21.19,70.92,2.425.000
"October, 2017","34,6  -0,3 (-0,86%)",37.3,32.5,34.9,34.5,35.6,34.1,34.6,34.62,21.28,157.38,5.448.000
"November, 2017","38,1  -0,55 (-1,42%)",41.35,35.95,38.65,39.1,39.2,38.1,38.1,38.71,23.44,142.95,5.534.000
"December, 2017","38,3  0,2 (0,52%)",40.75,35.45,38.1,38.3,38.6,38.05,38.3,38.34,23.56,227.71,8.730.000
"January, 2018","37,5  -0,3 (-0,79%)",40.4,35.2,37.8,37.8,38.1,37.2,37.5,37.7,23.07,119.67,4.512.000
"February, 2018","37,95  0,3 (0,8%)",40.25,35.05,37.65,37.65,38.4,37.15,37.95,37.96,23.34,101.29,3.845.000
"March, 2018","37,3  0,2 (0,54%)",39.65,34.55,37.1,37.1,37.4,36.6,37.3,36.82,22.94,26.18,964.000
