Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,2  0 (0%)",10.9,95.0,10.2,10.2,10.2,10.0,10.2,10.09,55.9,39.78,401.0
"February, 2014","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,65.0,65.0,61.0,63.0,61.8,31.0,21.02,129.929
"March, 2014","9,7  -0,2 (-2,02%)",10.5,93.0,99.0,10.2,10.2,93.0,97.0,95.7,50.6,86.38,826.874
"April, 2014","7,2  0,2 (2,86%)",74.0,66.0,7.0,7.0,73.0,7.0,72.0,70.3,37.6,41.52,291.686
"May, 2014","6,2  -0,1 (-1,59%)",67.0,59.0,63.0,62.0,64.0,62.0,62.0,62.3,32.3,64.3,401.000
"June, 2014","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,66.0,66.0,64.0,65.0,65.4,33.9,88.62,580.000
"July, 2014","6,3  0,1 (1,61%)",66.0,58.0,62.0,62.0,63.0,62.0,63.0,62.6,32.9,12.28,77.0
"August, 2014","7,7  0,1 (1,32%)",81.0,71.0,76.0,74.0,78.0,74.0,77.0,76.3,40.2,208.19,1.589.000
"September, 2014","11,1  0,7 (6,73%)",11.1,97.0,10.4,10.6,11.1,10.4,11.1,11.03,57.9,716.04,7.898.000
"October, 2014","9,8  0,5 (5,38%)",99.0,87.0,93.0,9.0,98.0,9.0,98.0,95.0,53.7,67.33,639.000
"November, 2014","10,2  0,3 (3,03%)",10.5,93.0,99.0,96.0,10.3,95.0,10.2,10.05,55.9,70.8,711.0
"December, 2014","9,3  0,6 (6,9%)",93.0,81.0,87.0,93.0,93.0,88.0,93.0,91.2,51.0,41.96,383.0
"January, 2015","9,4  -0,2 (-2,08%)",10.2,9.0,96.0,97.0,97.0,94.0,94.0,94.7,51.5,9.19,87.0
"February, 2015","9,5  0,1 (1,06%)",10.0,88.0,94.0,92.0,96.0,92.0,95.0,94.9,52.1,10.33,98.0
"March, 2015","8,7  0,1 (1,16%)",92.0,8.0,86.0,86.0,89.0,86.0,87.0,86.3,47.7,9.75,84.0
"April, 2015","9,1  0 (0%)",97.0,85.0,91.0,91.0,91.0,9.0,91.0,90.3,49.9,30.68,277.0
"May, 2015",9  0 (0%),96.0,84.0,9.0,91.0,91.0,89.0,9.0,9.0,52.2,13.6,122.0
"June, 2015","8,9  -0,1 (-1,11%)",96.0,84.0,9.0,91.0,91.0,84.0,89.0,86.0,51.6,97.52,839.000
