Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,8  -0,09 (-0,83%)",11.7,97.0,10.7,10.8,10.8,10.5,10.8,10.61,16.39,10.1,107.17
"February, 2014","10,7  0,17 (1,59%)",11.5,95.0,10.5,10.6,10.7,10.6,10.7,10.67,16.240000000000002,3.0,32.0
"March, 2014","12,1  0,09 (0,72%)",13.2,10.8,12.0,12.1,12.1,10.8,12.1,12.09,18.36,23.15,273.300
"April, 2014",11  0 (0%),12.1,99.0,11.0,11.0,11.0,10.9,11.0,10.98,16.619999999999997,8.59,94.191
"May, 2014","10,6  -0,2 (-1,85%)",11.8,98.0,10.8,10.7,10.7,10.6,10.6,10.64,15.99,4.913,52.28
"June, 2014","10,8  0,2 (1,89%)",11.6,96.0,10.6,10.6,10.8,96.0,10.8,10.6,15.82,588.6,5.663.780
"July, 2014",11  0 (0%),12.1,99.0,11.0,11.0,11.0,11.0,11.0,11.0,15.52,28.7,315.7
"August, 2014","11,4  0 (0%)",12.5,10.3,11.4,11.4,11.4,11.3,11.4,11.4,15.62,33.85,385.74
"September, 2014","12,2  0 (0%)",13.4,11.0,12.2,12.1,12.2,12.1,12.2,12.18,15.46,24.5,298.4
"October, 2014","13,7  0,3 (2,24%)",14.7,12.1,13.4,13.5,13.7,13.5,13.7,13.59,16.869999999999997,36.3,493.550
"November, 2014",14  0 (0%),15.4,12.6,14.0,14.0,14.0,13.9,14.0,13.99,16.580000000000002,50.7,709.450
"December, 2014","15,2  0 (0%)",16.7,13.7,15.2,14.7,15.2,14.7,15.2,15.09,16.490000000000002,10.24,154.620
"January, 2015","15  -0,1 (-0,66%)",16.6,13.6,15.1,15.0,15.0,14.9,15.0,15.0,15.8,45.54,683.054
"February, 2015","15,4  0 (0%)",16.9,13.9,15.4,15.5,15.5,15.4,15.4,15.419999999999998,16.259999999999998,25.32,390.360
"March, 2015","15,1  0,1 (0,67%)",16.5,13.5,15.0,15.0,15.1,15.0,15.1,15.080000000000002,16.55,36.27,547.060
"April, 2015","16,7  0 (0%)",18.3,15.1,16.7,16.7,16.8,16.6,16.7,16.68,17.48,66.34,1.106.600
"May, 2015","18,5  -0,1 (-0,54%)",20.4,16.8,18.6,18.3,18.5,18.1,18.5,18.16,17.53,25.4,462.060
"June, 2015",18  0 (0%),19.8,16.2,18.0,18.0,18.2,18.0,18.0,18.05,15.919999999999998,102.95,1.857.320
"July, 2015","18,1  -0,2 (-1,09%)",20.1,16.5,18.3,18.1,18.2,18.1,18.1,18.17,15.89,52.714,957.043
"August, 2015","18,2  0 (0%)",20.0,16.4,18.2,18.2,18.2,18.1,18.2,18.17,15.55,10.63,193.098
"September, 2015","18,7  0,1 (0,54%)",20.4,16.8,18.6,18.6,18.7,18.5,18.7,18.66,15.66,17.4,324.670
"October, 2015","21,9  1,2 (5,8%)",22.7,18.7,20.7,20.7,22.1,20.7,21.9,21.0,17.31,615.638,12.932.832
"November, 2015","21,2  0 (0%)",23.3,19.1,21.2,21.1,21.2,21.0,21.2,21.06,16.1,54.14,1.140.793
"December, 2015","20,7  0 (0%)",22.7,18.7,20.7,20.7,20.7,20.7,20.7,20.7,15.28,7.1,146.970
"January, 2016","19,4  0 (0%)",21.3,17.5,19.4,19.6,19.6,19.4,19.4,19.58,14.4,4.236,82.789
"February, 2016",20  0 (0%),22.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,14.71,3.908,78.16
"March, 2016","20,4  0,1 (0,49%)",22.3,18.3,20.3,20.4,20.5,20.2,20.4,20.37,15.5,25.8,525.608
"April, 2016","18,1  -0,2 (-1,09%)",20.1,16.5,18.3,18.1,18.1,18.1,18.1,18.1,14.64,1.5,27.150
"May, 2016","19,2  0 (0%)",21.1,17.3,19.2,19.2,19.3,17.3,19.2,19.22,15.01,105.475,1.949.810
"June, 2016","20,5  0,7 (3,54%)",21.7,17.9,19.8,19.8,20.5,19.3,20.5,20.3,14.55,313.222,6.362.776
"July, 2016","19,7  0 (0%)",21.6,17.8,19.7,19.7,19.8,19.7,19.7,19.72,14.13,22.5,443.770
"August, 2016","20,7  0,2 (0,98%)",22.5,18.5,20.5,20.2,21.0,20.2,20.7,20.98,15.77,34.170,716.789
"September, 2016","20,5  0,1 (0,49%)",21.8,19.0,20.4,20.4,20.6,20.4,20.5,20.45,15.21,16.54,338.000
"October, 2016","20,4  0,15 (0,74%)",21.65,18.85,20.25,20.05,20.4,20.05,20.4,20.39,15.14,5.8,118.0
