Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","19,3  0,4 (2,12%)",20.2,17.6,18.9,19.0,19.5,19.0,19.3,19.36,16.2,999.010,19.339.000
"February, 2014","25,6  1,6 (6,67%)",25.6,22.4,24.0,24.1,25.6,23.7,25.6,24.630000000000003,21.84,2.024.080,50.031.154
"March, 2014","27,4  -0,1 (-0,36%)",29.4,25.6,27.5,27.6,27.6,27.1,27.4,27.27,23.380000000000003,594.010,16.201.238
"April, 2014","27,3  0,4 (1,49%)",28.7,25.1,26.9,26.8,27.3,26.8,27.3,27.19,23.29,433.500,11.786.639
"May, 2014","18,6  -0,1 (-0,53%)",20.0,17.4,18.7,18.8,18.9,18.6,18.6,18.71,15.62,1.028.550,19.245.000
"June, 2014","18,4  0,1 (0,55%)",19.5,17.1,18.3,18.2,18.6,18.2,18.4,18.48,15.45,628.060,11.607.000
"July, 2014","21,2  0,5 (2,42%)",22.1,19.3,20.7,21.0,21.4,21.0,21.2,21.14,17.8,871.730,18.431.000
"August, 2014","22,3  0,6 (2,76%)",23.2,20.2,21.7,21.7,22.8,21.4,22.3,21.91,18.72,6.482.750,142.049.000
"September, 2014","21,1  -0,1 (-0,47%)",22.6,19.8,21.2,21.1,21.3,21.0,21.1,21.14,17.72,1.068.890,22.634.000
"October, 2014","19,4  0,2 (1,04%)",20.5,17.9,19.2,19.2,19.5,19.2,19.4,19.33,16.29,1.115.570,21.567.000
"November, 2014","18,9  -0,4 (-2,07%)",20.6,18.0,19.3,19.3,19.4,18.9,18.9,19.130000000000003,15.87,252.890,4.838.000
"December, 2014","20,3  0,4 (2,01%)",21.2,18.6,19.9,20.0,20.7,19.9,20.3,20.36,17.04,3.566.370,72.243.000
"January, 2015","18,7  -0,2 (-1,06%)",20.2,17.6,18.9,18.9,19.0,18.5,18.7,18.72,15.7,1.223.760,22.905.000
"February, 2015","18,3  -0,1 (-0,54%)",19.6,17.2,18.4,18.5,18.5,18.2,18.3,18.32,16.419999999999998,862.440,15.803.000
"March, 2015","18,5  0,2 (1,09%)",19.5,17.1,18.3,18.4,18.7,18.4,18.5,18.55,16.6,1.773.820,32.897.000
"April, 2015","21,2  0,1 (0,47%)",22.5,19.7,21.1,21.3,21.9,21.1,21.2,21.52,19.03,2.115.730,45.506.000
"May, 2015","19,8  -0,4 (-1,98%)",21.6,18.8,20.2,20.2,20.5,19.8,19.8,20.01,17.77,4.909.530,98.263.000
"June, 2015","23,7  -0,1 (-0,42%)",25.4,22.2,23.8,23.7,23.8,23.4,23.7,23.66,21.27,2.806.310,66.628.000
"July, 2015","26  -0,3 (-1,14%)",28.1,24.5,26.3,26.2,26.5,26.0,26.0,26.12,23.33,7.000.670,182.840.000
"August, 2015","23,5  -0,6 (-2,49%)",25.7,22.5,24.1,23.9,24.0,23.4,23.5,23.68,19.94,2.868.570,67.923.000
"September, 2015","22,9  -0,2 (-0,87%)",24.7,21.5,23.1,23.1,23.2,22.9,22.9,23.02,20.56,1.064.910,24.634.260
"October, 2015","24,4  -0,1 (-0,41%)",26.2,22.8,24.5,24.5,24.5,24.2,24.4,24.36,21.28,880.160,21.439.000
"November, 2015","21,5  -0,2 (-0,92%)",23.2,20.2,21.7,21.7,21.7,21.2,21.5,21.46,19.39,1.405.380,30.155.000
"December, 2015","21,6  -0,1 (-0,46%)",23.0,20.0,21.7,21.6,21.8,21.6,21.6,21.69,19.59,1.020.780,22.137.000
