Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","30,5  0,2 (0,66%)",32.4,28.2,30.3,30.5,30.5,30.3,30.5,30.37,11.32,310.0,9.0
"February, 2014","29,4  0 (0%)",31.4,27.4,29.4,28.0,30.0,28.0,29.4,28.610000000000003,99.2,5.74,164.226
"March, 2014","29,3  0,3 (1,03%)",31.0,27.0,29.0,29.0,29.3,29.0,29.3,29.0,97.9,6.1,176.93
"April, 2014","28  -0,4 (-1,41%)",30.3,26.5,28.4,27.6,28.4,27.3,28.0,27.72,98.9,1.27,35.2
"May, 2014","28,2  -0,2 (-0,7%)",30.3,26.5,28.4,28.0,28.2,28.0,28.2,28.05,99.6,1.8,50.0
"June, 2014","28,1  0,1 (0,36%)",29.9,26.1,28.0,27.6,28.1,27.6,28.1,27.65,99.2,620.0,17.0
"July, 2014","28,9  0 (0%)",30.9,26.9,28.9,28.7,29.0,28.7,28.9,28.92,10.21,1.61,47.0
"August, 2014","29,6  0,5 (1,72%)",31.1,27.1,29.1,29.1,29.6,29.1,29.6,29.52,10.45,2.68,79.0
"September, 2014","29,8  0 (0%)",31.8,27.8,29.8,0.0,0.0,0.0,29.8,0.0,10.52,2.8,84.0
"October, 2014","29,7  -0,1 (-0,34%)",31.8,27.8,29.8,30.0,30.0,29.7,29.7,29.79,10.49,1.9,57.0
"November, 2014","30,3  0 (0%)",32.4,28.2,30.3,30.2,30.3,30.0,30.3,30.110000000000003,11.25,1.26,38.0
"December, 2014","31,5  0,2 (0,64%)",33.4,29.2,31.3,30.5,31.5,30.5,31.5,30.83,11.69,6.0,185.0
"January, 2015","33  2 (6,45%)",33.1,28.9,31.0,31.0,33.0,29.9,33.0,30.42,12.25,3.56,108.0
"February, 2015","29,7  -2 (-6,31%)",33.9,29.5,31.7,32.5,33.5,29.7,29.7,31.610000000000003,11.02,1.63,52.0
"March, 2015","32,9  0,2 (0,61%)",34.9,30.5,32.7,32.7,32.9,32.5,32.9,32.55,12.21,1.23,40.0
"April, 2015","33,2  -0,2 (-0,6%)",35.7,31.1,33.4,32.0,33.2,32.0,33.2,32.2,13.080000000000002,4.31,139.0
"May, 2015","31,5  0 (0%)",33.7,29.3,31.5,31.5,32.4,31.0,31.5,31.51,12.41,6.38,201.000
"June, 2015","31,5  0,4 (1,29%)",33.2,29.0,31.1,31.1,32.0,31.0,31.5,31.15,12.41,14.1,439.0
"July, 2015","31,4  0,3 (0,96%)",33.2,29.0,31.1,31.0,31.4,31.0,31.4,31.02,12.37,500.0,16.0
"August, 2015","34,9  -0,2 (-0,57%)",37.5,32.7,35.1,33.4,34.9,32.7,34.9,34.44,13.06,340.0,12.0
"September, 2015","39,4  0,4 (1,03%)",41.7,36.3,39.0,36.3,39.4,36.3,39.4,38.91,14.580000000000002,2.05,80.0
"October, 2015","48,6  3,1 (6,81%)",48.6,42.4,45.5,46.8,48.6,44.2,48.6,44.69,17.98,5.52,247.0
"November, 2015",49  0 (0%),52.0,45.6,49.0,47.6,49.0,47.6,49.0,47.87,19.87,1.8,86.000
"December, 2015","45  -1 (-2,17%)",49.7,43.3,46.0,47.0,48.9,44.9,45.0,45.03,18.36,8.0,360.0
"January, 2016","45,9  0 (0%)",49.1,42.7,45.9,0.0,0.0,0.0,45.9,0.0,17.73,660.0,29.0
"February, 2016","47,8  0,3 (0,63%)",50.5,44.2,47.5,47.8,48.0,44.9,47.8,46.16,18.58,5.31,245.000
"March, 2016","53,5  -3,5 (-6,14%)",60.5,53.5,57.0,56.0,56.5,53.5,53.5,54.4,22.52,5.09,277.000
"April, 2016",63  0 (0%),67.0,59.0,63.0,62.5,64.0,62.0,63.0,62.99,26.33,17.13,1.079.000
"May, 2016","54  0,5 (0,93%)",57.0,49.8,53.5,54.0,55.0,54.0,54.0,54.02,23.89,9.53,515.000
"June, 2016","65,5  -1,5 (-2,24%)",71.5,62.5,67.0,65.5,68.0,64.0,65.5,66.03,29.23,28.32,1.870.000
"July, 2016",59  0 (0%),63.0,55.0,59.0,59.5,60.0,58.0,59.0,58.55,26.33,13.11,768.000
"August, 2016","59  -1 (-1,67%)",64.0,56.0,60.0,59.5,60.5,58.0,59.0,59.13,26.33,12.47,737.000
"September, 2016","61,7  -0,3 (-0,48%)",66.3,57.7,62.0,61.9,62.5,61.0,61.7,61.88,27.54,17.12,1.059.000
"October, 2016","60  0,1 (0,17%)",64.0,55.8,59.9,60.3,60.3,59.5,60.0,59.760000000000005,26.78,14.04,839.000
"November, 2016","59  1,1 (1,9%)",61.9,53.9,57.9,57.9,59.0,57.5,59.0,57.91,27.01,6.42,372.0
"December, 2016","53  -2,6 (-4,68%)",59.4,51.8,55.6,56.4,56.4,53.0,53.0,53.95,24.26,3.44,186.0
"January, 2017",55  0 (0%),58.8,51.2,55.0,55.7,56.4,54.9,55.0,55.010000000000005,25.87,34.53,1.900.000
"February, 2017","57,8  0 (0%)",61.8,53.8,57.8,58.0,58.0,57.3,57.8,57.66,27.19,2.99,172.0
"March, 2017",60  0 (0%),64.2,55.8,60.0,61.0,61.0,59.5,60.0,59.74,28.23,11.56,691.0
"April, 2017",61  0 (0%),65.2,56.8,61.0,61.0,61.0,60.0,61.0,60.29,28.7,6.27,378.0
"May, 2017","60,5  0,2 (0,33%)",64.5,56.1,60.3,60.5,60.5,59.8,60.5,60.08,29.42,2.53,152.000
"June, 2017","69,4  0 (0%)",74.2,64.6,69.4,0.0,0.0,0.0,69.4,0.0,33.75,1.14,79.0
"July, 2017","66,4  0,4 (0,61%)",70.6,61.4,66.0,66.4,66.4,66.4,66.4,100.0,32.29,10.0,1.0
"August, 2017","67  -0,4 (-0,59%)",72.1,62.7,67.4,68.6,68.6,66.7,67.0,67.12,32.58,730.0,49.0
"September, 2017","73,5  0,6 (0,82%)",78.0,67.8,72.9,74.5,74.5,72.9,73.5,66.67,35.75,30.0,2.0
"October, 2017","70  -0,5 (-0,71%)",75.4,65.6,70.5,70.0,70.0,70.0,70.0,70.2,34.04,1.51,106.0
"November, 2017","63,8  -0,1 (-0,16%)",68.3,59.5,63.9,63.0,63.8,63.0,63.8,63.8,31.03,7.1,453.0
"December, 2017","64,6  -1,4 (-2,12%)",70.6,61.4,66.0,65.5,65.5,64.6,64.6,65.15,31.42,660.0,43.0
"January, 2018","37,5  0 (0%)",40.1,34.9,37.5,36.25,37.5,35.5,37.5,36.57,31.59,10.5,384.0
"February, 2018","32,8  0,3 (0,92%)",34.75,30.25,32.5,33.2,33.2,32.05,32.8,32.37,27.630000000000003,8.28,268.000
"March, 2018","34,2  0 (0%)",36.55,31.85,34.2,34.0,34.2,31.95,34.2,33.71,28.81,13.23,446.0
"April, 2018","33,8  -0,2 (-0,59%)",36.35,31.65,34.0,33.7,34.0,32.2,33.8,33.5,28.48,24.63,825.0
"May, 2018","33  0,6 (1,85%)",34.65,30.15,32.4,30.5,34.6,30.5,33.0,32.0,29.44,4.5,144.0
"June, 2018","29,8  0,3 (1,02%)",31.55,27.45,29.5,30.0,30.2,29.05,29.8,29.17,26.58,1.44,42.0
"July, 2018","32,9  0,15 (0,46%)",35.0,30.5,32.75,32.95,32.95,32.9,32.9,31.58,29.35,190.0,6.0
