Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","35  -1 (-2,78%)",38.5,33.5,36.0,36.3,36.3,34.6,35.0,34.660000000000004,22.05,15.24,528.000
"February, 2014","34,6  -0,4 (-1,14%)",37.4,32.6,35.0,34.8,34.8,34.4,34.6,34.55,21.8,53.72,1.856.000
"March, 2014","34,7  0,1 (0,29%)",37.0,32.2,34.6,34.6,35.4,34.6,34.7,34.6,21.86,13.32,461.000
"April, 2014","34,6  -0,1 (-0,29%)",37.1,32.3,34.7,34.6,34.7,34.6,34.6,34.61,21.8,17.77,615.000
"May, 2014","34,9  0,3 (0,87%)",37.0,32.2,34.6,34.6,35.0,34.6,34.9,34.78,21.99,13.24,460.000
"June, 2014","36,5  0,5 (1,39%)",38.5,33.5,36.0,36.0,36.5,36.0,36.5,36.22,22.99,17.91,649.000
"July, 2014",35  0 (0%),37.4,32.6,35.0,34.8,35.0,34.5,35.0,34.61,22.05,182.76,6.326.000
"August, 2014","36,5  -0,5 (-1,35%)",39.5,34.5,37.0,36.8,36.9,36.3,36.5,36.52,22.99,31.86,1.164.000
"September, 2014","36,3  -0,2 (-0,55%)",39.0,34.0,36.5,36.5,36.5,36.2,36.3,36.37,22.87,5.36,195.000
"October, 2014","35,9  -0,7 (-1,91%)",39.1,34.1,36.6,36.1,36.6,35.9,35.9,36.25,22.62,13.78,500.000
"November, 2014","36  2 (5,88%)",36.3,31.7,34.0,35.0,36.3,34.0,36.0,35.760000000000005,22.68,30.5,1.091.000
"December, 2014","33,9  1,9 (5,94%)",34.2,29.8,32.0,31.5,33.9,31.5,33.9,32.02,21.36,11.53,369.0
"January, 2015","31,5  0,5 (1,61%)",33.1,28.9,31.0,29.5,32.9,29.5,31.5,29.69,19.84,5.51,164.0
"February, 2015","31,6  0,4 (1,28%)",33.3,29.1,31.2,29.8,31.8,29.5,31.6,29.83,19.91,4.42,132.0
"March, 2015",30  0 (0%),32.1,27.9,30.0,30.0,31.0,30.0,30.0,30.01,18.9,940.0,28.0
"April, 2015","31,5  0 (0%)",33.7,29.3,31.5,31.5,31.5,31.0,31.5,31.3,19.84,4.23,132.0
"May, 2015","28,3  0 (0%)",30.2,26.4,28.3,27.8,28.3,26.6,28.3,26.8,20.39,5.05,135.0
