Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2011","8,3  0,3 (3,75%)",84.0,76.0,8.0,8.0,83.0,8.0,83.0,82.9,22.4,770.0,6.386
"February, 2011","7,4  0 (0%)",77.0,71.0,74.0,74.0,74.0,71.0,74.0,71.8,19.9,1.11,7.974
"March, 2011","6,9  0 (0%)",72.0,66.0,69.0,69.0,69.0,68.0,69.0,69.0,18.6,3.47,23.933
"April, 2011","7,2  0 (0%)",75.0,69.0,72.0,72.0,72.0,7.0,72.0,70.1,19.4,5.52,38.695
"May, 2011","6,7  0 (0%)",7.0,64.0,67.0,64.0,67.0,64.0,67.0,64.9,20.7,15.15,98.273
"June, 2011","7,4  -0,1 (-1,33%)",78.0,72.0,75.0,73.0,74.0,73.0,74.0,73.9,22.9,2.3,16.99
"July, 2011","7,2  0 (0%)",75.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,22.2,1.07,7.704
"August, 2011","7,3  0,2 (2,82%)",74.0,68.0,71.0,73.0,73.0,73.0,73.0,73.0,22.5,20.0,146.0
"September, 2011","7,2  -0,3 (-4%)",78.0,72.0,75.0,72.0,73.0,72.0,72.0,72.0,22.2,32.03,230.617
"October, 2011","7,9  -0,3 (-3,66%)",86.0,78.0,82.0,79.0,79.0,79.0,79.0,79.0,24.4,1.1,8.69
"November, 2011","7,9  0,3 (3,95%)",79.0,73.0,76.0,74.0,79.0,74.0,79.0,76.5,24.4,20.0,153.0
"December, 2011","8,1  0,3 (3,85%)",81.0,75.0,78.0,75.0,81.0,75.0,81.0,80.3,25.0,90.0,723.0
"January, 2012","9,4  0,3 (3,3%)",95.0,87.0,91.0,94.0,94.0,94.0,94.0,94.0,29.0,10.0,94.0
"February, 2012","9,1  -0,3 (-3,19%)",98.0,9.0,94.0,91.0,91.0,91.0,91.0,91.0,28.1,10.0,91.0
"March, 2012","10,2  0 (0%)",10.7,97.0,10.2,0.0,0.0,0.0,10.2,0.0,31.5,4.0,40.6
"April, 2012","11,5  0,5 (4,55%)",11.5,10.5,11.0,11.5,11.5,11.2,11.5,11.5,35.5,12.53,144.042
"May, 2012","11  -0,4 (-3,51%)",11.9,10.9,11.4,11.6,11.6,11.0,11.0,11.24,38.0,8.57,96.295
"June, 2012","11,3  0,1 (0,89%)",11.7,10.7,11.2,11.3,11.5,11.3,11.3,11.33,39.1,2.63,29.805
"July, 2012","11,1  -0,5 (-4,31%)",12.1,11.1,11.6,11.1,11.1,11.1,11.1,11.1,38.4,100.0,1.11
"August, 2012","10,4  0 (0%)",10.9,99.0,10.4,10.4,10.4,10.4,10.4,10.4,35.9,4.29,44.616
"September, 2012","10,3  0 (0%)",10.8,98.0,10.3,0.0,0.0,0.0,10.3,0.0,35.6,1.9,19.72
