Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","27,3  -1,4 (-4,88%)",30.1,27.3,28.7,27.3,27.3,27.3,27.3,27.3,16.119999999999997,30.53,833.469
"February, 2010","24,5  -1 (-3,92%)",26.7,24.3,25.5,25.5,26.0,24.3,24.5,24.6,15.02,24.74,608.644
"March, 2010","22  1 (4,76%)",22.0,20.0,21.0,21.0,22.0,21.0,22.0,21.76,13.49,88.48,1.925.361
"April, 2010",29  0 (0%),30.4,27.6,29.0,29.0,30.0,28.9,29.0,29.07,17.78,144.79,4.208.909
"May, 2010","26  -0,5 (-1,89%)",27.0,24.6,26.5,24.7,26.0,24.7,26.0,25.39,16.369999999999997,34.26,869.962
"June, 2010","25  -0,8 (-3,1%)",27.0,24.6,25.8,25.0,25.0,24.6,25.0,24.89,15.74,19.16,476.816
"July, 2010","23,8  0,7 (3,03%)",24.2,22.0,23.1,23.5,23.8,23.5,23.8,23.66,14.99,13.15,311.087
"August, 2010","21,9  0,9 (4,29%)",22.0,20.0,21.0,21.0,21.9,21.0,21.9,21.630000000000003,13.79,21.0,454.146
"September, 2010","20,2  -0,1 (-0,49%)",21.3,19.3,20.3,20.3,20.3,20.0,20.2,20.07,12.72,22.28,447.157
"October, 2010","18,3  -0,7 (-3,68%)",19.9,18.1,19.0,19.4,19.4,18.3,18.3,18.71,11.52,10.29,192.527
"November, 2010","17,6  0,8 (4,76%)",17.6,16.0,16.8,17.6,17.6,17.6,17.6,17.6,11.08,292.77,5.152.752
"December, 2010","19,8  0,9 (4,76%)",19.8,18.0,18.9,18.3,19.8,18.3,19.8,19.46,12.47,1.170.030,22.763.130
"January, 2011",18  0 (0%),18.9,17.1,18.0,18.3,18.3,17.8,18.0,17.98,11.34,68.64,1.234.117
"February, 2011","17,7  -0,2 (-1,12%)",18.7,17.1,17.9,17.9,18.0,17.7,17.7,17.79,11.15,57.18,1.017.386
"March, 2011","15,2  -0,2 (-1,3%)",16.1,14.7,15.4,15.2,15.2,15.2,15.2,15.2,95.7,22.3,338.96
"April, 2011","14  0,1 (0,72%)",14.5,13.3,13.9,13.9,14.0,13.8,14.0,13.95,88.2,41.44,577.916
"May, 2011","11,4  -0,6 (-5%)",12.6,11.4,12.0,11.4,11.4,11.4,11.4,11.4,71.8,9.2,104.880
"June, 2011","8,9  -0,4 (-4,3%)",97.0,89.0,93.0,93.0,94.0,89.0,89.0,89.8,56.0,56.680,508.987
"July, 2011","8,6  0 (0%)",9.0,82.0,86.0,87.0,87.0,85.0,86.0,85.5,54.2,15.25,130.415
"August, 2011","8,9  0,2 (2,3%)",91.0,83.0,87.0,86.0,89.0,86.0,89.0,88.2,56.0,30.95,272.984
"September, 2011","8,5  -0,2 (-2,3%)",91.0,83.0,87.0,84.0,87.0,84.0,85.0,85.7,56.8,28.93,247.934
"October, 2011","8,1  0,1 (1,25%)",84.0,76.0,8.0,79.0,81.0,79.0,81.0,79.0,54.1,1.01,7.981
"November, 2011","6,3  0 (0%)",66.0,6.0,63.0,63.0,63.0,61.0,63.0,61.7,42.1,14.75,90.979
"December, 2011",6  0 (0%),63.0,57.0,6.0,6.0,6.0,57.0,6.0,6.0,40.1,1.32,7.917
"January, 2012","5,9  0,2 (3,51%)",59.0,55.0,57.0,57.0,59.0,55.0,59.0,57.6,39.4,16.76,96.576
"February, 2012","6,5  -0,2 (-2,99%)",7.0,64.0,67.0,65.0,68.0,65.0,65.0,65.9,43.4,33.74,222.31
"March, 2012","6,5  -0,3 (-4,41%)",71.0,65.0,68.0,67.0,67.0,65.0,65.0,65.1,43.4,65.0,423.4
"April, 2012","6,9  0,1 (1,47%)",71.0,65.0,68.0,69.0,69.0,67.0,69.0,67.8,46.1,21.72,147.316
"May, 2012","5,6  -0,2 (-3,45%)",6.0,56.0,58.0,58.0,58.0,56.0,56.0,56.4,37.4,12.52,70.63
"June, 2012","5,2  -0,2 (-3,7%)",56.0,52.0,54.0,54.0,54.0,52.0,52.0,52.5,34.7,4.03,21.16
"July, 2012","4,9  -0,2 (-3,92%)",53.0,49.0,51.0,5.0,5.0,49.0,49.0,49.2,32.7,6.0,29.5
"August, 2012","4,5  0 (0%)",47.0,43.0,45.0,46.0,46.0,45.0,45.0,45.2,3.0,60.0,271.0
"September, 2012","3,5  0,1 (2,94%)",35.0,33.0,34.0,33.0,35.0,33.0,35.0,34.5,23.4,4.8,16.555
"October, 2012",4  0 (0%),42.0,38.0,4.0,4.0,4.0,4.0,4.0,4.0,26.7,5.6,22.4
"November, 2012","4  0,1 (2,56%)",4.0,38.0,39.0,39.0,4.0,39.0,4.0,39.3,26.7,1.44,5.66
"December, 2012","4,7  0,1 (2,17%)",48.0,44.0,46.0,45.0,47.0,45.0,47.0,45.3,31.4,2.3,10.41
"January, 2013","5,2  -0,1 (-1,89%)",56.0,5.0,53.0,53.0,53.0,5.0,52.0,50.4,34.7,21.65,109.2
"February, 2013","5,3  0 (0%)",56.0,5.0,53.0,53.0,53.0,5.0,53.0,51.6,35.4,2.87,14.811
"March, 2013","5,7  0,1 (1,79%)",59.0,53.0,56.0,57.0,57.0,55.0,57.0,57.0,38.1,53.44,309.6
