Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","26,4  0 (0%)",27.7,25.1,26.4,26.4,26.4,26.4,26.4,26.4,55.5,1.0,26.4
"February, 2010","26,4  0 (0%)",27.7,25.1,26.4,26.4,26.4,26.4,26.4,26.4,55.5,1.05,27.72
"March, 2010","26,5  0,1 (0,38%)",27.7,25.1,26.4,26.0,26.5,26.0,26.5,26.09,55.7,3.27,85.308
"April, 2010","26,5  0 (0%)",27.8,25.2,26.5,26.5,26.5,26.5,26.5,26.5,55.7,3.79,100.435
"May, 2010","26,5  0 (0%)",27.8,25.2,26.5,26.2,26.5,26.2,26.5,26.22,55.7,6.12,160.494
"June, 2010","33,3  -1,7 (-4,86%)",36.7,33.3,35.0,33.3,35.0,33.3,33.3,33.3,57.2,19.78,658.691
"July, 2010","32,5  0,2 (0,62%)",33.9,30.7,32.3,32.4,32.5,32.4,32.5,32.480000000000004,55.8,3.37,109.463
"August, 2010","30  -6 (-16,67%)",30.8,28.0,36.0,30.0,30.0,30.0,30.0,30.0,63.1,200.0,6.0
"September, 2010","27,5  0 (0%)",28.8,26.2,27.5,26.2,27.5,26.2,27.5,27.03,57.8,570.0,15.409
"October, 2010","26,7  0,1 (0,38%)",27.9,25.3,26.6,26.6,26.7,26.6,26.7,26.67,56.1,1.51,40.273
"November, 2010","26,4  0,2 (0,76%)",27.5,24.9,26.2,26.4,26.4,26.4,26.4,26.4,55.5,1.64,43.296
"December, 2010","26,8  0 (0%)",28.1,25.5,26.8,26.8,26.8,26.8,26.8,26.8,56.3,30.0,804.0
"January, 2011","23,6  0,1 (0,43%)",24.6,22.4,23.5,23.6,23.6,23.6,23.6,23.6,49.6,10.0,236.0
"February, 2011","23,7  0,2 (0,85%)",24.6,22.4,23.5,23.7,23.7,23.7,23.7,23.7,49.8,20.0,474.0
"March, 2011","23,5  0,6 (2,62%)",24.0,21.8,22.9,23.5,23.5,23.5,23.5,23.5,49.4,10.0,235.0
"April, 2011",20  0 (0%),21.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,48.7,300.0,6.0
"May, 2011","21,4  0,4 (1,9%)",22.0,20.0,21.0,21.2,22.0,21.2,21.4,21.4,52.1,1.04,22.26
"June, 2011","23,5  0,3 (1,29%)",24.3,22.1,23.2,23.5,23.5,23.5,23.5,23.5,57.2,8.86,208.21
"July, 2011","24,2  0,1 (0,41%)",25.3,22.9,24.1,24.2,24.5,24.2,24.2,24.22,64.2,690.0,16.713
"August, 2011","24  -0,1 (-0,41%)",25.3,22.9,24.1,24.0,24.0,24.0,24.0,24.0,63.6,6.09,146.16
"September, 2011","22,5  0 (0%)",23.6,21.4,22.5,0.0,0.0,0.0,22.5,0.0,59.7,460.0,10.35
"October, 2011","25  1 (4,17%)",25.2,22.8,24.0,25.0,25.0,25.0,25.0,25.0,66.3,20.0,500.0
"November, 2011","24,4  0 (0%)",25.6,23.2,24.4,24.4,24.4,24.4,24.4,24.4,64.7,1.95,47.58
"December, 2011","23  0,5 (2,22%)",23.6,21.4,22.5,22.5,23.0,22.5,23.0,22.95,61.0,3.37,77.325
"January, 2012","24,8  0,3 (1,22%)",25.7,23.3,24.5,24.8,24.8,24.5,24.8,24.79,68.7,5.7,141.3
"February, 2012","21,5  -1,5 (-6,52%)",21.5,19.6,23.0,21.5,21.5,21.5,21.5,21.5,66.6,1.0,21.5
"March, 2012","22,6  0,1 (0,44%)",23.6,21.4,22.5,21.8,22.6,21.8,22.6,22.49,7.0,2.75,61.842
"April, 2012","20,1  -0,9 (-4,29%)",22.0,20.0,21.0,21.0,21.0,20.1,20.1,20.7,62.3,60.0,1.242
"May, 2012","18,5  -0,3 (-1,6%)",19.7,17.9,18.8,19.0,19.0,18.3,18.5,18.64,57.3,210.0,3.915
"June, 2012","18,5  0 (0%)",19.4,17.6,18.5,18.0,18.5,18.0,18.5,18.45,57.3,110.0,2.03
"July, 2012","16,5  -0,5 (-2,94%)",17.8,16.2,17.0,16.5,16.5,16.5,16.5,16.5,51.1,7.23,119.295
"August, 2012",16  0 (0%),16.8,15.2,16.0,0.0,0.0,0.0,16.0,0.0,51.7,30.0,472.0
"September, 2012","17,3  0,8 (4,85%)",17.3,15.7,16.5,16.5,17.3,16.5,17.3,16.96,55.9,1.36,23.072
"October, 2012","15  -0,6 (-3,85%)",16.3,14.9,15.6,15.0,15.0,15.0,15.0,15.0,48.4,1.04,15.6
"November, 2012","16,9  -0,2 (-1,17%)",17.9,16.3,17.1,16.9,16.9,16.9,16.9,16.9,58.8,450.0,7.605
"December, 2012","18,5  -0,6 (-3,14%)",20.0,18.2,19.1,18.3,18.5,18.3,18.5,18.47,64.4,7.47,138.0
"January, 2013",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,75.6,3.67,73.4
"February, 2013","20  1,1 (5,82%)",20.2,17.6,18.9,17.6,20.0,17.6,20.0,17.619999999999997,75.6,1.01,17.8
"March, 2013","18,4  -0,1 (-0,54%)",19.7,17.3,18.5,17.3,18.4,17.3,18.4,17.56,69.5,740.0,12.995
"April, 2013","17,5  0,5 (2,94%)",18.1,15.9,17.0,17.5,17.5,17.5,17.5,17.5,66.1,10.0,175.0
"May, 2013","16,1  0 (0%)",17.2,15.0,16.1,0.0,0.0,0.0,16.1,0.0,60.8,510.0,8.161
"June, 2013","12,5  -0,4 (-3,1%)",13.8,12.0,12.9,12.9,12.9,12.0,12.5,12.43,47.2,2.32,28.829
"July, 2013","12,8  -0,3 (-2,29%)",14.0,12.2,13.1,12.6,12.8,12.6,12.8,12.78,48.4,1.7,21.72
"August, 2013","13,4  0 (0%)",14.3,12.5,13.4,13.4,13.4,13.4,13.4,13.4,50.6,1.92,25.728
"September, 2013","12,5  0 (0%)",13.3,11.7,12.5,12.5,12.5,12.5,12.5,12.5,49.0,2.82,35.25
"October, 2013","12,6  0,1 (0,8%)",13.3,11.7,12.5,12.6,12.6,12.6,12.6,12.6,49.4,220.0,2.772
"November, 2013","13,9  0 (0%)",14.8,13.0,13.9,0.0,0.0,0.0,13.9,0.0,54.5,2.94,39.871
"December, 2013","13,6  0 (0%)",14.5,12.7,13.6,0.0,0.0,0.0,13.6,0.0,53.4,640.0,8.704
"January, 2014","13,4  0,4 (3,08%)",13.9,12.1,13.0,13.4,13.4,13.4,13.4,13.4,52.6,1.01,13.534
"February, 2014","13,3  0,8 (6,4%)",13.3,11.7,12.5,13.3,13.3,13.3,13.3,13.3,52.2,500.0,6.65
"March, 2014",13  0 (0%),13.9,12.1,13.0,12.3,13.0,12.3,13.0,12.39,51.0,630.0,7.805
"April, 2014","13,4  0 (0%)",14.3,12.5,13.4,0.0,0.0,0.0,13.4,0.0,52.6,10.0,134.0
"May, 2014","12,9  0,8 (6,61%)",12.9,11.3,12.1,12.9,12.9,12.9,12.9,12.9,50.6,480.0,6.0
"June, 2014","13,9  0,2 (1,46%)",14.6,12.8,13.7,14.0,14.0,13.9,13.9,13.9,54.5,5.19,72.0
"July, 2014","13,8  0 (0%)",14.7,12.9,13.8,0.0,0.0,0.0,13.8,0.0,58.6,10.0,236.0
"August, 2014","13,7  -0,1 (-0,72%)",14.7,12.9,13.8,13.7,13.7,13.7,13.7,13.7,58.2,10.0,3.0
"September, 2014","13,6  0 (0%)",14.5,12.7,13.6,0.0,0.0,0.0,13.6,0.0,57.7,800.0,11.0
"October, 2014","14,1  0 (0%)",15.0,13.2,14.1,0.0,0.0,0.0,14.1,0.0,59.9,820.0,12.0
"November, 2014","15,6  0,6 (4%)",16.0,14.0,15.0,15.0,15.6,15.0,15.6,15.0,70.5,8.02,120.0
"December, 2014","15,1  0 (0%)",16.1,14.1,15.1,0.0,0.0,0.0,15.1,0.0,68.3,120.0,2.0
"January, 2015","15,4  0 (0%)",16.4,14.4,15.4,0.0,0.0,0.0,15.4,0.0,69.6,2.36,36.0
"February, 2015","15,5  0 (0%)",16.5,14.5,15.5,0.0,0.0,0.0,15.5,0.0,70.1,3.0,47.0
"March, 2015","14,7  0 (0%)",15.7,13.7,14.7,0.0,0.0,0.0,14.7,0.0,66.5,1.5,22.0
"April, 2015","14,5  0 (0%)",15.5,13.5,14.5,0.0,0.0,0.0,14.5,0.0,65.6,400.0,6.0
"May, 2015","14,2  0 (0%)",15.1,13.3,14.2,0.0,0.0,0.0,14.2,0.0,64.2,2.0,28.0
"June, 2015","14  -0,9 (-6,04%)",15.9,13.9,14.9,14.0,14.0,14.0,14.0,14.0,65.5,130.0,2.0
"July, 2015","14,7  0,7 (5%)",14.9,13.1,14.0,14.7,14.7,14.7,14.7,14.7,68.8,1.0,15.0
"August, 2015","14,4  0 (0%)",15.4,13.4,14.4,0.0,0.0,0.0,14.4,0.0,68.8,10.0,15.0
"September, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.0,14.0,14.0,14.0,66.9,20.0,22.0
"October, 2015","16,5  0,7 (4,43%)",16.9,14.7,15.8,14.7,16.5,14.7,16.5,15.01,94.4,1.55,23.0
"November, 2015","15,4  0,2 (1,32%)",16.2,14.2,15.2,15.4,15.4,15.4,15.4,15.4,88.1,3.7,57.0
"December, 2015","16,5  0 (0%)",17.0,14.8,16.5,0.0,0.0,0.0,16.5,0.0,96.2,800.0,13.0
"January, 2016","16,5  0 (0%)",17.6,15.4,16.5,0.0,0.0,0.0,16.5,0.0,95.6,2.0,33.0
"February, 2016",16  0 (0%),17.1,14.9,16.0,0.0,16.0,16.0,16.0,16.0,92.7,5.17,83.0
"March, 2016","15,5  0 (0%)",16.5,14.5,15.5,0.0,0.0,0.0,15.5,0.0,89.8,14.0,216.0
"April, 2016","15,2  0 (0%)",16.2,14.2,15.2,0.0,0.0,0.0,15.2,0.0,86.3,10.0,152.0
"May, 2016",16  0 (0%),17.1,14.9,16.0,0.0,0.0,0.0,16.0,0.0,96.1,10.0,160.0
"June, 2016","16,3  0 (0%)",17.4,15.2,16.3,0.0,0.0,0.0,16.3,0.0,97.9,10.0,10.0
"July, 2016","16,5  0 (0%)",17.6,15.4,16.5,0.0,0.0,0.0,16.5,0.0,10.22,1.5,25.0
