Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","14,9  -0,1 (-0,67%)",15.7,14.3,15.0,14.6,14.9,14.6,14.9,14.81,12.85,9.59,142.054
"February, 2010","15,5  0,6 (4,03%)",15.6,14.2,14.9,15.0,15.5,14.8,15.5,15.080000000000002,13.36,46.32,698.702
"March, 2010","16,2  0,7 (4,52%)",16.2,14.8,15.5,16.2,16.2,15.0,16.2,15.66,13.97,27.5,430.712
"April, 2010",,,,,,,,,,,,
"May, 2010",,,,,,,,,,,,
"June, 2010","15,7  -0,5 (-3,09%)",17.0,15.4,16.2,17.0,17.0,15.4,15.7,15.95,13.54,18.23,290.68
"July, 2010","15  -0,7 (-4,46%)",16.4,15.0,15.7,15.2,15.7,15.0,15.0,15.1,12.93,50.94,769.15
"August, 2010","14,5  -0,5 (-3,33%)",15.7,14.3,15.0,14.7,15.0,14.5,14.5,14.63,12.5,3.5,51.2
"September, 2010","15,2  0,7 (4,83%)",15.2,13.8,14.5,15.2,15.2,15.2,15.2,15.2,13.11,530.0,8.056
"October, 2010","15,5  0,3 (1,97%)",15.9,14.5,15.2,15.8,15.8,15.2,15.5,15.43,13.36,1.69,26.072
"November, 2010",15  0 (0%),15.7,14.3,15.0,15.2,15.2,14.7,15.0,14.99,12.93,1.2,17.99
"December, 2010","15,2  -0,8 (-5%)",16.8,15.2,16.0,15.5,15.5,15.2,15.2,15.43,13.11,1.7,26.23
"January, 2011","14,5  0,3 (2,11%)",14.9,13.5,14.2,14.0,14.5,14.0,14.5,14.01,12.5,5.04,70.590
"February, 2011","13,6  0,6 (4,62%)",13.6,12.4,13.0,13.0,13.6,13.0,13.6,13.5,11.73,120.0,1.62
"March, 2011","12,4  -0,6 (-4,62%)",13.6,12.4,13.0,12.4,12.5,12.4,12.4,12.4,10.69,2.52,31.249
"April, 2011","10,8  0,3 (2,86%)",11.0,10.0,10.5,10.0,10.8,10.0,10.8,10.01,10.7,610.0,6.108
"May, 2011","7,5  0 (0%)",78.0,72.0,75.0,75.0,76.0,75.0,75.0,75.2,74.3,9.96,74.91
"June, 2011","7,3  0 (0%)",76.0,7.0,73.0,0.0,0.0,0.0,73.0,0.0,72.4,1.0,7.3
"July, 2011","7  0,2 (2,94%)",71.0,65.0,68.0,7.0,7.0,7.0,7.0,7.0,69.4,100.0,700.0
"August, 2011","7,3  -0,3 (-3,95%)",79.0,73.0,76.0,73.0,73.0,73.0,73.0,73.0,72.4,50.0,365.0
"September, 2011","8,3  0 (0%)",87.0,79.0,83.0,79.0,83.0,79.0,83.0,79.0,82.3,1.0,7.904
"October, 2011","5,5  -0,2 (-3,51%)",59.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,54.5,10.0,55.0
"November, 2011","4  -0,1 (-2,44%)",43.0,39.0,41.0,4.0,4.0,4.0,4.0,4.0,39.6,550.0,2.2
"December, 2011","5  0,2 (4,17%)",5.0,46.0,48.0,5.0,5.0,5.0,5.0,5.0,49.6,10.0,50.0
"January, 2012",5  0 (0%),52.0,48.0,5.0,0.0,0.0,0.0,5.0,0.0,49.6,10.0,50.0
"February, 2012","4,9  0,2 (4,26%)",49.0,45.0,47.0,49.0,49.0,49.0,49.0,49.0,48.6,100.0,490.0
"March, 2012","4,7  -0,2 (-4,08%)",51.0,47.0,49.0,47.0,47.0,47.0,47.0,47.0,46.6,3.93,18.471
"April, 2012","4,6  0,2 (4,55%)",46.0,42.0,44.0,43.0,46.0,43.0,46.0,44.0,45.6,38.85,170.756
"May, 2012","4,9  -0,2 (-3,92%)",53.0,49.0,51.0,49.0,49.0,49.0,49.0,49.0,48.6,7.71,37.779
"June, 2012","4,9  0 (0%)",51.0,47.0,49.0,47.0,49.0,47.0,49.0,47.1,48.6,320.0,1.508
"July, 2012","4,5  0 (0%)",47.0,43.0,45.0,43.0,45.0,43.0,45.0,44.0,44.6,20.0,88.0
"August, 2012","4,3  -0,2 (-4,44%)",47.0,43.0,45.0,44.0,44.0,43.0,43.0,43.9,42.6,2.43,10.662
"September, 2012",4  0 (0%),42.0,38.0,4.0,4.0,4.0,4.0,4.0,4.0,39.6,10.0,40.0
"October, 2012","3,5  0,1 (2,94%)",35.0,33.0,34.0,35.0,35.0,35.0,35.0,35.0,24.6,1.01,3.535
"November, 2012","3,5  -0,1 (-2,78%)",37.0,35.0,36.0,35.0,35.0,35.0,35.0,35.0,24.6,1.34,4.69
"December, 2012","3,6  0 (0%)",37.0,35.0,36.0,35.0,36.0,35.0,36.0,35.4,25.3,2.81,9.939
"January, 2013","4,6  0,2 (4,55%)",47.0,41.0,44.0,46.0,46.0,46.0,46.0,46.0,32.3,1.49,6.854
"February, 2013","4,1  0,1 (2,5%)",42.0,38.0,4.0,41.0,41.0,39.0,41.0,39.1,28.8,2.37,9.271
"March, 2013","4,5  -0,2 (-4,26%)",5.0,44.0,47.0,49.0,49.0,44.0,45.0,44.9,31.6,4.1,18.404
"April, 2013","8,9  0,5 (5,95%)",89.0,79.0,84.0,8.0,89.0,8.0,89.0,85.5,62.6,88.97,760.513
"May, 2013","5,4  0,3 (5,88%)",54.0,48.0,51.0,54.0,54.0,52.0,54.0,53.9,38.0,860.91,4.641.444
"June, 2013","7  -0,5 (-6,67%)",8.0,7.0,75.0,7.0,7.0,7.0,7.0,7.0,49.2,73.610,515.270
"July, 2013","5,1  0 (0%)",54.0,48.0,51.0,51.0,53.0,5.0,51.0,51.5,35.8,65.56,337.413
"August, 2013","5,2  0,3 (6,12%)",52.0,46.0,49.0,51.0,52.0,49.0,52.0,50.5,36.5,45.63,230.222
"September, 2013","4,8  0 (0%)",51.0,45.0,48.0,48.0,49.0,47.0,48.0,48.0,33.7,49.12,235.556
"October, 2013",5  0 (0%),53.0,47.0,5.0,5.0,51.0,49.0,5.0,49.7,35.1,85.52,425.046
"November, 2013","6,1  -0,3 (-4,69%)",68.0,6.0,64.0,64.0,64.0,61.0,61.0,62.1,43.7,256.59,1.592.344
"December, 2013","5,7  0,2 (3,64%)",58.0,52.0,55.0,57.0,57.0,55.0,57.0,55.9,40.9,53.83,300.873
"January, 2014","5,5  0 (0%)",58.0,52.0,55.0,55.0,56.0,53.0,55.0,54.5,39.4,28.11,153.191
"February, 2014","5,2  0 (0%)",55.0,49.0,52.0,55.0,55.0,5.0,52.0,52.7,39.7,779.59,4.105.282
"March, 2014","5,5  -0,2 (-3,51%)",6.0,54.0,57.0,56.0,58.0,55.0,55.0,55.7,43.6,108.43,604.051
"April, 2014","5,3  -0,2 (-3,64%)",58.0,52.0,55.0,53.0,54.0,52.0,53.0,52.9,42.1,48.78,258.180
"May, 2014","5,2  0 (0%)",55.0,49.0,52.0,5.0,52.0,5.0,52.0,51.3,41.3,72.24,371.0
"June, 2014","5,1  0 (0%)",54.0,48.0,51.0,52.0,52.0,5.0,51.0,50.8,40.5,40.08,204.0
"July, 2014","5,5  0,1 (1,85%)",57.0,51.0,54.0,53.0,56.0,53.0,55.0,54.9,43.6,184.29,1.011.000
"August, 2014","6,9  0,4 (6,15%)",69.0,61.0,65.0,65.0,69.0,65.0,69.0,68.0,54.8,275.67,1.875.000
"September, 2014","7,8  0 (0%)",83.0,73.0,78.0,79.0,8.0,78.0,78.0,78.9,61.9,78.88,622.000
"October, 2014",9  0 (0%),96.0,84.0,9.0,89.0,9.0,89.0,9.0,89.6,71.4,140.34,1.257.000
"November, 2014",9  0 (0%),96.0,84.0,9.0,89.0,92.0,89.0,9.0,89.7,71.4,135.77,1.218.000
"December, 2014","7,9  0,5 (6,76%)",79.0,69.0,74.0,78.0,79.0,73.0,79.0,77.9,62.7,55.89,435.000
"January, 2015","6,6  -0,1 (-1,49%)",71.0,63.0,67.0,65.0,67.0,64.0,66.0,65.2,52.4,53.12,346.000
"February, 2015","7,5  -0,2 (-2,6%)",82.0,72.0,77.0,76.0,76.0,74.0,75.0,75.0,59.5,45.0,338.000
"March, 2015","7,8  0 (0%)",83.0,73.0,78.0,78.0,79.0,77.0,78.0,78.0,61.9,63.71,497.0
"April, 2015","6  0,1 (1,69%)",63.0,55.0,59.0,59.0,6.0,59.0,6.0,59.1,47.6,7.84,46.0
"May, 2015","6,3  -0,2 (-3,08%)",69.0,61.0,65.0,64.0,65.0,63.0,63.0,64.1,5.0,75.96,487.0
"June, 2015","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,65.0,66.0,63.0,65.0,64.1,51.6,21.99,141.0
"July, 2015","6,4  0 (0%)",68.0,6.0,64.0,64.0,66.0,64.0,64.0,64.8,50.8,16.66,108.0
"August, 2015","5,7  0,2 (3,64%)",58.0,52.0,55.0,55.0,58.0,53.0,57.0,55.9,46.2,24.64,138.0
"September, 2015","5,6  0 (0%)",59.0,53.0,56.0,56.0,57.0,55.0,56.0,55.3,44.6,13.38,74.0
"October, 2015","5,7  0 (0%)",6.0,54.0,57.0,56.0,57.0,56.0,57.0,57.0,43.0,16.55,94.000
