Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2011","23,2  0,1 (0,43%)",24.2,22.0,23.1,23.0,23.9,22.8,23.2,23.09,72.0,105.31,2.431.577
"February, 2011","23,2  0 (0%)",24.3,22.1,23.2,22.8,23.6,22.8,23.2,23.06,72.0,35.08,809.042
"March, 2011",,,,,,,,,,,,
"April, 2011",,,,,,,,,,,,
"May, 2011","24,3  1,1 (4,74%)",24.3,22.1,23.2,23.2,24.3,23.2,24.3,24.14,75.4,66.93,1.615.583
"June, 2011","25  0,7 (2,88%)",25.5,23.1,24.3,25.2,25.5,24.6,25.0,25.23,77.5,118.42,2.987.289
"July, 2011",25  0 (0%),26.2,23.8,25.0,24.2,25.1,24.2,25.0,24.74,77.5,51.04,1.262.589
"August, 2011",25  0 (0%),26.2,23.8,25.0,24.7,25.3,24.7,25.0,25.03,77.5,74.1,1.855.023
"September, 2011",25  0 (0%),26.2,23.8,25.0,25.0,25.0,24.8,25.0,24.92,77.5,59.67,1.486.863
"October, 2011",,,,,,,,,,,,
"November, 2011","23,1  -1,2 (-4,94%)",25.5,23.1,24.3,23.5,24.2,23.1,23.1,23.14,71.7,273.1,6.319.977
"December, 2011","22,5  -0,5 (-2,17%)",24.1,21.9,23.0,23.0,23.0,22.5,22.5,22.77,74.7,14.95,340.340
"January, 2012","23,6  0,2 (0,85%)",24.5,22.3,23.4,23.4,24.0,23.3,23.6,23.48,78.3,37.79,887.400
"February, 2012","27,8  1,3 (4,91%)",27.8,25.2,26.5,27.8,27.8,27.8,27.8,27.8,92.3,50.0,1.390.000
"March, 2012","28,5  0,1 (0,35%)",29.8,27.0,28.4,28.4,28.7,28.3,28.5,28.48,94.6,45.4,1.292.875
"April, 2012","29,9  1,4 (4,91%)",29.9,27.1,28.5,28.5,29.9,28.5,29.9,29.47,11.38,161.93,4.771.780
"May, 2012","27,6  -0,5 (-1,78%)",29.5,26.7,28.1,28.0,28.1,27.5,27.6,27.81,10.5,36.6,1.017.990
"June, 2012","26,3  0,6 (2,33%)",26.9,24.5,25.7,26.9,26.9,26.0,26.3,26.2,10.01,2.21,57.903
"July, 2012","25,9  -0,1 (-0,38%)",27.3,24.7,26.0,26.8,26.8,25.9,25.9,25.98,98.6,22.73,590.434
"August, 2012","26,5  -0,3 (-1,12%)",28.1,25.5,26.8,26.8,26.8,26.3,26.5,26.65,10.09,28.93,770.858
"September, 2012","26,9  0 (0%)",28.2,25.6,26.9,26.9,26.9,26.8,26.9,26.87,10.24,26.62,715.225
