Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010",52  0 (0%),54.5,49.4,52.0,0.0,0.0,0.0,52.0,0.0,63.2,140.0,7.280
"February, 2010","57,5  0 (0%)",60.0,55.0,57.5,0.0,0.0,0.0,57.5,0.0,69.9,1.9,109.25
"March, 2010","55,5  0 (0%)",58.0,53.0,55.5,55.5,55.5,55.5,55.5,55.5,67.5,130.0,7.215
"April, 2010","57,5  0 (0%)",60.0,55.0,57.5,57.5,58.0,57.5,57.5,57.66,69.9,7.21,415.71
"May, 2010",55  0 (0%),57.5,52.5,55.0,57.0,57.0,53.0,55.0,53.2,66.9,11.12,591.62
"June, 2010","57  -1 (-1,72%)",60.5,55.5,58.0,57.0,57.0,57.0,57.0,57.0,69.3,510.0,29.07
"July, 2010","56  2 (3,7%)",56.5,51.5,54.0,54.0,56.0,54.0,56.0,54.82000000000001,68.1,170.0,9.32
"August, 2010","40  0,5 (1,27%)",41.4,37.6,39.5,40.0,40.0,40.0,40.0,40.0,10.95,510.0,20.400
"September, 2010","39,5  0 (0%)",41.4,37.6,39.5,0.0,0.0,0.0,39.5,0.0,10.81,10.0,395
"October, 2010","39,5  0 (0%)",41.4,37.6,39.5,0.0,0.0,0.0,39.5,0.0,10.98,10.0,395.0
"November, 2010","37,2  1,2 (3,33%)",37.8,34.2,36.0,37.2,37.2,37.2,37.2,37.2,10.34,10.0,372
"December, 2010","38,5  0 (0%)",40.4,36.6,38.5,38.5,38.5,38.5,38.5,38.5,10.71,10.0,385.0
"January, 2011",35  0 (0%),36.7,33.3,35.0,0.0,0.0,0.0,35.0,0.0,97.3,790.0,27.658
"February, 2011","32,8  1,4 (4,46%)",32.9,29.9,31.4,30.0,32.8,30.0,32.8,30.03,93.6,1.03,30.932
"March, 2011","32,9  0 (0%)",34.5,31.3,32.9,0.0,0.0,0.0,32.9,0.0,93.9,10.0,329.0
"April, 2011","29,8  1,4 (4,93%)",29.8,27.0,28.4,29.8,29.8,29.0,29.8,29.18,85.0,2.36,68.872
"May, 2011","32,9  0 (0%)",34.5,31.3,32.9,0.0,0.0,0.0,32.9,0.0,93.9,10.0,329
"June, 2011","30,2  1,4 (4,86%)",30.2,27.4,28.8,30.2,30.2,30.2,30.2,30.2,87.9,30.0,906.0
"July, 2011","29,5  -0,5 (-1,67%)",31.5,28.5,30.0,29.5,29.5,29.5,29.5,29.5,85.8,40.0,1.18
"August, 2011","33,9  0,4 (1,19%)",35.1,31.9,33.5,34.0,34.0,33.9,33.9,33.93,98.7,30.0,1.018
"September, 2011","32,1  0 (0%)",33.7,30.5,32.1,0.0,0.0,0.0,32.1,0.0,93.4,10.0,321.0
"October, 2011",32  0 (0%),33.6,30.4,32.0,0.0,0.0,0.0,32.0,0.0,93.1,10.0,320.0
"November, 2011","28,5  -1,5 (-5%)",31.5,28.5,30.0,28.5,28.5,28.5,28.5,28.5,82.9,30.0,855.0
"December, 2011","26,8  0 (0%)",28.1,25.5,26.8,0.0,0.0,0.0,26.8,0.0,79.6,20.0,536.0
"January, 2012","29  0,1 (0,35%)",30.3,27.5,28.9,29.0,29.0,29.0,29.0,29.0,86.2,20.0,580.0
"February, 2012","25,1  -1,3 (-4,92%)",27.7,25.1,26.4,26.4,26.4,25.1,25.1,26.27,74.6,200.0,5.254
"March, 2012","25,4  0,5 (2,01%)",26.1,23.7,24.9,25.4,25.4,25.4,25.4,25.4,75.5,100.0,2.54
"April, 2012",25  0 (0%),26.2,23.8,25.0,23.8,25.0,23.8,25.0,24.47,74.3,690.0,16.882
"May, 2012","28  0,6 (2,19%)",28.7,26.1,27.4,26.5,28.0,26.5,28.0,26.64,83.2,2.81,74.845
"June, 2012","28,1  0 (0%)",29.5,26.7,28.1,0.0,0.0,0.0,28.1,0.0,86.2,150.0,4.215
"July, 2012","28,8  0 (0%)",30.2,27.4,28.8,28.8,29.0,28.6,28.8,28.83,88.4,13.29,383.152
"August, 2012","29  0,3 (1,05%)",30.1,27.3,28.7,29.0,29.0,29.0,29.0,29.0,89.0,20.0,580.0
"September, 2012","28,3  0 (0%)",29.7,26.9,28.3,0.0,0.0,0.0,28.3,0.0,91.2,160.0,4.560.000
"October, 2012","27,7  0 (0%)",29.0,26.4,27.7,0.0,0.0,0.0,27.7,0.0,89.3,4.96,133.827
"November, 2012",27  0 (0%),28.3,25.7,27.0,0.0,0.0,0.0,27.0,0.0,87.0,9.0,243.000
"December, 2012","28,5  -1,5 (-5%)",31.5,28.5,30.0,28.5,28.5,28.5,28.5,28.5,91.8,100.0,2.85
