Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","19,6  -0,35 (-1,75%)",21.3,18.6,19.95,20.0,20.0,19.6,19.6,19.74,18.95,66.73,1.317.000
"February, 2018","18,4  -1,2 (-6,12%)",20.95,18.25,19.6,19.6,19.75,18.3,18.4,18.85,17.79,137.94,2.600.000
"March, 2018","18,9  0,3 (1,61%)",19.9,17.3,18.6,18.7,19.1,18.6,18.9,18.73,18.27,214.0,4.009.000
"April, 2018","18,9  0 (0%)",20.2,17.6,18.9,18.95,18.95,18.6,18.9,18.91,18.27,107.22,2.027.000
"May, 2018","19  0,1 (0,53%)",20.2,17.6,18.9,18.9,19.0,18.0,19.0,18.3,18.37,202.2,3.700.000
"June, 2018","18,75  -0,25 (-1,32%)",20.3,17.7,19.0,19.0,19.05,18.4,18.75,18.880000000000003,18.130000000000003,121.44,2.293.000
"July, 2018","18,45  -0,3 (-1,6%)",20.05,17.45,18.75,18.75,18.9,18.1,18.45,18.46,17.84,93.1,1.719.000
"August, 2018","16,8  0,45 (2,75%)",17.45,15.25,16.35,16.0,16.8,16.0,16.8,16.380000000000003,15.85,165.6,2.713.000
"September, 2018","19,25  -0,25 (-1,28%)",20.85,18.15,19.5,19.2,19.4,18.15,19.25,19.0,18.16,138.22,2.626.000
"October, 2018","19,95  -0,55 (-2,68%)",21.4,18.6,20.5,19.85,20.5,19.8,19.95,20.12,19.29,195.19,3.927.000
"November, 2018","18,6  0,05 (0,27%)",19.8,17.3,18.55,18.55,18.65,18.3,18.6,18.57,17.98,140.05,2.601.000
"December, 2018","16,4  -0,05 (-0,3%)",17.6,15.3,16.45,16.7,16.7,16.4,16.4,16.490000000000002,15.86,23.04,380.0
"January, 2019","15,3  0,25 (1,66%)",16.1,14.0,15.05,15.0,15.3,14.9,15.3,15.03,14.79,8.45,127.000
