Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","41,8  0,2 (0,48%)",44.5,38.7,41.6,41.4,42.0,41.4,41.8,41.66,25.71,151.58,6.315.000
"February, 2018","42,2  0,4 (0,96%)",44.7,38.9,41.8,41.6,42.2,41.6,42.2,41.9,25.95,212.83,8.918.000
"March, 2018","43,5  0 (0%)",46.5,40.5,43.5,43.4,43.9,43.0,43.5,43.54,26.75,275.03,11.975.000
"April, 2018","42,8  -0,7 (-1,61%)",46.5,40.5,43.5,43.5,43.5,42.8,42.8,43.05,26.32,172.16,7.411.000
"May, 2018","42,8  0 (0%)",45.75,39.85,42.8,42.7,42.9,42.6,42.8,42.7,26.32,141.86,6.058.000
"June, 2018","42,7  -0,1 (-0,23%)",45.75,39.85,42.8,42.8,42.8,42.5,42.7,42.64,26.26,122.31,5.215.000
"July, 2018","43,1  0,4 (0,94%)",45.65,39.75,42.7,42.7,43.1,42.7,43.1,42.86,26.51,116.49,4.993.000
"August, 2018","41,6  -0,1 (-0,24%)",44.6,38.8,41.7,41.9,42.0,41.4,41.6,41.67,25.58,109.67,4.570.000
"September, 2018","43  0,9 (2,14%)",45.0,39.2,42.1,43.0,43.0,42.3,43.0,42.64,26.45,68.27,2.739.000
"October, 2018","41,6  0,4 (0,97%)",44.05,38.35,41.2,41.2,42.0,41.2,41.6,41.73,25.58,137.47,5.736.000
"November, 2018","43,5  0,7 (1,64%)",45.75,39.85,42.8,42.7,43.5,42.3,43.5,42.89,26.75,275.12,11.799.000
"December, 2018","42  -0,8 (-1,87%)",45.75,39.85,42.8,42.8,42.8,42.0,42.0,42.36,25.83,106.68,4.519.000
"January, 2019","42,2  0,4 (0,96%)",44.7,38.9,41.8,41.7,42.4,41.7,42.2,41.99,25.95,207.43,8.711.000
"February, 2019","27  -0,5 (-1,82%)",29.4,25.6,27.5,27.5,27.5,26.9,27.0,27.32,26.57,153.47,4.193.000
"March, 2019","26,95  0,4 (1,51%)",28.4,24.7,26.55,26.6,27.05,26.5,26.95,26.8,26.52,204.4,5.477.000
"April, 2019","25,95  -0,2 (-0,76%)",27.95,24.35,26.15,26.1,26.15,25.85,25.95,25.96,25.53,210.9,5.475.000
"May, 2019","24,8  -0,1 (-0,4%)",26.6,23.2,24.9,24.9,24.9,24.7,24.8,24.81,24.4,419.14,10.398.000
"June, 2019","25,9  1,2 (4,86%)",26.4,23.0,24.7,24.7,25.9,24.6,25.9,25.21,25.49,446.72,11.260.000
"July, 2019","25,2  0,1 (0,4%)",26.85,23.35,25.1,25.15,25.2,24.95,25.2,25.08,24.8,274.8,6.891.000
