Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2008","9,4  0,2 (2,17%)",98.0,86.0,92.0,96.0,96.0,9.0,94.0,94.0,77.0,15.2,142.3
"February, 2008","9,2  -0,2 (-2,13%)",10.0,88.0,94.0,91.0,93.0,9.0,92.0,91.0,75.4,18.8,171.57
"March, 2008","9,3  0,2 (2,2%)",97.0,85.0,91.0,89.0,93.0,89.0,93.0,9.0,76.2,11.9,107.6
"April, 2008","9,3  0,3 (3,33%)",96.0,84.0,9.0,93.0,93.0,9.0,93.0,91.0,76.2,21.9,199.97
"May, 2008","9,4  0,2 (2,17%)",94.0,9.0,92.0,94.0,94.0,94.0,94.0,94.0,72.0,43.6,409.840
"June, 2008","11,1  0,4 (3,74%)",11.1,10.3,10.7,11.1,11.1,11.0,11.1,11.1,91.0,102.0,1.131.080
"July, 2008","12  -0,4 (-3,23%)",12.8,12.0,12.4,12.0,12.0,12.0,12.0,12.0,98.4,1.3,15.600
"August, 2008","15,9  -0,6 (-3,64%)",17.6,15.4,16.5,15.4,16.0,15.4,15.9,15.5,13.03,197.0,3.048.430
"September, 2008","8,3  0,2 (2,47%)",86.0,76.0,81.0,82.0,84.0,81.0,83.0,82.0,68.0,20.4,167.7
"October, 2008",11  0 (0%),11.7,10.3,11.0,11.2,11.2,10.9,11.0,11.1,90.2,36.3,401.590
"November, 2008","9,4  0,6 (6,82%)",94.0,82.0,88.0,89.0,94.0,89.0,94.0,92.0,77.0,63.8,587.45
"December, 2008","7,8  0,1 (1,3%)",82.0,72.0,77.0,79.0,79.0,76.0,78.0,77.0,63.9,25.1,191.37
"January, 2009","8,5  -0,1 (-1,16%)",92.0,8.0,86.0,85.0,86.0,84.0,85.0,85.0,69.7,21.2,179.870
"February, 2009","7,3  0,1 (1,39%)",77.0,67.0,72.0,73.0,73.0,73.0,73.0,73.0,59.8,3.1,22.63
"March, 2009","7,3  0,1 (1,39%)",77.0,67.0,72.0,73.0,74.0,71.0,73.0,72.0,59.8,42.6,307.320
"April, 2009","11,4  0,7 (6,54%)",11.4,10.0,10.7,10.7,11.4,10.5,11.4,11.2,93.4,135.3,1.520.740
"May, 2009","12,9  0,8 (6,61%)",12.9,11.3,12.1,12.3,12.9,12.2,12.9,12.8,10.57,402.500,5.168.930
"June, 2009","17,1  0,5 (3,01%)",17.7,15.5,16.6,17.3,17.3,16.8,17.1,17.0,14.02,197.4,3.359.280
"July, 2009","15,4  0,6 (4,05%)",15.5,14.1,14.8,14.8,15.4,14.8,15.4,15.21,12.22,157.58,2.397.000
"August, 2009","17  0,3 (1,8%)",17.5,15.9,16.7,17.1,17.1,16.6,17.0,16.82,13.49,523.520,8.805.609
"September, 2009","16,9  -0,7 (-3,98%)",18.4,16.8,17.6,17.5,17.6,16.9,16.9,17.23,13.41,246.19,4.243.080
"October, 2009","17,5  0,4 (2,34%)",17.9,16.3,17.1,17.7,17.8,17.0,17.5,17.509999999999998,13.89,344.660,6.035.440
"November, 2009","13,7  0 (0%)",14.3,13.1,13.7,13.5,14.0,13.5,13.7,13.72,11.16,212.69,2.918.553
"December, 2009",13  0 (0%),13.6,12.4,13.0,13.0,13.4,13.0,13.0,13.09,10.59,268.13,3.508.960
"January, 2010",12  0 (0%),12.6,11.4,12.0,12.2,12.2,11.9,12.0,12.02,97.7,44.71,537.580
"February, 2010","11,8  0,1 (0,85%)",12.2,11.2,11.7,11.8,11.9,11.7,11.8,11.76,96.1,114.85,1.350.860
"March, 2010","12,3  -0,2 (-1,6%)",13.1,11.9,12.5,12.5,12.6,12.3,12.3,12.44,10.02,101.79,1.265.917
"April, 2010","13,2  0,2 (1,54%)",13.6,12.4,13.0,13.0,13.3,13.0,13.2,13.18,10.75,182.88,2.409.618
"May, 2010","13  -0,4 (-2,99%)",14.0,12.8,13.4,13.6,13.6,13.0,13.0,13.32,11.03,285.36,3.800.268
"June, 2010","12,9  -0,1 (-0,77%)",13.6,12.4,13.0,12.6,12.9,12.6,12.9,12.8,10.94,113.55,1.453.696
"July, 2010","12,5  0,1 (0,81%)",13.0,11.8,12.4,12.4,12.5,12.3,12.5,12.44,10.6,85.58,1.064.253
"August, 2010","10,9  0,3 (2,83%)",11.1,10.1,10.6,10.6,11.0,10.5,10.9,10.74,92.5,131.63,1.413.950
"September, 2010","10,3  0 (0%)",10.8,98.0,10.3,10.2,10.3,10.1,10.3,10.2,87.4,47.89,488.489
"October, 2010","9,5  -0,1 (-1,04%)",10.0,92.0,96.0,95.0,98.0,95.0,95.0,96.0,80.6,106.82,1.025.779
"November, 2010","9,4  0,2 (2,17%)",96.0,88.0,92.0,94.0,96.0,94.0,94.0,95.3,79.7,158.92,1.514.385
"December, 2010","9,6  0 (0%)",10.0,92.0,96.0,96.0,97.0,95.0,96.0,96.1,81.4,46.79,449.72
"January, 2011","9,8  0,2 (2,08%)",10.0,92.0,96.0,97.0,99.0,96.0,98.0,97.0,83.1,69.36,672.91
"February, 2011","8,9  0 (0%)",93.0,85.0,89.0,89.0,9.0,88.0,89.0,89.0,75.5,12.6,112.087
"March, 2011","8,2  -0,1 (-1,2%)",87.0,79.0,83.0,82.0,84.0,82.0,82.0,82.3,79.2,27.74,228.415
"April, 2011","8,4  0 (0%)",88.0,8.0,84.0,84.0,85.0,83.0,84.0,83.9,81.1,65.31,548.146
"May, 2011","7,8  -0,1 (-1,27%)",82.0,76.0,79.0,77.0,79.0,77.0,78.0,78.6,75.3,66.7,524.350
"June, 2011","8  -0,2 (-2,44%)",86.0,78.0,82.0,82.0,82.0,8.0,8.0,80.7,77.2,1.55,12.513
"July, 2011","8,1  0,1 (1,25%)",84.0,76.0,8.0,8.0,81.0,79.0,81.0,79.4,78.2,5.71,45.361000000000004
"August, 2011","7,9  0 (0%)",82.0,76.0,79.0,79.0,8.0,79.0,79.0,79.7,76.3,39.04,311.05
"September, 2011","7,7  -0,1 (-1,28%)",81.0,75.0,78.0,77.0,79.0,76.0,77.0,77.4,74.3,47.16,365.094
"October, 2011","8,1  -0,1 (-1,22%)",86.0,78.0,82.0,83.0,83.0,81.0,81.0,82.1,78.2,13.22,108.524
"November, 2011","7,4  -0,3 (-3,9%)",8.0,74.0,77.0,78.0,78.0,74.0,74.0,78.0,71.4,9.16,71.444
"December, 2011","6,9  0,3 (4,55%)",69.0,63.0,66.0,66.0,69.0,66.0,69.0,68.7,66.6,7.57,51.983999999999995
