Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",44  0 (0%),47.0,41.0,44.0,44.0,44.5,44.0,44.0,44.18,21.56,56.06,2.477.000
"February, 2014","42,6  0,3 (0,71%)",45.2,39.4,42.3,42.3,42.6,41.7,42.6,42.02,19.32,1.193.590,50.151.895
"March, 2014","42,4  -0,8 (-1,85%)",46.2,40.2,43.2,43.2,43.3,42.4,42.4,42.8,19.23,818.680,35.035.519
"April, 2014","40,2  0 (0%)",43.0,37.4,40.2,40.2,40.2,39.9,40.2,40.13,18.23,220.390,8.843.984
"May, 2014","40,5  0,1 (0,25%)",43.2,37.6,40.4,40.0,40.6,40.0,40.5,40.42,18.37,259.6,10.493.000
"June, 2014","41,8  0,9 (2,2%)",43.7,38.1,40.9,40.9,41.9,40.8,41.8,41.6,20.1,463.000,19.263.000
"July, 2014",42  0 (0%),44.9,39.1,42.0,41.8,42.3,41.8,42.0,42.0,20.26,306.49,12.874.000
"August, 2014","46  0,8 (1,77%)",48.3,42.1,45.2,45.8,46.7,45.7,46.0,46.12,22.19,430.07,19.834.000
"September, 2014","46,6  0,6 (1,3%)",49.2,42.8,46.0,46.0,46.7,45.8,46.6,46.14,22.62,184.120,8.496.000
"October, 2014","46  0,8 (1,77%)",48.3,42.1,45.2,45.2,46.0,45.0,46.0,45.55,22.54,236.97,10.794.000
"November, 2014","44  -0,5 (-1,12%)",47.6,41.4,44.5,44.5,44.5,43.7,44.0,43.93,21.56,24.98,1.097.000
"December, 2014","43  1,7 (4,12%)",44.1,38.5,41.3,41.3,43.1,41.1,43.0,42.13,21.07,190.25,8.015.000
"January, 2015","42,3  -1 (-2,31%)",46.3,40.3,43.3,43.5,43.5,42.3,42.3,42.78,20.73,176.88,7.566.000
"February, 2015","39,9  0 (0%)",42.6,37.2,39.9,40.0,40.3,39.9,39.9,40.05,19.55,244.87,9.807.000
"March, 2015","40,3  -0,1 (-0,25%)",43.2,37.6,40.4,40.4,40.5,40.2,40.3,40.31,19.75,144.3,5.817.000
