Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","19,9  -1,3 (-6,13%)",22.6,19.8,21.2,19.9,20.0,19.9,19.9,19.92,13.62,11.5,229.0
"February, 2015","20,1  0,2 (1,01%)",21.2,18.6,19.9,20.1,20.1,19.5,20.1,19.53,13.75,20.6,402.0
"March, 2015","19,2  0,3 (1,59%)",20.2,17.6,18.9,18.9,19.2,18.9,19.2,18.97,10.86,8.42,160.0
"April, 2015","20  0,7 (3,63%)",20.6,18.0,19.3,19.8,20.0,19.4,20.0,19.43,11.31,3.28,64.000
"May, 2015","19,1  -0,1 (-0,52%)",20.5,17.9,19.2,19.1,19.1,19.1,19.1,19.1,11.74,121.04,2.323.000
"June, 2015","23,4  0,4 (1,74%)",24.6,21.4,23.0,22.6,24.0,22.6,23.4,23.4,14.38,95.68,2.239.000
"July, 2015","22,3  0,2 (0,9%)",23.6,20.6,22.1,23.0,23.0,22.2,22.3,22.28,13.7,10.22,228.000
"August, 2015","21,3  -0,3 (-1,39%)",23.1,20.1,21.6,21.9,21.9,21.3,21.3,21.42,13.81,12.24,262.0
"September, 2015","19,7  -0,1 (-0,51%)",21.1,18.5,19.8,20.0,20.0,19.7,19.7,19.76,13.48,2.26,45.000
"October, 2015","20,3  -0,2 (-0,98%)",21.9,19.1,20.5,20.6,20.8,20.3,20.3,20.62,13.89,24.4,503.0
"November, 2015","21,2  1,2 (6%)",21.4,18.6,20.0,19.5,21.2,19.5,21.2,19.71,14.51,2.98,59.0
"December, 2015","21  0,7 (3,45%)",21.6,18.8,20.3,21.0,21.0,21.0,21.0,21.0,14.8,23.1,485.0
"January, 2016","19,8  -0,2 (-1%)",21.4,18.6,20.0,19.5,19.8,19.0,19.8,19.14,13.89,2.46,47.0
"February, 2016","20  0,2 (1,01%)",21.1,18.5,19.8,20.0,20.0,19.5,20.0,19.83,14.03,37.17,737.0
"March, 2016","23,7  0 (0%)",25.3,22.1,23.7,25.0,25.0,23.7,23.7,24.64,17.05,515.85,12.713.000
"April, 2016","22,8  -0,6 (-2,56%)",25.0,21.8,23.4,23.1,23.5,22.8,22.8,23.07,16.32,225.03,5.191.000
"May, 2016","21  -0,1 (-0,47%)",22.5,19.7,21.1,21.2,21.2,20.9,21.0,21.03,15.1,76.28,1.604.000
"June, 2016","24,3  0,1 (0,41%)",25.8,22.6,24.2,24.3,24.8,24.0,24.3,24.29,17.240000000000002,316.58,7.689.000
"July, 2016","28,6  1,1 (4%)",29.4,25.6,27.5,27.8,28.9,27.6,28.6,28.49,20.37,314.36,8.955.000
"August, 2016","30,9  0,1 (0,32%)",32.9,28.7,30.8,30.8,31.2,30.6,30.9,30.9,22.01,165.67,5.118.000
"September, 2016","31,9  0,4 (1,27%)",33.7,29.3,31.5,31.5,32.4,31.5,31.9,31.83,22.72,353.72,11.259.000
"October, 2016","28,2  -0,6 (-2,08%)",30.8,26.8,28.8,28.8,28.8,28.1,28.2,28.34,20.09,92.36,2.617.000
"November, 2016","26,5  -0,3 (-1,12%)",28.65,24.95,26.8,26.95,26.95,26.2,26.5,26.380000000000003,19.43,122.48,3.232.000
"December, 2016","27,6  0 (0%)",29.5,25.7,27.6,28.15,28.15,27.4,27.6,27.52,20.24,10.29,283.000
"January, 2017","28,7  0,1 (0,35%)",30.6,26.6,28.6,29.0,29.0,28.6,28.7,28.76,20.68,61.32,1.763.000
"February, 2017","29,3  -0,6 (-2,01%)",31.95,27.85,29.9,29.6,29.6,29.3,29.3,29.4,21.11,128.99,3.793.000
"March, 2017","28,65  -0,45 (-1,55%)",31.1,27.1,29.1,29.0,29.0,28.65,28.65,28.78,20.64,37.58,1.082.000
"April, 2017","28,9  0,05 (0,17%)",30.85,26.85,28.85,28.85,29.35,28.65,28.9,28.84,20.82,174.88,5.043.000
"May, 2017","31  -1 (-3,12%)",34.2,29.8,32.0,32.0,32.5,30.95,31.0,31.32,22.34,120.66,3.779.000
"June, 2017","33,4  -0,6 (-1,76%)",36.35,31.65,34.0,34.45,34.7,33.0,33.4,33.95,25.7,101.34,3.440.000
"July, 2017","35,6  -1,2 (-3,26%)",39.35,34.25,36.8,36.1,36.75,35.5,35.6,35.93,27.39,41.41,1.488.000
"August, 2017","32,8  0,3 (0,92%)",34.75,30.25,32.5,32.5,32.8,32.2,32.8,32.55,25.24,22.21,723.000
"September, 2017","36,4  -0,05 (-0,14%)",39.0,33.9,36.45,36.45,36.5,35.9,36.4,36.23,28.01,18.77,680.000
"October, 2017","35,8  -0,6 (-1,65%)",38.3,33.3,36.4,35.8,36.4,33.5,35.8,36.09,28.01,16.93,611.0
"November, 2017","33,9  0 (0%)",36.25,31.55,33.9,33.6,34.0,33.5,33.9,33.62,26.52,32.45,1.091.000
"December, 2017","37,8  -0,05 (-0,13%)",40.45,35.25,37.85,37.3,38.4,37.2,37.8,37.57,29.57,52.73,1.981.000
"January, 2018","38,5  0,3 (0,79%)",40.85,35.55,38.2,38.1,38.6,38.1,38.5,38.38,30.12,79.13,3.037.000
"February, 2018","43,9  -0,5 (-1,13%)",47.5,41.3,44.4,44.1,44.3,43.7,43.9,43.89,34.34,129.74,5.694.000
"March, 2018","40,1  -1,1 (-2,67%)",44.05,38.35,41.2,40.9,41.4,40.0,40.1,40.6,31.37,125.28,5.086.000
"April, 2018","38  -0,4 (-1,04%)",41.05,35.75,38.4,38.2,38.35,37.65,38.0,37.9,29.73,61.92,2.347.000
"May, 2018","31,5  -1,2 (-3,67%)",34.95,30.45,32.7,32.05,32.5,31.0,31.5,31.83,26.2,66.19,2.107.000
"June, 2018","32  -0,4 (-1,23%)",34.65,30.15,32.4,31.0,32.0,31.0,32.0,31.5,26.62,6.19,195.000
"July, 2018","32,7  1,9 (6,17%)",32.95,28.65,30.8,30.8,32.7,30.0,32.7,31.0,27.2,61.19,1.897.000
"August, 2018","37,6  0,3 (0,8%)",39.9,34.7,37.3,37.9,38.0,37.6,37.6,37.84,31.27,7.77,294.000
"September, 2018","36,75  -0,05 (-0,14%)",39.35,34.25,36.8,37.1,37.1,36.05,36.75,36.45,31.42,26.78,976.000
"October, 2018","32  1 (3,23%)",33.15,28.85,31.0,31.0,32.4,29.5,32.0,30.54,27.360000000000003,34.64,1.058.000
"November, 2018","29,85  -0,25 (-0,83%)",32.2,28.0,30.1,30.3,30.3,29.85,29.85,30.24,25.52,8.2,248.000
"December, 2018","27,95  0 (0%)",29.9,26.0,27.95,28.0,28.25,27.9,27.95,27.98,24.7,7.47,209.000
"January, 2019",29  0 (0%),31.0,27.0,29.0,29.0,29.45,28.5,29.0,28.96,25.630000000000003,30.59,886.000
"February, 2019","28,3  -0,4 (-1,39%)",30.7,26.7,28.7,28.75,28.75,28.2,28.3,28.37,25.01,56.33,1.598.000
"March, 2019","30,7  -0,2 (-0,65%)",33.05,28.75,30.9,30.7,30.95,30.4,30.7,30.57,27.14,77.06,2.356.000
"April, 2019","29,4  0 (0%)",31.45,27.35,29.4,29.5,30.0,29.4,29.4,29.67,25.99,11.93,354.000
