Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","62  1 (1,64%)",65.0,57.0,61.0,61.5,62.0,61.5,62.0,61.53,34.86,1.62,100.000
"February, 2014","63  0,5 (0,8%)",66.5,58.5,62.5,62.5,63.0,62.0,63.0,62.56,34.86,3.13,195.820
"March, 2014","63  -1 (-1,56%)",68.0,60.0,64.0,64.0,64.0,63.0,63.0,63.67,34.86,17.74,1.129.530
"April, 2014","62  0,5 (0,81%)",65.5,57.5,61.5,61.0,62.0,61.0,62.0,61.85,34.3,21.96,1.271.220
"May, 2014","62  0,5 (0,81%)",65.5,57.5,61.5,61.0,62.0,61.0,62.0,61.010000000000005,34.3,3.32,203.000
"June, 2014","61,5  -1 (-1,6%)",66.5,58.5,62.5,62.5,63.0,61.5,61.5,62.82000000000001,34.58,26.030,1.709.000
"July, 2014","62,5  0 (0%)",66.5,58.5,62.5,60.5,62.5,60.5,62.5,60.54,35.14,510,31.000
"August, 2014",62  0 (0%),66.0,58.0,62.0,62.0,62.0,62.0,62.0,62.0,34.86,350,22.000
"September, 2014",66  0 (0%),70.5,61.5,66.0,66.0,66.0,66.0,66.0,66.0,37.11,1.1,73.000
"October, 2014","60,5  -0,5 (-0,82%)",65.0,57.0,61.0,60.5,60.5,60.5,60.5,60.5,34.010000000000005,1.38,83.000
"November, 2014",61  0 (0%),65.0,57.0,61.0,60.0,61.0,59.5,61.0,59.99,34.29,7.22,433.000
"December, 2014","57  -1,5 (-2,56%)",62.5,54.5,58.5,57.0,57.0,57.0,57.0,57.0,32.05,1.01,58.0
"January, 2015",60  0 (0%),64.0,56.0,60.0,62.0,62.0,60.0,60.0,60.0,33.730000000000004,30.0,1.800.000
"February, 2015","60  -1 (-1,64%)",65.0,57.0,61.0,60.0,60.0,60.0,60.0,60.0,33.730000000000004,14.68,881.000
"March, 2015","70,5  0,5 (0,71%)",74.5,65.5,70.0,70.0,70.5,70.0,70.5,70.31,39.64,8.02,564.000
"April, 2015","77  0,5 (0,65%)",81.5,71.5,76.5,76.5,77.0,76.0,77.0,76.35,43.29,1.46,111.000
"May, 2015","79  1,5 (1,94%)",82.5,72.5,77.5,77.5,79.0,77.0,79.0,77.3,44.41,5.25,406.000
"June, 2015","76,5  0,5 (0,66%)",81.0,71.0,76.0,75.0,76.5,75.0,76.5,76.02000000000001,45.93,27.112,2.073.000
"July, 2015","86  -2 (-2,27%)",94.0,82.0,88.0,89.0,89.0,86.0,86.0,86.17999999999999,51.64,6.8,586.000
"August, 2015","97  0,5 (0,52%)",10.3,90.0,96.5,97.5,98.0,95.0,97.0,97.14,63.67999999999999,48.87,4.747.000
"September, 2015","98,5  1,5 (1,55%)",10.3,90.5,97.0,97.0,99.5,97.0,98.5,98.33,67.62,195.41,19.215.000
"October, 2015","125  1 (0,81%)",13.2,11.6,12.4,12.4,12.5,12.3,12.5,124.24,87.99,48.94,6.080.000
"November, 2015",148  0 (0%),15.8,13.8,14.8,14.7,14.8,14.5,14.8,145.74,104.18,31.99,4.662.000
"December, 2015",153  0 (0%),16.1,14.1,15.3,15.2,15.3,15.1,15.3,151.65,104.77,18.97,2.877.000
"January, 2016",137  0 (0%),14.6,12.8,13.7,13.7,13.7,13.5,13.7,136.18,94.46,53.32,7.261.000
"February, 2016","153  -1 (-0,65%)",16.4,14.4,15.4,15.3,15.4,15.2,15.3,153.20999999999998,105.49,26.65,4.083.000
"March, 2016","188  -3 (-1,57%)",20.4,17.8,19.1,19.1,19.1,18.7,18.8,189.66,127.25,52.75,10.005.000
"April, 2016",174  0 (0%),18.6,16.2,17.4,17.4,17.4,17.2,17.4,173.29000000000002,115.29,143.49,24.865.000
"May, 2016","176  3 (1,73%)",18.5,16.1,17.3,17.5,17.6,17.2,17.6,174.54000000000002,121.79,61.09,10.663.000
"June, 2016","193  -2 (-1,03%)",20.8,18.2,19.5,19.5,19.7,19.3,19.3,194.66,131.45,57.98,11.286.000
"July, 2016","222  -3 (-1,33%)",24.0,21.0,22.5,22.5,22.6,22.2,22.2,223.15,15.12,65.46,14.608.000
"August, 2016","243  6 (2,53%)",25.3,22.1,23.7,23.8,24.3,23.6,24.3,23.93,16.55,151.75,36.313.000
"September, 2016","259,6  -0,4 (-0,15%)",27.82,24.18,26.0,25.9,26.05,25.8,25.96,258.94,176.81,92.13,23.856.000
"October, 2016","195  9 (4,84%)",19.9,17.3,18.6,18.6,19.6,18.3,19.5,190.29,177.06,336.52,64.036.000
"November, 2016","172  6,9 (4,18%)",17.66,15.36,16.509999999999998,16.5,17.2,16.43,17.2,167.87,156.17000000000002,126.04,21.159.000
"December, 2016","182,5  2,6 (1,45%)",19.24,16.740000000000002,17.990000000000002,17.990000000000002,18.25,17.86,18.25,180.45,165.70999999999998,124.66,22.495.000
"January, 2017","193,5  3,7 (1,95%)",20.3,17.66,18.98,18.9,19.4,18.9,19.35,192.85,174.70999999999998,190.75,36.787.000
"February, 2017","201  -4,5 (-2,19%)",21.98,19.12,20.55,20.64,20.69,20.1,20.1,203.23,181.48,108.81,22.114.000
"March, 2017","209,4  1,4 (0,67%)",22.25,19.35,20.8,20.95,21.0,20.7,20.94,209.12,189.07,69.22,14.475.000
"April, 2017","204  -1 (-0,49%)",21.93,19.07,20.5,20.59,20.59,20.28,20.4,20.39,184.19,63.58,12.964.000
"May, 2017","214  6 (2,88%)",22.25,19.35,20.8,20.6,21.45,20.6,21.4,211.57,193.22,155.72,32.945.000
"June, 2017","216,5  -2,3 (-1,05%)",23.41,20.35,21.880000000000003,21.9,21.9,21.6,21.65,216.88,195.48,89.99,19.517.000
"July, 2017","208,3  4,3 (2,11%)",21.82,18.98,20.4,20.4,20.85,20.2,20.83,205.73,188.08,111.5,22.864.000
"August, 2017","209  0,1 (0,05%)",22.35,19.43,20.89,20.95,20.95,20.85,20.9,209.02,193.23,91.15,19.052.000
"September, 2017","208  -0,1 (-0,05%)",22.26,19.36,20.81,20.77,20.9,20.76,20.8,208.09,192.31,35.72,7.433.000
"October, 2017","218  -4,9 (-2,2%)",23.85,20.73,22.29,22.5,22.52,21.8,21.8,220.49,201.55,110.38,24.338.000
"November, 2017","227,3  -3,7 (-1,6%)",24.71,21.49,23.1,23.28,23.28,22.72,22.73,230.47,210.15,162.53,37.469.000
"December, 2017","226,5  3,5 (1,57%)",23.86,20.74,22.3,22.3,22.7,22.3,22.65,225.85,209.41,290.02,62.088.000
"January, 2018","201  -4,4 (-2,14%)",21.97,19.11,20.54,20.5,20.5,19.7,20.1,203.11,185.84,111.000,22.545.000
"February, 2018","181  -3 (-1,63%)",19.68,17.119999999999997,18.4,18.2,18.21,18.0,18.1,181.12,167.35,117.43,21.269.000
"March, 2018","157,9  8,8 (5,9%)",15.95,13.87,14.91,14.9,15.79,14.9,15.79,155.36,145.99,214.05,33.254.000
"April, 2018","135  1,9 (1,43%)",14.24,12.38,13.31,13.27,13.8,13.24,13.5,13.47,124.82,142.81,19.237.000
"May, 2018","142  4 (2,9%)",14.76,12.84,13.8,13.6,14.35,13.4,14.2,141.39,131.29000000000002,317.8,44.935.000
"June, 2018","152,4  1,4 (0,93%)",16.15,14.05,15.1,15.27,15.45,14.84,15.24,15.29,14.09,171.28,26.188.000
"July, 2018","151,9  2,3 (1,54%)",16.0,13.919999999999998,14.96,15.0,15.23,15.0,15.19,151.41,140.44,251.23,37.947.000
"August, 2018","165,5  -3 (-1,78%)",18.02,15.68,16.85,16.71,16.84,16.55,16.55,167.16,158.05,81.03,13.545.000
"September, 2018","166  -2,3 (-1,37%)",18.0,15.66,16.830000000000002,16.85,16.9,16.6,16.6,167.28,158.53,107.84,18.039.000
"October, 2018","145,6  5,6 (4%)",14.98,13.02,14.0,14.35,14.56,14.2,14.56,14.38,139.04000000000002,99.37,14.289.000
"November, 2018","155,5  -1,5 (-0,96%)",16.79,14.61,15.7,15.7,15.7,15.41,15.55,155.23,14.85,20.73,3.218.000
"December, 2018","160  -0,2 (-0,12%)",17.14,14.9,16.02,16.02,16.1,15.86,16.0,159.95999999999998,15.28,398.73,63.780.000
"January, 2019","134,8  0,3 (0,22%)",14.39,12.51,13.45,13.45,13.55,13.3,13.48,134.51,128.73,34.92,4.697.000
"February, 2019","133,8  -2,7 (-1,98%)",14.6,12.7,13.65,13.75,13.75,13.38,13.38,13.56,127.78,124.22,16.844.000
"March, 2019","143,4  -2,6 (-1,78%)",15.62,13.580000000000002,14.6,14.6,14.62,14.3,14.34,143.95999999999998,136.94,89.83,12.932.000
"April, 2019","120,8  -0,1 (-0,08%)",12.93,11.25,12.09,12.1,12.11,11.95,12.08,120.86,115.36,82.68,9.993.000
"May, 2019","111  -1 (-0,89%)",11.98,10.42,11.2,11.2,11.28,11.1,11.1,111.84,10.6,27.2,3.042.000
"June, 2019","107  4,9 (4,8%)",10.92,95.0,10.21,10.22,10.7,10.1,10.7,103.02,102.18,426.55,44.228.000
"July, 2019","113  -1 (-0,88%)",12.19,10.61,11.4,11.2,11.3,11.16,11.3,112.32,107.91,343.120,41.173.500
"August, 2019","94,7  -1,7 (-1,76%)",10.31,89.7,96.4,97.0,97.0,94.5,94.7,95.63,90.44,31.35,2.998.000
"September, 2019","95  -0,4 (-0,42%)",10.2,88.8,95.4,92.6,96.0,92.6,95.0,95.0,93.56,30.4,2.888.000
"October, 2019","79  -0,3 (-0,38%)",84.8,73.8,79.3,79.1,80.0,78.8,79.0,79.27000000000001,77.8,23.4,1.855.000
"November, 2019","63,5  -0,5 (-0,78%)",68.4,59.6,64.0,64.0,64.9,62.7,63.5,63.39,62.54,82.73,5.244.000
"December, 2019","51,3  -1,6 (-3,02%)",56.6,49.2,52.9,52.9,52.9,51.0,51.3,51.54,50.52,119.97,6.183.000
"January, 2020","55,7  2,8 (5,29%)",56.6,49.2,52.9,53.0,56.6,53.0,55.7,55.23,55.59,299.4,16.535.000
"February, 2020","62,3  -2,6 (-4,01%)",69.4,60.4,64.9,62.9,64.3,62.0,62.3,62.69,62.21,129.6,8.125.000
"March, 2020","44,95  -3,35 (-6,94%)",51.6,44.95,48.3,48.1,50.0,44.95,44.95,46.04,44.95,280.35,12.907.000
"April, 2020","62,7  -1,1 (-1,72%)",68.2,59.4,63.8,62.7,63.8,62.5,62.7,63.06,62.7,243.67,15.365.000
"May, 2020","76  -0,8 (-1,04%)",82.1,71.5,76.8,75.0,76.8,75.0,76.0,75.58,76.0,238.500,18.026.000
"June, 2020","69,6  -0,4 (-0,57%)",74.9,65.1,70.0,71.5,72.0,68.2,69.6,70.52000000000001,0.0,471.750,33.270.000
"July, 2020","66,8  -1,4 (-2,05%)",72.9,63.5,68.2,67.5,67.9,66.3,66.8,66.94,0.0,673.240,45.067.000
"August, 2020","76,2  -1,3 (-1,68%)",82.9,72.1,77.5,77.5,78.0,76.1,76.2,76.85,0.0,758.910,58.325.000
"September, 2020","69,2  2,2 (3,28%)",71.6,62.4,67.0,67.0,69.3,64.8,69.2,67.44,0.0,1.381.300,93.151.000
"October, 2020","56,4  -0,1 (-0,18%)",60.4,52.6,56.5,57.4,57.4,56.2,56.4,56.81,0.0,624.810,35.493.000
"November, 2020","64,2  0,5 (0,78%)",68.1,59.3,63.7,64.0,65.0,63.7,64.2,64.36,0.0,1.169.370,75.260.000
"December, 2020","77,7  -1,6 (-2,02%)",84.8,73.8,79.3,79.0,79.3,77.7,77.7,78.41,0.0,1.431.450,112.234.000
"January, 2021","74  3,5 (4,96%)",75.4,65.6,70.5,66.0,74.0,66.0,74.0,69.71000000000001,0.0,1.123.000,78.282.000
"February, 2021","73,9  -0,9 (-1,2%)",80.0,69.6,74.8,73.5,74.5,73.1,73.9,73.71000000000001,0.0,700.600,51.641.000
"March, 2021","72,9  -0,8 (-1,09%)",78.8,68.6,73.7,73.8,74.5,72.8,72.9,73.49,0.0,402.100,29.550.000
"April, 2021","64,2  0,7 (1,1%)",67.9,59.1,63.5,63.8,64.2,63.2,64.2,63.85,0.0,574.8,36.700.000
"May, 2021","62  2,9 (4,91%)",63.2,55.0,59.1,59.0,62.0,58.5,62.0,60.2,0.0,747.6,45.005.000
"June, 2021","64,7  -0,2 (-0,31%)",69.4,60.4,64.9,65.7,65.7,64.6,64.7,64.92,0.0,160.3,10.407.000
"July, 2021","63  3,5 (5,88%)",63.6,55.4,59.5,59.8,63.0,59.8,63.0,62.370000000000005,0.0,1.017.100,63.436.000
"August, 2021","70,4  1,3 (1,88%)",73.9,64.3,69.1,69.1,70.8,69.0,70.4,69.89,0.0,789.100,55.150.000
"September, 2021","68,1  -0,4 (-0,58%)",73.2,63.8,68.5,68.5,68.7,67.8,68.1,68.12,0.0,92.7,6.315.000
"October, 2021","71,9  0,4 (0,56%)",76.5,66.5,71.5,72.0,72.7,71.0,71.9,71.92999999999999,0.0,585.6,42.120.000
"November, 2021","80  5,2 (6,95%)",80.0,69.6,74.8,75.1,80.0,75.1,80.0,79.25,0.0,1.949.300,154.484.000
"December, 2021","109,5  2 (1,86%)",11.5,100.0,10.75,10.65,11.28,10.65,10.95,11.03,0.0,594.000,65.520.000
