Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","19,3  0,1 (0,52%)",20.5,17.9,19.2,19.0,19.4,18.8,19.3,19.12,11.6,17.63,337.0
"February, 2017","23,3  -0,2 (-0,85%)",25.1,21.9,23.5,23.4,23.4,23.3,23.3,21.880000000000003,14.0,320.0,7.0
"March, 2017","22,9  -0,4 (-1,72%)",24.9,21.7,23.3,23.3,23.3,22.9,22.9,22.73,13.76,440.0,10.0
"April, 2017","20  0,7 (3,63%)",20.65,17.95,19.3,19.2,20.0,19.0,20.0,19.4,12.02,23.86,463.0
"May, 2017","15,4  1 (6,94%)",15.4,13.4,14.4,15.4,15.4,15.4,15.4,15.45,89.0,1.1,17.0
"June, 2017","25,65  1,65 (6,87%)",25.65,22.35,24.0,25.65,25.65,25.6,25.65,26.05,14.82,1.19,31.000
"July, 2017","28,3  0,35 (1,25%)",29.9,26.0,27.95,28.4,28.4,27.65,28.3,27.860000000000003,16.36,14.75,411.000
"August, 2017","29,2  -0,05 (-0,17%)",31.25,27.25,29.25,29.4,29.7,29.1,29.2,29.49,16.880000000000003,12.65,373.0
"September, 2017","29,7  0,2 (0,68%)",31.55,27.45,29.5,29.55,29.7,29.5,29.7,29.59,17.169999999999998,8.99,266.000
"October, 2017","24  0,5 (2,13%)",25.1,21.9,23.5,24.0,24.0,24.0,24.0,27.27,14.419999999999998,110.0,3.0
"November, 2017","19,2  0,4 (2,13%)",20.1,17.5,18.8,18.7,19.2,18.5,19.2,18.83,11.54,14.34,270.0
"December, 2017","24,7  0,1 (0,41%)",26.3,22.9,24.6,24.7,24.7,23.05,24.7,24.35,14.84,10.76,262.000
"January, 2018","20  -0,2 (-0,99%)",21.6,18.8,20.2,20.2,20.3,19.9,20.0,20.11,12.02,417.31,8.634.000
"February, 2018","17,5  -1 (-5,41%)",19.75,17.25,18.5,18.5,18.5,17.5,17.5,17.9,10.52,1.62,29.000
"March, 2018","23,4  -0,7 (-2,9%)",25.75,22.45,24.1,24.3,24.3,23.4,23.4,24.28,14.06,6.22,151.000
"April, 2018","18,6  1,1 (6,29%)",18.7,16.3,17.5,18.0,18.7,18.0,18.6,18.31,11.18,103.08,1.857.000
"May, 2018","22,5  0 (0%)",24.05,20.95,22.5,20.95,22.5,20.95,22.5,21.72,13.52,20.0,435.0
"June, 2018","17,1  -0,2 (-1,16%)",18.5,16.1,17.3,17.3,17.3,17.1,17.1,17.41,10.28,2.01,35.0
"July, 2018","22,85  0 (0%)",24.4,21.3,22.85,21.8,22.85,21.8,22.85,21.05,13.73,570,12.000
"August, 2018","22,5  0 (0%)",24.05,20.95,22.5,22.5,22.5,22.5,22.5,20.0,14.14,100.0,2.0
"September, 2018","24,5  1 (4,26%)",25.1,21.9,23.5,23.8,24.5,21.9,24.5,23.98,15.39,14.51,348.0
"October, 2018","23,45  -0,45 (-1,88%)",25.55,22.25,23.9,22.3,23.45,22.3,23.45,23.08,14.73,130.0,3.0
