Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",14  0 (0%),14.9,13.1,14.0,14.1,14.2,14.0,14.0,14.06,11.14,229.34,3.225.000
"February, 2014","17,6  0,3 (1,73%)",18.5,16.1,17.3,17.3,17.6,17.3,17.6,17.46,13.09,2.137.060,37.312.367
"March, 2014","16,9  -0,2 (-1,17%)",18.2,16.0,17.1,17.1,17.1,16.8,16.9,16.93,12.57,717.040,12.139.047
"April, 2014","15,8  0 (0%)",16.9,14.7,15.8,15.7,15.9,15.7,15.8,15.81,11.75,412.680,6.522.769
"May, 2014","14,9  0,1 (0,68%)",15.8,13.8,14.8,14.8,14.9,14.7,14.9,14.84,11.86,233.09,3.459.000
"June, 2014","14,5  -0,1 (-0,68%)",15.6,13.6,14.6,14.6,14.7,14.5,14.5,14.51,11.54,324.72,4.711.000
"July, 2014","14,7  0,2 (1,38%)",15.5,13.5,14.5,14.5,14.7,14.5,14.7,14.580000000000002,11.7,169.48,2.472.000
"August, 2014","14,8  0,2 (1,37%)",15.6,13.6,14.6,14.7,15.3,14.7,14.8,14.88,11.78,2.808.010,41.794.000
"September, 2014","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,14.5,14.6,14.4,14.4,14.48,11.46,275.270,3.987.000
"October, 2014","14,7  0,7 (5%)",14.9,13.1,14.0,14.0,14.7,13.9,14.7,14.419999999999998,11.7,1.091.960,15.741.000
"November, 2014","14  -0,1 (-0,71%)",15.0,13.2,14.1,14.1,14.2,14.0,14.0,14.05,11.14,222.42,3.126.000
"December, 2014","13,8  0,1 (0,73%)",14.6,12.8,13.7,13.7,13.9,13.7,13.8,13.84,10.98,94.34,1.305.000
"January, 2015","18  -0,8 (-4,26%)",20.1,17.5,18.8,18.5,18.7,17.8,18.0,18.19,14.32,3.180.240,57.843.000
"February, 2015","19,4  0 (0%)",20.7,18.1,19.4,19.5,19.6,19.0,19.4,19.22,15.44,4.198.410,80.673.000
"March, 2015","17,3  0,1 (0,58%)",18.4,16.0,17.2,17.1,17.5,17.1,17.3,17.31,13.77,1.866.230,32.309.000
"April, 2015","18  0,3 (1,69%)",18.9,16.5,17.7,17.7,18.2,17.7,18.0,17.919999999999998,14.32,2.147.400,38.490.000
"May, 2015","19,5  -0,2 (-1,02%)",21.0,18.4,19.7,19.7,20.0,19.4,19.5,19.56,15.52,2.915.260,57.024.000
"June, 2015","19,2  -0,2 (-1,03%)",20.7,18.1,19.4,19.2,19.6,19.1,19.2,19.37,16.03,1.842.780,35.694.000
"July, 2015","22,5  -0,3 (-1,32%)",24.3,21.3,22.8,23.1,23.1,22.5,22.5,22.75,18.79,2.225.520,50.631.000
"August, 2015","19,3  -0,6 (-3,02%)",21.2,18.6,19.9,20.0,20.0,19.3,19.3,19.55,16.97,2.893.780,56.584.000
"September, 2015","19,6  -0,1 (-0,51%)",21.0,18.4,19.7,19.8,19.9,19.6,19.6,19.76,17.41,780.510,15.420.000
"October, 2015","20,8  -0,1 (-0,48%)",22.3,19.5,20.9,20.9,21.1,20.8,20.8,20.89,19.03,1.748.110,36.526.000
"November, 2015","18,4  -0,7 (-3,66%)",20.4,17.8,19.1,19.0,19.0,18.0,18.4,18.57,16.830000000000002,891.270,16.534.000
"December, 2015","18,6  0 (0%)",19.7,17.3,18.6,18.7,18.7,18.4,18.6,18.58,16.919999999999998,653.890,12.435.488
