Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,9  0,5 (4,81%)",11.1,97.0,10.4,10.4,10.9,10.4,10.9,10.54,10.53,1.37,14.0
"February, 2014","14  0,4 (2,94%)",14.5,12.7,13.6,13.6,14.0,13.6,14.0,13.8,11.37,5.76,79.48
"March, 2014","13  0,3 (2,36%)",13.5,11.9,12.7,11.9,13.0,11.9,13.0,12.8,10.56,60.0,768.0
"April, 2014","12,1  0,6 (5,22%)",12.3,10.7,11.5,11.9,12.1,11.9,12.1,12.08,98.3,110.0,1.329
"May, 2014","12,3  -0,9 (-6,82%)",14.1,12.3,13.2,12.3,12.3,12.3,12.3,12.3,99.9,10.0,2.0
"June, 2014","13,3  0,8 (6,4%)",13.3,11.7,12.5,13.3,13.3,13.3,13.3,13.3,10.81,20.0,1.0
"July, 2014","13  -0,1 (-0,76%)",14.0,12.2,13.1,13.0,13.0,12.2,13.0,12.44,10.56,100,1.000
"August, 2014","13,2  0 (0%)",14.1,12.3,13.2,12.9,13.2,12.9,13.2,13.12,10.72,670.0,9.0
"September, 2014","13,4  0 (0%)",14.3,12.5,13.4,0.0,0.0,0.0,13.4,0.0,10.89,2.000.000,26.800.000
"October, 2014","11,1  0,4 (3,74%)",11.4,10.0,10.7,11.2,11.2,10.7,11.1,11.09,10.72,450.0,5.0
"November, 2014","10,4  -0,6 (-5,45%)",11.7,10.3,11.0,11.0,11.0,10.4,10.4,10.8,10.05,30.0,60.0
"December, 2014","10,9  0,2 (1,87%)",11.4,10.0,10.7,10.8,10.9,10.8,10.9,10.87,10.53,2.600.030,28.340.000
"January, 2015","10,4  0,1 (0,97%)",11.0,96.0,10.3,10.0,10.5,96.0,10.4,97.0,10.05,2.46,24.0
"February, 2015","10  -0,2 (-1,96%)",10.9,95.0,10.2,10.0,10.0,10.0,10.0,10.0,96.6,260.0,3.0
