Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,4  0,4 (1,74%)",25.3,20.7,23.0,23.1,23.6,23.0,23.4,23.34,75.8,207.71,4.848.829
"February, 2014","17,2  -0,7 (-3,91%)",19.6,16.2,17.9,17.8,17.8,16.9,17.2,17.15,92.1,62.695,1.075.395
"March, 2014","16,7  -0,3 (-1,76%)",18.7,15.3,17.0,17.2,17.5,16.7,16.7,17.380000000000003,84.9,36.45,629.860
"April, 2014","17,1  0 (0%)",18.8,15.4,17.1,16.5,17.1,16.0,17.1,16.25,81.9,4.7,76.480
"May, 2014","14,9  -0,5 (-3,25%)",16.9,13.9,15.4,15.1,15.1,14.9,14.9,15.01,40.5,10.7,160.21
"June, 2014","15,2  -0,1 (-0,65%)",16.8,13.8,15.3,15.2,15.2,15.2,15.2,15.2,38.4,5.0,76.0
"July, 2014","16,9  0,3 (1,81%)",18.2,15.0,16.6,16.6,17.1,16.6,16.9,16.89,43.5,52.346,884.116
"August, 2014","24,4  0,2 (0,83%)",26.6,21.8,24.2,23.8,24.4,23.7,24.4,24.12,53.5,113.9,2.747.630
"September, 2014","35,9  0,9 (2,57%)",38.5,31.5,35.0,35.3,35.9,34.5,35.9,35.04,71.2,195.85,6.893.855
"October, 2014","23,9  2,1 (9,63%)",23.9,19.7,21.8,23.9,23.9,23.9,23.9,23.9,78.2,36.243,866.208
"November, 2014",23  0 (0%),25.3,20.7,23.0,23.0,24.0,22.9,23.0,23.03,74.4,115.9,2.668.160
"December, 2014","23,7  0,9 (3,95%)",25.0,20.6,22.8,24.5,25.0,23.6,23.7,24.06,84.1,122.6,2.943.430
"January, 2015","25,3  -0,6 (-2,32%)",28.4,23.4,25.9,26.0,26.0,25.2,25.3,25.49,89.8,265.200,6.758.380
"February, 2015","28  -0,8 (-2,78%)",31.6,26.0,28.8,29.0,29.0,27.6,28.0,28.24,10.09,390.67,11.020.732
"March, 2015","25,7  -0,1 (-0,39%)",28.3,23.3,25.8,25.1,26.2,24.5,25.7,25.94,98.4,141.4,3.665.760
"April, 2015","25,1  -0,2 (-0,79%)",27.8,22.8,25.3,25.2,25.3,25.0,25.1,25.11,10.25,90.5,2.272.090
"May, 2015","25,8  0,8 (3,2%)",27.5,22.5,25.0,25.0,25.8,25.0,25.8,25.52,11.11,389.6,9.948.150
"June, 2015","22  0,1 (0,46%)",24.0,19.8,21.9,21.2,22.3,21.2,22.0,21.87,11.69,163.4,3.577.340
"July, 2015","22,5  -0,2 (-0,88%)",24.9,20.5,22.7,22.7,23.0,22.5,22.5,22.79,12.25,175.22,3.977.131
"August, 2015","20,6  -0,2 (-0,96%)",22.8,18.8,20.8,20.7,20.9,20.6,20.6,20.61,10.35,77.44,1.595.920
"September, 2015","22,6  -0,1 (-0,44%)",24.9,20.5,22.7,22.8,23.2,22.6,22.6,22.81,10.38,213.485,4.867.381
"October, 2015","23,6  0 (0%)",25.9,21.3,23.6,23.6,23.8,23.5,23.6,23.65,11.09,126.8,2.999.040
"November, 2015","25,8  0,2 (0,78%)",28.1,23.1,25.6,25.5,26.1,25.3,25.8,25.81,12.25,571.540,14.749.330
"December, 2015","23  -0,7 (-2,95%)",26.0,21.4,23.7,23.6,23.7,23.0,23.0,23.4,11.07,296.74,6.933.576
"January, 2016","21,1  -0,3 (-1,4%)",23.5,19.3,21.4,21.6,21.6,20.9,21.1,21.26,10.74,119.31,2.534.031
"February, 2016","22,2  0 (0%)",24.4,20.0,22.2,22.2,22.4,22.2,22.2,22.3,11.31,84.4,1.881.460
"March, 2016","23  -0,5 (-2,13%)",25.8,21.2,23.5,23.5,23.5,22.8,23.0,23.17,11.63,355.17,8.227.609
"April, 2016","26  1,5 (6,12%)",26.9,22.1,24.5,24.5,26.2,24.5,26.0,25.42,13.35,850.479,21.664.438
"May, 2016",26  1 (4%),27.5,22.5,25.0,25.1,26.1,25.1,26.0,25.78,13.88,299.355,7.725.362
"June, 2016","32,4  0,4 (1,25%)",35.2,28.8,32.0,32.0,33.4,32.0,32.4,32.79,15.830000000000002,739.716,24.236.416
