Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","34,3  0 (0%)",36.7,31.9,34.3,33.0,34.3,33.0,34.3,33.09,10.22,1.48,49.0
"February, 2014","25,5  0 (0%)",27.2,23.8,25.5,25.0,25.5,25.0,25.5,25.4,73.0,10.98,278.921
"March, 2014","25,2  -0,1 (-0,4%)",27.0,23.6,25.3,25.0,25.4,24.5,25.2,25.29,72.1,1.06,26.805
"April, 2014","25  0,6 (2,46%)",26.1,22.7,24.4,25.0,25.5,24.0,25.0,24.91,71.5,5.02,125.04
"May, 2014","22,2  -0,1 (-0,45%)",23.8,20.8,22.3,22.3,22.3,22.2,22.2,22.23,66.1,8.04,179.0
"June, 2014","23,9  1,3 (5,75%)",24.1,21.1,22.6,22.6,23.9,22.6,23.9,22.96,71.2,1.15,26.0
"July, 2014","25,3  0 (0%)",27.0,23.6,25.3,0.0,0.0,0.0,25.3,0.0,75.4,6.2,157.0
"August, 2014","28,5  -0,9 (-3,06%)",31.4,27.4,29.4,28.2,28.5,28.1,28.5,28.35,84.9,16.2,459.0
"September, 2014","33,3  0,3 (0,91%)",35.3,30.7,33.0,33.0,33.3,32.8,33.3,32.96,99.2,11.71,386.0
"October, 2014","33,3  -0,7 (-2,06%)",36.3,31.7,34.0,33.3,33.3,33.3,33.3,33.3,99.2,410.0,14.0
"November, 2014","34,3  1,3 (3,94%)",35.3,30.7,33.0,33.0,34.3,33.0,34.3,33.04,10.22,3.61,119.0
"December, 2014","32,7  -0,2 (-0,61%)",35.2,30.6,32.9,31.0,32.9,31.0,32.7,32.58,10.03,5.53,180.0
"January, 2015","32,2  -0,4 (-1,23%)",34.8,30.4,32.6,32.6,32.6,32.2,32.2,32.6,98.8,3.21,105.0
"February, 2015","32,5  0 (0%)",34.7,30.3,32.5,32.5,32.9,32.5,32.5,32.510000000000005,99.7,10.28,334.0
"March, 2015","31,8  0 (0%)",34.0,29.6,31.8,0.0,0.0,0.0,31.8,0.0,97.5,10.0,1.0
"April, 2015","32,6  0 (0%)",34.8,30.4,32.6,0.0,0.0,0.0,32.6,0.0,10.0,20.0,1.0
"May, 2015","31,9  0 (0%)",34.1,29.7,31.9,0.0,0.0,0.0,31.9,0.0,10.27,20.0,1.0
"June, 2015","31,5  0 (0%)",33.7,29.3,31.5,31.0,31.5,31.0,31.5,31.0,10.14,3.87,120.0
"July, 2015","32  -0,4 (-1,23%)",34.6,30.2,32.4,32.2,32.2,32.0,32.0,32.04,10.3,1.87,60.0
"August, 2015","33  -0,1 (-0,3%)",35.4,30.8,33.1,31.0,33.0,30.8,33.0,30.82,11.96,2.52,78.0
"September, 2015","30,5  0 (0%)",32.6,28.4,30.5,0.0,0.0,0.0,30.5,0.0,11.27,90.0,3.0
"October, 2015","34,5  2,1 (6,48%)",34.6,30.2,32.4,34.5,34.5,34.5,34.5,34.5,13.57,10.0,112.0
"November, 2015","33  1 (3,12%)",34.2,29.8,32.0,33.0,33.0,33.0,33.0,33.0,12.98,10.0,6.0
"December, 2015","32,5  0 (0%)",34.7,30.3,32.5,0.0,0.0,0.0,32.5,0.0,12.58,10.0,41.0
"January, 2016","32,5  -0,5 (-1,52%)",35.3,30.7,33.0,32.5,32.5,32.5,32.5,32.5,13.55,10.0,325.0
"February, 2016","32,1  0 (0%)",34.3,29.9,32.1,0.0,32.5,32.1,32.1,32.19,13.39,650.0,21.0
"March, 2016","31,7  0 (0%)",33.9,29.5,31.7,31.5,31.7,31.5,31.7,31.59,13.22,1.86,59.0
"April, 2016",33  0 (0%),35.3,30.7,33.0,34.9,34.9,33.0,33.0,33.08,13.09,510.0,17.0
"May, 2016","31  -1 (-3,12%)",34.2,29.8,32.0,31.3,31.3,31.0,31.0,31.12,12.91,8.56,266.000
"June, 2016","34  0,8 (2,41%)",35.5,30.9,33.2,34.0,35.0,33.4,34.0,34.09,14.96,24.37,831.000
"July, 2016","42,3  -0,3 (-0,7%)",45.5,39.7,42.6,42.6,42.6,41.6,42.3,42.25,19.06,35.43,1.497.000
"August, 2016","42,5  0,7 (1,67%)",44.7,38.9,41.8,42.0,42.8,41.6,42.5,42.04,19.15,45.68,1.920.000
"September, 2016","47,2  0 (0%)",50.5,43.9,47.2,47.2,47.8,46.6,47.2,47.02,21.77,62.32,2.930.000
"October, 2016","42,7  -0,7 (-1,61%)",46.4,40.4,43.4,41.9,42.8,41.0,42.7,41.68,19.72,69.76,2.907.000
"November, 2016","38,1  0,1 (0,26%)",40.65,35.35,38.0,38.0,38.1,38.0,38.1,38.1,17.6,3.2,122.000
