Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,6  0,6 (4,62%)",13.9,12.1,13.0,12.9,13.9,12.9,13.6,13.25,49.3,27.26,361.000
"February, 2014","15,1  0,3 (2,03%)",15.8,13.8,14.8,13.8,15.1,13.8,15.1,13.91,50.7,580.0,8.067
"March, 2014",15  0 (0%),16.0,14.0,15.0,0.0,0.0,0.0,15.0,0.0,50.4,300.0,4.5
"April, 2014","14,1  0 (0%)",15.0,13.2,14.1,0.0,0.0,0.0,14.1,0.0,47.3,3.51,49.631
"May, 2014","12,9  0,7 (5,74%)",13.0,11.4,12.2,12.9,12.9,12.9,12.9,12.9,43.3,10.0,30.0
"June, 2014","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.6,11.7,11.2,11.7,11.58,39.3,7.62,88.0
"July, 2014","13,5  0,1 (0,75%)",14.3,12.5,13.4,12.9,13.5,12.9,13.5,13.29,45.3,8.69,116.0
"August, 2014","12,9  0 (0%)",13.8,12.0,12.9,12.6,12.9,12.6,12.9,12.86,46.7,3.8,49.0
"September, 2014","12,4  -0,6 (-4,62%)",13.9,12.1,13.0,12.4,12.4,12.4,12.4,12.4,44.9,2.6,32.0
"October, 2014","12,7  -0,2 (-1,55%)",13.8,12.0,12.9,12.7,12.7,12.7,12.7,12.7,46.0,8.0,102.000
"November, 2014","13  0,3 (2,36%)",13.5,11.9,12.7,13.0,13.0,13.0,13.0,13.0,47.1,386.469,4.599.000
"December, 2014","13,1  0 (0%)",14.0,12.2,13.1,12.9,13.1,12.9,13.1,12.9,47.4,4.81,62.0
"January, 2015","12,9  0 (0%)",13.8,12.0,12.9,0.0,0.0,0.0,12.9,0.0,46.7,1.0,13.000
"February, 2015","13  0,2 (1,56%)",13.6,12.0,12.8,13.0,13.0,13.0,13.0,13.0,47.1,2.7,35.0
"March, 2015","12,5  0 (0%)",13.3,11.7,12.5,0.0,0.0,0.0,12.5,0.0,72.1,6.38,79.0
"April, 2015","15,8  0,2 (1,28%)",16.6,14.6,15.6,15.6,15.8,15.6,15.8,15.7,91.1,55.26,868.000
"May, 2015","23  1,5 (6,98%)",23.0,20.0,21.5,21.5,23.0,20.9,23.0,21.630000000000003,13.27,836.08,18.082.000
"June, 2015","18,2  -1,1 (-5,7%)",20.6,18.0,19.3,18.7,18.9,18.0,18.2,18.34,10.5,650.960,11.941.000
"July, 2015","12,2  -0,1 (-0,81%)",13.1,11.5,12.3,12.2,12.3,12.0,12.2,12.13,93.5,661.58,8.022.000
"August, 2015","11,6  -0,1 (-0,85%)",12.5,10.9,11.7,11.7,11.8,11.4,11.6,11.6,93.2,504.84,5.855.000
