Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","7,5  0,25 (3,45%)",77.5,67.5,72.5,72.0,75.2,71.1,75.0,74.5,55.2,688.23,5.130.000
"February, 2016","7,5  0 (0%)",80.2,69.8,75.0,74.0,75.7,73.5,75.0,75.2,55.2,760.74,5.719.000
"March, 2016","5,24  -0,38 (-6,76%)",60.1,52.3,56.2,52.3,56.0,52.3,52.4,52.5,38.6,1.429.710,7.505.000
"April, 2016","5,6  0,36 (6,87%)",56.0,48.8,52.4,52.1,56.0,52.1,56.0,55.8,41.2,61.410,343.000
"May, 2016","7,5  0 (0%)",80.2,69.8,75.0,74.0,75.9,73.0,75.0,75.4,55.2,650.58,4.905.000
"June, 2016","7,5  0 (0%)",80.2,69.8,75.0,75.0,75.5,74.0,75.0,75.3,55.2,511.24,3.848.000
"July, 2016","7,5  0 (0%)",80.2,69.8,75.0,74.0,75.4,73.0,75.0,75.2,55.2,887.65,6.671.000
"August, 2016","7,5  0 (0%)",80.2,69.8,75.0,74.0,75.5,73.0,75.0,75.2,55.2,544.03,4.089.000
"September, 2016","7,5  0 (0%)",80.2,69.8,75.0,74.0,75.2,73.0,75.0,75.1,55.2,425.38,3.194.000
"October, 2016","6,49  -0,48 (-6,89%)",74.5,64.9,69.7,64.9,64.9,64.9,64.9,64.9,47.8,138.380,939.420
"November, 2016","7,25  0,05 (0,69%)",77.0,67.0,72.0,71.5,76.0,70.1,72.5,73.8,53.4,861.46,6.356.000
"December, 2016",7  0 (0%),74.9,65.1,7.0,7.0,70.7,68.4,7.0,69.8,51.6,345.510,2.411.000
"January, 2017","7,5  0 (0%)",80.2,69.8,75.0,75.0,75.0,73.6,75.0,74.7,51.8,220.340,1.646.000
"February, 2017","7,02  0 (0%)",75.1,65.3,70.2,70.2,70.8,69.6,70.2,70.1,48.5,347.62,2.435.000
