Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","27,3  -0,2 (-0,73%)",30.2,24.8,27.5,27.5,27.6,27.3,27.3,27.5,199.88,38.732,1.064.204
"February, 2014","24,8  -0,3 (-1,2%)",27.6,22.6,25.1,25.1,25.1,24.6,24.8,24.82,200.69,74.5,1.848.390
"March, 2014","23,5  0,6 (2,62%)",25.1,20.7,22.9,23.0,23.8,23.0,23.5,23.46,20.7,183.48,4.303.954
"April, 2014","22,2  0,3 (1,37%)",24.0,19.8,21.9,21.8,22.2,21.8,22.2,21.93,207.14,32.6,716.010
"May, 2014","20,2  -0,1 (-0,49%)",22.3,18.3,20.3,20.1,20.5,20.0,20.2,20.26,163.36,116.503,2.359.351
"June, 2014","21,5  0 (0%)",23.6,19.4,21.5,21.5,21.5,21.3,21.5,21.37,163.07999999999998,144.466,3.088.810
"July, 2014","21,7  0,3 (1,4%)",23.5,19.3,21.4,21.2,21.7,21.2,21.7,21.45,163.66,111.5,2.391.760
"August, 2014","24,4  -0,2 (-0,81%)",27.0,22.2,24.6,24.5,24.6,24.1,24.4,24.28,173.98,85.02,2.065.426
"September, 2014","28  -0,2 (-0,71%)",31.0,25.4,28.2,28.7,28.7,25.4,28.0,27.860000000000003,215.86,1.766.710,45.578.848
"October, 2014","30,1  0,3 (1,01%)",32.7,26.9,29.8,29.8,30.8,29.0,30.1,29.96,224.29,143.3,4.294.910
"November, 2014","27,5  -0,5 (-1,79%)",30.8,25.2,28.0,27.8,27.8,27.3,27.5,27.43,201.86,71.469,1.962.609
"December, 2014","27,5  0,7 (2,61%)",29.4,24.2,26.8,26.5,28.0,26.5,27.5,27.25,195.37,83.000,2.261.710
"January, 2015","29  0,3 (1,05%)",31.5,25.9,28.7,29.0,29.5,28.8,29.0,29.110000000000003,197.79,96.030,2.794.308
"February, 2015","29,3  0 (0%)",32.2,26.4,29.3,29.3,29.5,29.0,29.3,29.2,200.55,37.9,1.106.690
"March, 2015","28,9  0,4 (1,4%)",31.3,25.7,28.5,28.5,31.3,28.5,28.9,28.57,193.43,24.3,709.940
"April, 2015","27,9  0,1 (0,36%)",30.5,25.1,27.8,28.3,28.4,27.9,27.9,27.96,176.74,24.22,677.098
"May, 2015","27,5  2,2 (8,7%)",27.8,22.8,25.3,25.3,27.5,24.7,27.5,24.99,16.96,92.6,2.464.530
"June, 2015","24,1  -0,2 (-0,82%)",26.7,21.9,24.3,24.3,24.6,24.1,24.1,24.41,136.64,109.7,2.656.140
"July, 2015","25  0,4 (1,63%)",27.0,22.2,24.6,25.0,25.0,25.0,25.0,25.0,134.38,7.9,197.500
"August, 2015","24,4  -0,4 (-1,61%)",27.2,22.4,24.8,24.4,24.5,24.0,24.4,24.39,104.83,8.700,212.210
"September, 2015","24,6  0,4 (1,65%)",26.6,21.8,24.2,24.4,26.1,24.4,24.6,24.58,108.53,1.007.600,26.286.840
"October, 2015","28,1  -0,3 (-1,06%)",31.2,25.6,28.4,28.5,28.5,28.1,28.1,28.25,117.52,115.07,3.248.652
"November, 2015","26  -0,1 (-0,38%)",28.7,23.5,26.1,25.6,26.0,25.6,26.0,25.62,118.12,14.634,377.187
"December, 2015","26,3  0,3 (1,15%)",28.6,23.4,26.0,26.0,26.5,26.0,26.3,26.0,110.47,159.100,4.149.805
"January, 2016","29,5  0,5 (1,72%)",31.9,26.1,29.0,29.5,29.8,29.0,29.5,29.42,115.92,561.28,16.517.270
"February, 2016","30  -0,3 (-0,99%)",33.3,27.3,30.3,30.3,33.3,29.6,30.0,30.25,117.78,449.217,13.492.110
"March, 2016","29  -0,7 (-2,36%)",32.6,26.8,29.7,30.1,30.1,29.0,29.0,29.54,136.32,145.7,4.276.020
"April, 2016","30,3  0,1 (0,33%)",33.2,27.2,30.2,29.6,30.5,29.6,30.3,30.18,151.56,46.168,1.393.353
"May, 2016","34,6  -0,1 (-0,29%)",38.1,31.3,34.7,34.7,34.8,31.4,34.6,34.62,168.43,881.268,28.567.773
"June, 2016","37,7  0,3 (0,8%)",41.1,33.7,37.4,37.5,38.3,37.5,37.7,37.97,17.73,536.940,20.382.339
"July, 2016","35,4  0 (0%)",38.9,31.9,35.4,35.6,35.6,34.8,35.4,35.0,181.72,81.605,2.862.195
"August, 2016","36,6  0,2 (0,55%)",40.0,32.8,36.4,36.2,37.3,36.0,36.6,36.66,18.27,236.647,8.675.830
"September, 2016","39,1  -0,6 (-1,51%)",43.6,35.8,39.7,39.6,39.6,39.0,39.1,39.37,19.19,402.080,15.821.313
"October, 2016","38,6  0,5 (1,31%)",41.9,34.3,38.1,38.1,38.8,37.8,38.6,38.49,191.16,234.625,9.033.115
"November, 2016","38  0,1 (0,26%)",41.6,34.2,37.9,37.9,38.0,37.6,38.0,37.81,179.94,60.786,2.300.401
"December, 2016","37  0,1 (0,27%)",40.5,33.3,36.9,36.5,37.0,36.5,37.0,36.69,171.27,105.8,3.903.430
"January, 2017","34  1,1 (3,34%)",36.1,29.7,32.9,32.6,34.0,32.6,34.0,33.19,157.74,33.96,1.133.840
"February, 2017","33,6  0,1 (0,3%)",36.8,30.2,33.5,33.3,34.2,33.3,33.6,33.72,14.78,258.579,8.719.250
"March, 2017","32,3  0,4 (1,25%)",35.0,28.8,31.9,31.7,32.4,31.6,32.3,32.1,154.95999999999998,113.319,3.637.553
"April, 2017","26,8  0 (0%)",29.4,24.2,26.8,26.4,27.0,26.0,26.8,26.57,137.99,162.3,4.313.430
"May, 2017","29,9  1,3 (4,55%)",31.4,25.8,28.6,28.7,30.0,28.7,29.9,29.660000000000004,136.15,177.405,5.268.592
"June, 2017","28,4  0,1 (0,35%)",31.1,25.5,28.3,28.3,28.5,28.2,28.4,28.39,127.49,57.202,1.623.784
"July, 2017","28,2  0,1 (0,36%)",30.9,25.3,28.1,28.5,28.5,28.0,28.2,28.14,125.73,20.826,586.371
"August, 2017","28,4  0,7 (2,53%)",30.4,25.0,27.7,27.4,28.5,27.3,28.4,27.8,121.67,78.7,2.193.800
"September, 2017","28,4  -0,1 (-0,35%)",31.3,25.7,28.5,27.2,28.4,27.1,28.4,27.9,106.91,76.200,2.141.190
"October, 2017","26,9  -0,6 (-2,18%)",30.2,24.8,27.5,27.3,27.3,24.9,26.9,26.57,78.77000000000001,44.7,1.199.660
"November, 2017","26,3  0,5 (1,94%)",28.3,23.3,25.8,25.9,26.3,25.5,26.3,25.93,68.03,86.170,2.239.852
"December, 2017","29,3  -0,2 (-0,68%)",32.4,26.6,29.5,29.5,30.0,29.0,29.3,29.410000000000004,67.39,52.81,1.551.893
"January, 2018",28  0 (0%),30.8,25.2,28.0,28.9,28.9,27.9,28.0,28.0,56.06,12.757,357.219
"February, 2018","26,6  -0,4 (-1,48%)",29.7,24.3,27.0,27.0,27.0,26.6,26.6,26.62,48.73,11.0,292.840
"March, 2018","22,5  0,5 (2,27%)",24.2,19.8,22.0,22.8,22.8,21.8,22.5,22.15,36.9,17.14,379.870
"April, 2018","20,7  0,1 (0,49%)",22.6,18.6,20.6,19.8,20.9,19.8,20.7,20.65,31.74,23.2,479.240
"May, 2018","22,3  0,4 (1,83%)",24.0,19.8,21.9,22.4,22.4,21.5,22.3,22.03,30.92,27.8,615.390
"June, 2018",22  0 (0%),24.2,19.8,22.0,22.2,22.9,21.7,22.0,22.32,27.23,86.8,1.931.120
"July, 2018","25  1,2 (5,04%)",26.1,21.5,23.8,25.0,25.0,23.8,25.0,24.2,30.26,27.819000000000003,689.391
"August, 2018","28,3  0 (0%)",31.1,25.5,28.3,28.3,28.3,28.0,28.3,28.27,31.69,125.949,3.560.517
"September, 2018","29,3  0,3 (1,03%)",31.9,26.1,29.0,29.3,29.8,29.3,29.3,29.49,32.81,111.60700000000001,3.291.393
"October, 2018","28  0,8 (2,94%)",29.9,24.5,27.2,27.9,28.0,27.7,28.0,27.92,32.92,36.264,1.012.370
"November, 2018","26,2  -0,4 (-1,5%)",29.2,24.0,26.6,26.6,26.6,26.0,26.2,26.39,31.3,6.64,175.204
"December, 2018",26  0 (0%),28.6,23.4,26.0,26.3,26.3,25.6,26.0,26.0,30.360000000000003,42.0,1.091.950
"January, 2019","27  -0,2 (-0,74%)",29.9,24.5,27.2,27.2,27.2,26.3,27.0,27.01,30.09,20.8,561.800
"February, 2019","25  0,2 (0,81%)",27.2,22.4,24.8,25.4,25.4,24.5,25.0,24.7,25.26,7.79,192.448
"March, 2019","24,3  0,1 (0,41%)",26.6,21.8,24.2,24.2,24.3,24.0,24.3,24.2,23.78,9.56,231.383
"April, 2019","22,5  0,3 (1,35%)",24.4,20.0,22.2,22.4,22.5,22.3,22.5,22.4,24.1,24.4,546.650
"May, 2019","20,5  0,5 (2,5%)",22.0,18.0,20.0,20.1,20.6,20.0,20.5,20.23,21.3,59.284,1.199.261
"June, 2019","24,6  1,1 (4,68%)",25.8,21.2,23.5,22.0,24.6,21.9,24.6,22.06,22.01,229.22,5.564.648
"July, 2019","22,4  -0,5 (-2,18%)",24.5,21.3,22.9,22.85,22.85,22.3,22.4,22.5,18.83,93.35,2.100.000
"August, 2019","23  0,35 (1,55%)",24.2,21.1,22.65,23.9,23.9,22.5,23.0,22.62,19.33,59.55,1.347.000
"September, 2019","22,8  0,4 (1,79%)",23.95,20.85,22.4,22.2,22.9,22.2,22.8,22.65,19.16,230.47,5.480.000
"October, 2019","23,3  0,1 (0,43%)",24.8,21.6,23.2,23.2,23.5,23.15,23.3,23.35,19.58,39.1,913.000
"November, 2019","23,9  0,25 (1,06%)",25.3,22.0,23.65,23.6,23.9,23.6,23.9,23.74,20.09,8.93,212.000
"December, 2019","24,3  0,35 (1,46%)",25.6,22.3,23.95,24.0,24.3,23.9,24.3,24.07,20.42,289.910,6.979.000
"January, 2020","20,2  -1,25 (-5,83%)",22.95,19.95,21.45,21.05,21.45,19.95,20.2,20.56,17.11,328.93,6.764.000
"February, 2020","18,8  -0,6 (-3,09%)",20.75,18.05,19.4,18.6,19.4,18.6,18.8,18.87,15.93,282.41,5.328.000
"March, 2020","18,8  -0,05 (-0,27%)",20.15,17.55,18.85,19.35,19.6,17.8,18.8,18.71,15.93,275.86,5.160.000
