Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","22,4  2 (9,8%)",22.4,18.4,20.4,20.4,22.4,20.4,22.4,21.7,4997.66,2.424.787,50.942.719
"February, 2014","29  0,2 (0,69%)",31.6,26.0,28.8,29.0,29.0,29.0,29.0,29.0,5302.71,900.0,26.1
"March, 2014","29,8  0,3 (1,02%)",32.4,26.6,29.5,29.5,29.8,29.5,29.8,29.6,5472.65,2.2,65.11
"April, 2014",29  0 (0%),31.9,26.1,29.0,29.5,29.5,29.0,29.0,29.05,5048.4800000000005,3.8,110.35
"May, 2014","26,5  -0,5 (-1,85%)",29.7,24.3,27.0,26.5,26.5,26.5,26.5,26.5,4662.61,500.0,13.25
"June, 2014","29,7  0,7 (2,41%)",31.9,26.1,29.0,29.7,29.7,29.7,29.7,0.0,5586.21,100.0,2.97
"July, 2014","35,5  1,2 (3,5%)",37.7,30.9,34.3,35.0,35.5,34.5,35.5,34.97,6209.54,3.3,116.300
"August, 2014","22  0,9 (4,27%)",23.2,19.0,21.1,21.4,22.0,21.0,22.0,21.22,7977.219999999999,2.6,55.17
"September, 2014","18,3  -0,1 (-0,54%)",20.2,16.6,18.4,18.3,18.3,18.1,18.3,18.27,6073.75,7.0,127.88
"October, 2014","16,4  0,1 (0,61%)",17.9,14.7,16.3,16.4,16.4,16.4,16.4,16.4,4280.36,300.0,4.92
"November, 2014","20,4  1,8 (9,68%)",20.4,16.8,18.6,19.0,20.4,19.0,20.4,19.83,4682.969999999999,16.028,318.704
"December, 2014","21,5  0,2 (0,94%)",23.4,19.2,21.3,21.4,21.5,21.3,21.5,21.39,6288.16,38.000,813.350
"January, 2015","20,4  0 (0%)",22.4,18.4,20.4,20.0,20.4,19.7,20.4,20.0,5260.42,4.5,90.02
"February, 2015","20,5  0 (0%)",22.5,18.5,20.5,20.1,20.5,20.1,20.5,20.43,4763.45,3.8,77.68
"March, 2015","21  -0,1 (-0,47%)",23.2,19.0,21.1,21.0,21.1,21.0,21.0,21.08,414.43,30.5,642.48
"April, 2015","20,8  -0,2 (-0,95%)",23.1,18.9,21.0,20.2,21.0,18.9,20.8,20.2,3194.43,2.040.200,42.760.100
"May, 2015","19,5  -0,3 (-1,52%)",21.7,17.9,19.8,19.5,20.0,19.5,19.5,19.53,2646.08,2.2,42.95
"June, 2015","21,3  1,3 (6,5%)",22.0,18.0,20.0,19.5,21.3,19.5,21.3,19.5,2795.59,5.8,114.54
"July, 2015","19,8  0 (0%)",21.7,17.9,19.8,19.8,19.8,19.8,19.8,0.0,2092.19,900.0,17.82
"August, 2015",19  0 (0%),20.9,17.1,19.0,19.0,19.0,18.0,19.0,18.29,192.21,5.8,106.100
"September, 2015","21  0,1 (0,48%)",22.9,18.9,20.9,20.9,21.2,20.9,21.0,21.0,1652.53,94.2,1.978.360
"October, 2015","20  -0,4 (-1,96%)",22.4,18.4,20.4,19.0,22.4,18.4,20.0,18.47,1211.33,88.4,1.831.530
"November, 2015","19  0,6 (3,26%)",20.2,16.6,18.4,19.0,19.0,19.0,19.0,19.0,961.14,133.0,2.448
"December, 2015","20,5  1,4 (7,33%)",21.0,17.2,19.1,17.5,20.5,17.5,20.5,17.73,727.64,20.9,404.380
"January, 2016","17  -0,2 (-1,16%)",18.9,15.5,17.2,17.0,17.0,17.0,17.0,17.0,460.12,21.5,365.500
"February, 2016","17,5  0,1 (0,57%)",19.1,15.7,17.4,17.4,17.5,17.4,17.5,17.45,36.61,8.9,155.330
"March, 2016","17,5  0 (0%)",19.2,15.8,17.5,17.5,17.5,17.5,17.5,17.5,278.17,100.0,1.750
"April, 2016","16,8  -0,7 (-4%)",19.2,15.8,17.5,17.0,17.0,16.4,16.8,16.619999999999997,267.82,2.0,33.240
"May, 2016","16,3  0,2 (1,24%)",17.7,14.5,16.1,16.1,16.4,16.1,16.3,16.16,22.26,3.01,48.644
"June, 2016","21,8  0,3 (1,4%)",23.6,19.4,21.5,21.8,23.0,21.5,21.8,22.5,264.35,70.604,1.581.808
"July, 2016","20,1  -0,1 (-0,5%)",22.2,18.2,20.2,20.4,20.6,19.8,20.1,20.19,265.98,18.4,371.340
"August, 2016","21,8  -0,4 (-1,8%)",24.4,20.0,22.2,22.2,22.7,21.5,21.8,21.77,247.81,46.257,1.006.901
"September, 2016","20,9  0,5 (2,45%)",22.4,18.4,20.4,20.2,20.9,20.2,20.9,20.48,214.35,6.34,129.826
"October, 2016",21  0 (0%),23.1,18.9,21.0,21.3,21.3,20.6,21.0,20.69,181.78,11.1,229.7
"November, 2016","20,7  0,1 (0,49%)",22.6,18.6,20.6,20.6,20.7,20.0,20.7,20.22,137.32999999999998,3.1,62.670
"December, 2016","15,8  -0,2 (-1,25%)",17.6,14.4,16.0,15.8,15.8,15.7,15.8,15.79,11.53,2.73,43.114
"January, 2017","16,1  0,3 (1,9%)",17.3,14.3,15.8,16.5,16.5,15.8,16.1,15.87,101.33,3.2,50.8
"February, 2017","15,9  0 (0%)",17.4,14.4,15.9,15.7,15.9,15.5,15.9,15.62,86.58,2.71,42.353
"March, 2017","17  0,4 (2,41%)",18.2,15.0,16.6,17.0,17.0,17.0,17.0,17.0,78.06,800.0,13.6
"April, 2017","16,1  0,1 (0,63%)",17.6,14.4,16.0,16.0,16.1,16.0,16.1,16.009999999999998,54.44,12.915,206.687
"May, 2017","15,8  0,1 (0,64%)",17.2,14.2,15.7,15.6,15.8,15.6,15.8,15.62,48.74,8.35,130.431
"June, 2017","15,5  -0,3 (-1,9%)",17.3,14.3,15.8,15.2,15.5,15.2,15.5,15.46,45.67,885.0,13.682
"July, 2017","16,9  -0,1 (-0,59%)",18.7,15.3,17.0,16.9,17.0,16.6,16.9,16.81,48.32,37.745,634.387
"August, 2017",18  0 (0%),19.8,16.2,18.0,17.0,18.5,16.8,18.0,17.27,46.79,40.756,704.840
"September, 2017","16,9  -0,2 (-1,17%)",18.8,15.4,17.1,16.9,16.9,16.9,16.9,0.0,29.59,100.0,1.690
"October, 2017","16,3  0 (0%)",17.9,14.7,16.3,0.0,0.0,0.0,16.3,0.0,21.33,2.0,32.6
"November, 2017","15,6  -0,1 (-0,64%)",17.2,14.2,15.7,15.6,15.6,15.5,15.6,15.56,19.45,15.1,234.92
"December, 2017","16  0,7 (4,58%)",16.8,13.8,15.3,15.3,16.0,15.3,16.0,15.46,18.880000000000003,6.494,100.797
"January, 2018","15,7  0,1 (0,64%)",17.1,14.1,15.6,15.6,15.7,15.1,15.7,15.34,15.11,17.051,261.491
"February, 2018","15,3  -0,1 (-0,65%)",16.9,13.9,15.4,15.5,15.5,15.3,15.3,15.47,14.69,8.0,123.740
"March, 2018","16,4  0,2 (1,23%)",17.8,14.6,16.2,15.8,16.4,15.8,16.4,16.119999999999997,15.19,4.354,70.175
"April, 2018","14,6  0,1 (0,69%)",15.9,13.1,14.5,14.2,14.6,14.2,14.6,14.2,13.69,13.6,193.16
"May, 2018","12,7  0,5 (4,1%)",13.4,11.0,12.2,12.4,13.3,12.4,12.7,12.66,13.03,4.4,55.68
"June, 2018","13,1  0,1 (0,77%)",14.3,11.7,13.0,13.0,13.1,13.0,13.1,13.0,13.03,1.100,14.310
"July, 2018","12,8  0 (0%)",14.0,11.6,12.8,0.0,0.0,0.0,12.8,0.0,12.69,4.5,57.6
"August, 2018",13  0 (0%),14.3,11.7,13.0,13.0,13.0,13.0,13.0,13.0,13.19,500.0,6.5
"September, 2018","12,9  0 (0%)",14.1,11.7,12.9,12.9,12.9,12.9,12.9,12.9,13.11,14.0,180.6
"October, 2018",13  0 (0%),14.3,11.7,13.0,13.0,13.0,13.0,13.0,13.0,12.61,2.7,35.1
"November, 2018","13  0,3 (2,36%)",13.9,11.5,12.7,13.0,13.0,13.0,13.0,0.0,13.56,900.0,11.7
"December, 2018","12,1  0 (0%)",13.3,10.9,12.1,12.1,12.1,12.1,12.1,12.1,12.52,1.8,21.78
"January, 2019","11,2  0 (0%)",12.3,10.1,11.2,0.0,0.0,0.0,11.2,0.0,11.47,100.0,1.12
"February, 2019",12  0 (0%),13.2,10.8,12.0,0.0,0.0,0.0,12.0,0.0,11.88,3.0,36.0
"March, 2019",12  0 (0%),13.2,10.8,12.0,12.3,12.3,12.0,12.0,12.02,11.62,1.9,22.830
"April, 2019","12,3  0 (0%)",13.5,11.1,12.3,0.0,0.0,0.0,12.3,0.0,11.07,3.0260000000000002,37.004
"May, 2019","11,2  -0,7 (-5,88%)",13.0,10.8,11.9,11.2,11.2,11.2,11.2,0.0,10.09,100.0,1.12
"June, 2019","12,1  -1,3 (-9,7%)",14.7,12.1,13.4,12.1,12.1,12.1,12.1,12.1,10.61,700.0,8.47
"July, 2019",12  0 (0%),13.2,10.8,12.0,0.0,0.0,0.0,12.0,0.0,11.06,10.0,120.0
"August, 2019","10,7  -0,3 (-2,73%)",12.1,99.0,11.0,11.6,11.6,10.7,10.7,11.6,10.34,1.4,16.15
"September, 2019","11,8  0 (0%)",12.9,10.7,11.8,0.0,0.0,0.0,11.8,0.0,13.22,1.8,21.24
"October, 2019","11,7  0 (0%)",12.8,10.6,11.7,0.0,0.0,0.0,11.7,0.0,13.98,1.1,12.76
"November, 2019","11,7  0 (0%)",12.8,10.6,11.7,0.0,0.0,0.0,11.7,0.0,14.1,3.0,35.4
"December, 2019","11,9  0 (0%)",13.0,10.8,11.9,11.9,11.9,11.9,11.9,11.9,15.26,1.09,12.876
"January, 2020","10,8  -0,4 (-3,57%)",12.3,10.1,11.2,10.8,10.8,10.8,10.8,0.0,13.84,110.0,1.197
"February, 2020","10,5  0,3 (2,94%)",11.2,92.0,10.2,10.5,10.5,10.5,10.5,10.5,13.56,300.0,3.15
"March, 2020",10  0 (0%),11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.47,8.0,80.0
"April, 2020","10,5  0,2 (1,94%)",11.3,93.0,10.3,10.5,10.5,10.5,10.5,10.5,10.94,100.0,1.05
