Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,2  0 (0%)",9.0,74.0,82.0,0.0,0.0,0.0,82.0,0.0,2568.84,88.0,678.0
"February, 2014","9,1  0,2 (2,25%)",97.0,81.0,89.0,9.0,92.0,9.0,91.0,91.0,4464.15,23.34,212.497
"March, 2014","9,7  -0,1 (-1,02%)",10.7,89.0,98.0,10.0,10.0,97.0,97.0,97.9,4520.58,12.1,118.47
"April, 2014","8,3  -0,4 (-4,6%)",95.0,79.0,87.0,86.0,86.0,83.0,83.0,85.0,3476.28,5.3,45.05
"May, 2014","8,3  0,1 (1,22%)",9.0,74.0,82.0,81.0,83.0,79.0,83.0,79.4,2893.85,1.8,14.32
"June, 2014","8,5  0 (0%)",93.0,77.0,85.0,0.0,0.0,0.0,85.0,0.0,265.65,40.0,336.0
"July, 2014","8,7  -0,1 (-1,14%)",96.0,8.0,88.0,89.0,89.0,87.0,87.0,87.2,282.83000000000004,1.6,13.96
"August, 2014","8,3  -0,4 (-4,6%)",95.0,79.0,87.0,83.0,83.0,83.0,83.0,83.0,2726.51,1.3,10.79
"September, 2014","8,6  0 (0%)",94.0,78.0,86.0,0.0,0.0,0.0,86.0,0.0,2849.06,100.0,860.0
"October, 2014","8  0,4 (5,26%)",83.0,69.0,76.0,8.0,8.0,8.0,8.0,8.0,2572.45,100.0,800.0
"November, 2014","8,2  0,2 (2,5%)",88.0,72.0,8.0,8.0,82.0,8.0,82.0,81.8,2574.49,1.1,9.0
"December, 2014","8,3  0,3 (3,75%)",88.0,72.0,8.0,8.0,83.0,8.0,83.0,81.0,2939.49,400.0,3.28
"January, 2015","8,2  0,3 (3,8%)",86.0,72.0,79.0,81.0,82.0,81.0,82.0,81.6,2950.16,8.32,67.918
"February, 2015","8,7  0,3 (3,57%)",92.0,76.0,84.0,87.0,87.0,87.0,87.0,87.0,276.09000000000003,100.0,870.0
"March, 2015","8,2  -0,1 (-1,2%)",91.0,75.0,83.0,81.0,82.0,81.0,82.0,81.5,2769.58,2.1,17.11
"April, 2015","8,2  0 (0%)",9.0,74.0,82.0,0.0,0.0,0.0,82.0,0.0,2621.96,300.0,2.36
"May, 2015","7,5  0 (0%)",82.0,68.0,75.0,75.0,75.0,75.0,75.0,75.0,2400.4700000000003,5.2,39.0
"June, 2015","7,9  0,4 (5,33%)",82.0,68.0,75.0,75.0,79.0,75.0,79.0,75.0,2765.99,600.0,4.54
"July, 2015","7,4  0 (0%)",81.0,67.0,74.0,0.0,0.0,0.0,74.0,0.0,2447.95,21.0,155.0
"August, 2015","7,2  0 (0%)",79.0,65.0,72.0,72.0,72.0,72.0,72.0,72.0,2389.84,10.0,72.0
"September, 2015","7,4  0,3 (4,23%)",78.0,64.0,71.0,72.0,74.0,72.0,74.0,73.8,2751.62,2.6,19.2
"October, 2015","7  0,6 (9,37%)",7.0,58.0,64.0,7.0,7.0,7.0,7.0,0.0,21.05,1.5,10.5
"November, 2015","6,2  -0,5 (-7,46%)",73.0,61.0,67.0,62.0,62.0,62.0,62.0,62.0,1707.44,1.805,11.205
"December, 2015","9,2  0,7 (8,24%)",93.0,77.0,85.0,85.0,92.0,85.0,92.0,88.2,1759.88,13.4,118.26
"January, 2016",7  0 (0%),77.0,63.0,7.0,0.0,0.0,0.0,7.0,0.0,1119.31,10.0,70.0
"February, 2016","7,6  0 (0%)",83.0,69.0,76.0,0.0,0.0,0.0,76.0,0.0,1215.25,10.0,70.0
"March, 2016","6,6  0,1 (1,54%)",71.0,59.0,65.0,66.0,66.0,65.0,66.0,66.0,917.44,16.7,110.2
"April, 2016","7,1  0,6 (9,23%)",71.0,59.0,65.0,68.0,71.0,68.0,71.0,68.4,974.65,17.536,120.237
"May, 2016",8  0 (0%),88.0,72.0,8.0,0.0,0.0,0.0,8.0,0.0,1057.8200000000002,1.0,8.0
"June, 2016","9,2  0,1 (1,1%)",10.0,82.0,91.0,92.0,92.0,92.0,92.0,92.0,1078.14,100.0,920.0
"July, 2016","7,6  -0,4 (-5%)",88.0,72.0,8.0,76.0,76.0,76.0,76.0,76.0,910.01,1.0,7.6
"August, 2016","8,3  0 (0%)",91.0,75.0,83.0,0.0,0.0,0.0,83.0,0.0,83.83,600.0,4.86
"September, 2016",8  0 (0%),88.0,72.0,8.0,0.0,0.0,0.0,8.0,0.0,821.9799999999999,13.9,111.15
"October, 2016","7,3  0 (0%)",8.0,66.0,73.0,0.0,0.0,0.0,73.0,0.0,723.05,1.9,13.14
"November, 2016","7,1  -0,1 (-1,39%)",79.0,65.0,72.0,72.0,72.0,71.0,71.0,71.9,758.5600000000001,1.0,7.19
"December, 2016","7,6  0 (0%)",83.0,69.0,76.0,0.0,8.0,8.0,76.0,0.0,837.0799999999999,481.307,3.850.456
"January, 2017",9  0 (0%),99.0,81.0,9.0,0.0,0.0,0.0,9.0,0.0,866.01,27.0,219.0
"February, 2017","7,9  0,4 (5,33%)",82.0,68.0,75.0,78.0,79.0,78.0,79.0,78.9,842.6299999999999,1.1,8.68
"March, 2017","7,2  -0,3 (-4%)",82.0,68.0,75.0,7.0,72.0,68.0,72.0,68.0,712.45,5.331,36.317
"April, 2017","7,4  0 (0%)",81.0,67.0,74.0,0.0,0.0,0.0,74.0,0.0,53.970000000000006,2.004,14.69
"May, 2017","8  0,5 (6,67%)",82.0,68.0,75.0,75.0,81.0,74.0,8.0,79.6,513.12,57.5,457.79
"June, 2017","10,9  0,9 (9%)",11.0,9.0,10.0,10.0,10.9,94.0,10.9,97.9,714.6800000000001,88.5,869.48
"July, 2017","11  -0,2 (-1,79%)",12.3,10.1,11.2,11.1,11.2,10.8,11.0,10.92,578.3399999999999,21.2,231.46
"August, 2017","10,6  -0,2 (-1,85%)",11.8,98.0,10.8,10.8,11.0,10.6,10.6,10.72,499.33,15.931,170.384
"September, 2017","11,2  -0,1 (-0,88%)",12.4,10.2,11.3,11.3,11.3,11.0,11.2,11.18,442.54,20.4,228.13
"October, 2017",11  0 (0%),12.1,99.0,11.0,0.0,0.0,0.0,11.0,0.0,378.44,2.0,20.0
"November, 2017","9,1  0,4 (4,6%)",95.0,79.0,87.0,9.0,91.0,9.0,91.0,9.0,378.49,1.1,9.91
"December, 2017",10  0 (0%),11.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,369.07,108.0,980.0
"January, 2018","9,6  0 (0%)",10.5,87.0,96.0,0.0,0.0,0.0,96.0,0.0,234.84,2.6,25.110
"February, 2018","12  0,5 (4,35%)",12.6,10.4,11.5,12.0,12.0,12.0,12.0,12.0,242.19,100.0,1.200
"March, 2018","11,4  0,6 (5,56%)",11.8,98.0,10.8,11.4,11.4,11.4,11.4,11.4,222.44,300.0,3.42
"April, 2018","10,7  0 (0%)",11.7,97.0,10.7,0.0,0.0,0.0,10.7,0.0,192.67,1.1,11.07
"May, 2018","9,7  -0,3 (-3%)",11.0,9.0,10.0,97.0,97.0,97.0,97.0,97.0,10.4,185.0,1.7519999999999998
"June, 2018","10,3  0 (0%)",11.3,93.0,10.3,0.0,0.0,0.0,10.3,0.0,100.16,4.0,44.0
"July, 2018","10,6  0 (0%)",11.6,96.0,10.6,0.0,0.0,0.0,10.6,0.0,79.47999999999999,200.0,2.03
"August, 2018","11,9  0,5 (4,39%)",12.5,10.3,11.4,11.4,11.9,11.4,11.9,11.85,84.21000000000001,1.0,11.85
"September, 2018","10,1  0 (0%)",11.1,91.0,10.1,0.0,0.0,0.0,10.1,0.0,62.28,100.0,1.01
"October, 2018",11  0 (0%),12.1,99.0,11.0,0.0,0.0,0.0,11.0,0.0,55.370000000000005,16.0,158.0
"November, 2018",10  0 (0%),11.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,47.03,100.0,1.0
"December, 2018",10  0 (0%),11.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,37.86,1.1,10.85
"January, 2019",11  0 (0%),12.1,99.0,11.0,0.0,0.0,0.0,11.0,0.0,36.77,500.0,4.96
"February, 2019","10,8  -1,1 (-9,24%)",13.0,10.8,11.9,10.8,10.8,10.8,10.8,10.8,31.25,2.246,24.256999999999998
"March, 2019","9,6  0,4 (4,35%)",10.1,83.0,92.0,95.0,96.0,95.0,96.0,95.0,27.660000000000004,1.4,13.37
"April, 2019","9  0,4 (4,65%)",94.0,78.0,86.0,88.0,9.0,88.0,9.0,88.8,16.52,600.0,5.33
"May, 2019","7,7  0 (0%)",84.0,7.0,77.0,0.0,0.0,0.0,77.0,0.0,11.17,545.0,4.177
"June, 2019","9,9  0,8 (8,79%)",10.0,82.0,91.0,98.0,99.0,91.0,99.0,97.0,23.05,18.8,183.29
"July, 2019","11,5  -0,1 (-0,86%)",12.7,10.5,11.6,11.6,12.0,11.5,11.5,11.5,34.81,23.512,270.497
"August, 2019","11,9  0,1 (0,85%)",12.9,10.7,11.8,12.2,12.2,11.9,11.9,12.18,39.010000000000005,7.7,93.79
"September, 2019","12,1  0 (0%)",13.3,10.9,12.1,11.6,12.5,11.6,12.1,12.03,47.57,900.0,10.83
"October, 2019","13,2  0,4 (3,12%)",14.0,11.6,12.8,13.0,13.5,12.4,13.2,13.06,43.91,32.604,425.941
"November, 2019","12,8  0 (0%)",14.0,11.6,12.8,12.7,14.0,12.7,12.8,12.72,35.04,24.387,334.524
"December, 2019","13  0,3 (2,36%)",13.9,11.5,12.7,12.4,13.1,12.4,13.0,12.88,20.27,1.9,24.53
"January, 2020","14,2  0 (0%)",15.6,12.8,14.2,0.0,0.0,0.0,14.2,0.0,17.56,5.0,70.35
"February, 2020","12,2  0 (0%)",13.4,11.0,12.2,0.0,0.0,0.0,12.2,0.0,12.2,36.0,432.0
"March, 2020","12,2  0 (0%)",13.4,11.0,12.2,0.0,0.0,0.0,12.2,0.0,12.2,2.0,22.0
"April, 2020","11,7  -1,2 (-9,3%)",14.1,11.7,12.9,11.7,11.7,11.7,11.7,11.7,11.7,100.0,1.17
"May, 2020","14,8  0 (0%)",16.2,13.4,14.8,0.0,0.0,0.0,14.8,0.0,14.8,400.0,5.93
"June, 2020","12,6  0 (0%)",13.8,11.4,12.6,0.0,0.0,0.0,12.6,0.0,0.0,500.0,6.3
"July, 2020","13,5  0 (0%)",14.8,12.2,13.5,0.0,0.0,0.0,13.5,0.0,0.0,100.0,1.35
"August, 2020","10,7  -0,2 (-1,83%)",11.9,99.0,10.9,10.3,10.7,10.1,10.7,10.15,0.0,1.4,14.26
"September, 2020","13,8  0,1 (0,73%)",15.0,12.4,13.7,13.3,13.8,13.1,13.8,13.59,0.0,42.326,575.828
"October, 2020","12,4  0,2 (1,64%)",13.05,11.35,12.2,12.4,12.5,11.9,12.4,12.12,0.0,16.66,202.000
