Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","51,5  -0,5 (-0,96%)",55.5,48.4,52.0,53.0,53.0,49.5,51.5,50.88,11.27,200.06,9.795.000
"February, 2014","30,5  0,1 (0,33%)",32.5,28.3,30.4,30.5,30.6,30.0,30.5,30.160000000000004,69.4,32.85,990.761
"March, 2014","30  -0,5 (-1,64%)",32.6,28.4,30.5,30.0,30.2,29.5,30.0,29.62,68.2,66.35,1.965.113
"April, 2014","28,3  1 (3,66%)",29.2,25.4,27.3,27.2,28.7,27.2,28.3,28.02,64.4,39.21,1.098.500
"May, 2014","27,2  0,2 (0,74%)",28.8,25.2,27.0,27.0,27.8,27.0,27.2,27.410000000000004,58.9,74.2,2.034.000
"June, 2014","31  -0,1 (-0,32%)",33.2,29.0,31.1,31.3,31.3,31.0,31.0,31.05,67.2,22.66,704.000
"July, 2014","29,2  -0,3 (-1,02%)",31.5,27.5,29.5,29.4,29.6,29.2,29.2,29.380000000000003,63.3,36.73,1.079.000
"August, 2014","35,1  0,5 (1,45%)",37.0,32.2,34.6,34.4,35.1,34.3,35.1,34.72,76.1,95.73,3.324.000
"September, 2014","36,8  1 (2,79%)",38.3,33.3,35.8,35.5,38.3,35.5,36.8,37.58,79.7,298.34,11.212.000
"October, 2014","39,3  0,4 (1,03%)",41.6,36.2,38.9,38.8,39.4,38.8,39.3,39.14,85.2,9.07,355.000
"November, 2014","52  -1,5 (-2,8%)",57.0,49.8,53.5,52.5,53.5,51.0,52.0,51.96,11.37,934.14,46.914.000
"December, 2014","50  1 (2,04%)",52.0,45.6,49.0,47.2,50.0,47.2,50.0,49.41,11.26,29.63,1.464.000
"January, 2015","47,9  0 (0%)",51.0,44.6,47.9,48.0,48.1,47.5,47.9,47.87,11.29,12.19,584.000
"February, 2015","47,2  0 (0%)",50.5,43.9,47.2,47.5,47.5,47.0,47.2,47.2,11.43,14.6,689.000
"March, 2015","46,6  -0,1 (-0,21%)",49.9,43.5,46.7,46.1,46.6,46.0,46.6,46.44,11.62,12.32,572.000
"April, 2015","46  1 (2,22%)",48.1,41.9,45.0,44.9,46.0,44.9,46.0,45.62,11.53,22.65,1.041.000
"May, 2015","38,7  2,5 (6,91%)",38.7,33.7,36.2,38.7,38.7,38.7,38.7,38.7,97.0,39.46,1.527.000
"June, 2015","39,9  -1,4 (-3,39%)",44.1,38.5,41.3,41.0,41.0,39.9,39.9,40.010000000000005,10.0,13.18,527.000
"July, 2015","27,1  0,1 (0,37%)",28.8,25.2,27.0,27.0,27.1,26.5,27.1,26.87,91.2,27.74,745.000
"August, 2015","27,2  0,4 (1,49%)",28.6,25.0,26.8,26.6,27.2,26.6,27.2,26.65,92.1,6.07,162.000
"September, 2015","25,3  -0,4 (-1,56%)",27.4,24.0,25.7,24.9,25.3,24.9,25.3,25.04,85.0,37.03,998.000
"October, 2015","24,8  1,6 (6,9%)",24.8,21.6,23.2,24.0,24.8,24.0,24.8,24.67,78.6,153.33,3.782.000
"November, 2015","22,5  0 (0%)",24.0,21.0,22.5,22.0,22.5,22.0,22.5,22.08,71.3,24.95,551.000
"December, 2015","25  0,4 (1,63%)",26.2,22.8,24.6,24.4,25.0,24.4,25.0,24.86,82.6,15.93,396.000
"January, 2016","25,8  0,9 (3,61%)",26.6,23.2,24.9,24.9,25.8,24.9,25.8,25.19,87.1,12.67,319.000
"February, 2016","36,4  0,2 (0,55%)",38.7,33.7,36.2,36.4,37.2,36.2,36.4,36.79,12.29,123.16,4.570.000
"March, 2016","35,7  -2,6 (-6,79%)",40.9,35.7,38.3,37.7,37.7,35.7,35.7,36.3,11.65,276.45,10.035.000
"April, 2016","23,6  0 (0%)",25.2,22.0,23.6,23.4,24.0,23.3,23.6,23.62,17.06,38.92,919.000
"May, 2016","21,2  -0,5 (-2,3%)",23.2,20.2,21.7,21.6,21.6,21.1,21.2,21.3,14.65,179.16,3.815.000
"June, 2016","23,6  0,3 (1,29%)",24.9,21.7,23.3,23.6,24.2,23.5,23.6,23.84,16.23,268.820,6.409.000
