Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","12,6  0 (0%)",13.4,11.8,12.6,12.6,12.7,12.5,12.6,12.55,74.2,480.610,6.033.000
"February, 2015","12,6  0 (0%)",13.4,11.8,12.6,12.6,12.6,12.5,12.6,12.58,74.2,39.86,486.000
"March, 2015","13,6  0 (0%)",17.4,11.6,0.0,13.6,14.0,13.0,13.6,13.5,75.1,3.855.500,52.050.000
"April, 2015","13,4  0 (0%)",14.3,12.5,13.4,13.5,13.5,13.2,13.4,13.34,74.0,215.33,2.872.000
"May, 2015","12,9  0 (0%)",13.8,12.0,12.9,12.8,13.1,12.8,12.9,12.95,71.2,753.100,9.755.000
"June, 2015",13  0 (0%),13.9,12.1,13.0,12.8,13.1,12.8,13.0,12.98,71.8,810.310,10.520.000
"July, 2015","12,9  -0,1 (-0,77%)",13.9,12.1,13.0,13.0,13.1,12.9,12.9,12.95,71.2,328.73,4.259.000
"August, 2015",13  0 (0%),13.9,12.1,13.0,13.0,13.1,12.8,13.0,12.98,77.1,348.480,4.525.000
"September, 2015","13  0,1 (0,78%)",13.8,12.0,12.9,12.9,13.0,12.8,13.0,12.94,77.1,611.36,7.912.000
"October, 2015","12,9  0 (0%)",13.8,12.0,12.9,12.9,13.0,12.8,12.9,12.9,76.0,600.91,7.751.000
"November, 2015","12,6  0 (0%)",13.4,11.8,12.6,12.6,12.6,12.5,12.6,12.59,74.2,437.430,5.509.000
"December, 2015","12,9  0 (0%)",13.5,11.9,12.9,12.9,13.0,12.6,12.9,12.91,75.3,618.5,7.982.000
"January, 2016","12,7  0,2 (1,6%)",13.3,11.7,12.5,12.5,13.0,12.5,12.7,12.9,73.0,605.59,7.809.000
"February, 2016","12,7  0 (0%)",13.5,11.9,12.7,12.7,13.0,12.7,12.7,12.9,73.0,251.78,3.247.000
"March, 2016","12,7  -0,1 (-0,78%)",13.6,12.0,12.8,12.8,13.0,12.6,12.7,12.85,73.0,1.102.540,14.163.000
"April, 2016","12,7  -0,1 (-0,78%)",13.6,12.0,12.8,12.8,12.8,12.7,12.7,12.7,73.0,39.8,505.000
"May, 2016","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.3,13.4,13.1,13.3,13.28,78.8,1.317.160,17.489.000
"June, 2016","12,8  0,4 (3,23%)",13.2,11.6,12.4,12.8,12.8,12.3,12.8,12.7,80.8,3.670.220,46.606.000
"July, 2016","11,8  -0,1 (-0,84%)",12.7,11.1,11.9,11.9,11.9,11.8,11.8,11.84,76.9,49.12,582.000
"August, 2016","11,2  -0,1 (-0,88%)",12.0,10.6,11.3,11.3,11.3,11.2,11.2,11.2,73.0,48.97,548.000
"September, 2016","12,15  -0,05 (-0,41%)",13.05,11.35,12.2,12.2,12.2,11.8,12.15,12.11,79.1,292.670,3.545.000
"October, 2016","11  0,2 (1,85%)",11.55,10.05,10.8,11.0,11.1,10.9,11.0,11.0,71.7,79.08,870.000
"November, 2016","10,75  -0,05 (-0,46%)",11.55,10.05,10.8,10.85,10.85,10.75,10.75,10.79,72.8,1.28,14.0
"December, 2016","10,15  -0,05 (-0,49%)",10.9,94.9,10.2,10.2,10.3,10.05,10.15,10.16,69.5,172.26,1.751.000
"January, 2017","9,67  0,16 (1,68%)",10.15,88.5,95.1,95.1,96.7,95.1,96.7,95.9,68.0,45.440,436.000
"February, 2017","10,9  -0,35 (-3,11%)",12.0,10.5,11.25,11.3,11.3,10.85,10.9,11.04,78.2,703.760,7.772.000
"March, 2017","10,45  -0,05 (-0,48%)",11.2,97.7,10.5,10.55,10.55,10.3,10.45,10.41,75.5,475.790,4.954.000
"April, 2017","13,15  0,45 (3,54%)",13.55,11.85,12.7,12.6,13.2,12.45,13.15,12.8,96.3,5.891.680,75.424.000
"May, 2017","12,9  0,3 (2,38%)",13.45,11.75,12.6,12.6,13.2,12.5,12.9,12.84,94.4,4.330.880,55.614.000
"June, 2017","14,25  0,35 (2,52%)",14.85,12.95,13.9,14.0,14.3,14.0,14.25,14.15,10.82,4.325.660,61.206.000
"July, 2017","13,6  -0,05 (-0,37%)",14.6,12.7,13.65,13.7,13.8,13.6,13.6,13.669999999999998,10.33,2.382.780,32.573.000
"August, 2017","13,55  0,05 (0,37%)",14.4,12.6,13.5,13.5,13.65,13.4,13.55,13.52,10.29,1.583.810,21.413.000
"September, 2017","13,65  -0,15 (-1,09%)",14.75,12.85,13.8,13.8,13.85,13.65,13.65,13.72,10.37,727.090,9.976.000
"October, 2017","12,5  -0,55 (-4,21%)",13.95,12.15,13.05,13.0,13.0,12.5,12.5,12.7,94.9,2.209.260,28.068.000
"November, 2017","12,75  -0,2 (-1,54%)",13.85,12.05,12.95,12.9,12.95,12.75,12.75,12.81,96.8,1.053.860,13.503.000
"December, 2017","13,6  -0,15 (-1,09%)",14.7,12.8,13.75,13.8,13.9,13.6,13.6,13.7,10.33,641.000,8.781.000
"January, 2018","13,45  -0,6 (-4,27%)",15.0,13.1,14.05,13.95,14.1,13.45,13.45,13.71,10.21,3.211.750,44.048.000
"February, 2018","12,1  -0,2 (-1,63%)",13.15,11.45,12.3,12.3,12.45,12.0,12.1,12.08,91.9,2.287.810,27.642.000
"March, 2018","12,25  -0,1 (-0,81%)",13.2,11.5,12.35,12.3,12.4,12.2,12.25,12.29,93.0,406.640,4.998.000
"April, 2018","12  0,15 (1,27%)",12.65,11.05,11.85,11.85,12.0,11.8,12.0,11.87,91.1,391.67,4.648.000
"May, 2018","10,4  0,1 (0,97%)",11.0,95.8,10.3,10.3,10.6,10.25,10.4,10.42,79.2,352.720,3.677.000
"June, 2018","10,55  -0,15 (-1,4%)",11.4,99.6,10.7,10.7,10.8,10.55,10.55,10.62,80.8,175.14,1.860.000
"July, 2018","10,35  -0,05 (-0,48%)",11.1,96.8,10.4,10.4,10.4,10.3,10.35,10.36,80.3,416.460,4.314.000
"August, 2018","10,15  0 (0%)",10.85,94.4,10.15,10.15,10.2,10.1,10.15,10.12,86.4,458.77,4.645.000
"September, 2018","11  -0,3 (-2,65%)",12.05,10.55,11.3,11.2,11.25,11.0,11.0,11.07,94.5,1.015.510,11.237.000
"October, 2018","9,8  0,12 (1,24%)",10.35,90.1,96.8,97.0,99.5,96.8,98.0,98.3,85.1,278.41,2.737.000
"November, 2018","10,4  0,1 (0,97%)",11.0,95.8,10.3,10.3,10.45,10.2,10.4,10.38,91.5,710.980,7.383.000
"December, 2018","10,3  -0,1 (-0,96%)",11.1,96.8,10.4,10.4,10.45,10.3,10.3,10.33,92.2,390.340,4.034.000
"January, 2019","8,9  -0,06 (-0,67%)",95.8,83.4,89.6,89.7,9.0,89.0,89.0,89.4,80.8,340.810,3.047.000
"February, 2019","8,95  -0,05 (-0,56%)",96.3,83.7,9.0,9.0,90.3,89.5,89.5,89.8,81.2,307.730,2.764.000
"March, 2019",9  0 (0%),96.3,83.7,9.0,90.6,90.6,89.9,9.0,90.2,81.7,218.480,1.970.000
"April, 2019","8,75  0,03 (0,34%)",93.3,81.1,87.2,87.2,88.5,87.2,87.5,87.9,79.4,273.4,2.403.000
"May, 2019","8,5  -0,03 (-0,35%)",91.2,79.4,85.3,85.2,85.3,84.5,85.0,85.0,77.2,157.53,1.339.000
"June, 2019","8,5  0,51 (6,38%)",85.4,74.4,79.9,8.0,85.0,79.5,85.0,82.3,77.2,429.530,3.533.000
"July, 2019","8,32  -0,06 (-0,72%)",89.6,78.0,83.8,83.8,83.9,82.7,83.2,83.1,75.5,146.010,1.213.000
"August, 2019","8,19  0,09 (1,11%)",86.6,75.4,81.0,81.1,81.9,81.1,81.9,81.6,74.3,347.720,2.839.000
"September, 2019","7,48  -0,07 (-0,93%)",80.7,70.3,75.5,75.5,75.5,74.4,74.8,74.7,76.0,491.520,3.673.000
"October, 2019","7,36  -0,03 (-0,41%)",79.0,68.8,73.9,73.8,74.8,73.5,73.6,73.8,74.7,205.63,1.517.000
"November, 2019","6,87  0,02 (0,29%)",73.2,63.8,68.5,68.5,68.9,68.5,68.7,68.6,69.8,50.61,347.000
"December, 2019","6,5  -0,13 (-1,96%)",70.9,61.7,66.3,65.6,65.9,64.5,65.0,65.1,66.0,529.11,3.442.000
"January, 2020","5,91  -0,04 (-0,67%)",63.6,55.4,59.5,6.0,6.0,59.1,59.1,59.4,59.1,147.91,878.000
"February, 2020","6,08  -0,04 (-0,65%)",65.4,57.0,61.2,60.7,61.2,60.6,60.8,60.8,60.8,147.7,898.000
"March, 2020","5,31  -0,04 (-0,75%)",57.2,49.8,53.5,54.3,54.6,52.0,53.1,53.6,53.1,284.95,1.527.000
