Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",36  0 (0%),39.6,32.4,36.0,0.0,0.0,0.0,36.0,0.0,251.65,6.849,259.376
"February, 2014","34,8  -1,2 (-3,33%)",39.6,32.4,36.0,34.8,34.8,34.8,34.8,34.8,243.26,500.0,17.4
"March, 2014","35,3  0,5 (1,44%)",38.2,31.4,34.8,35.5,35.5,35.0,35.3,35.2,246.76,4.1,144.38
"April, 2014","35  -0,3 (-0,85%)",38.8,31.8,35.3,35.0,35.0,35.0,35.0,35.0,243.97,300.0,10.5
"May, 2014","34,8  -0,2 (-0,57%)",38.5,31.5,35.0,34.8,34.8,34.8,34.8,0.0,242.57,100.0,3.48
"June, 2014","35,5  -0,1 (-0,28%)",39.1,32.1,35.6,35.5,35.5,35.5,35.5,35.5,263.09000000000003,500.0,17.75
"July, 2014","35,4  -0,1 (-0,28%)",39.0,32.0,35.5,35.8,36.3,35.4,35.4,35.87,262.35,4.7,168.57
"August, 2014","47,2  0,1 (0,21%)",51.8,42.4,47.1,51.8,51.8,42.4,47.2,50.19,40.99,27.929,1.398.412
"September, 2014","37,5  -0,5 (-1,32%)",41.8,34.2,38.0,37.9,37.9,37.5,37.5,37.85,305.08000000000004,900.0,34.03
"October, 2014","35,8  0,3 (0,85%)",39.0,32.0,35.5,33.5,35.8,33.5,35.8,33.5,28.17,1.1,39.15
"November, 2014","36  0,5 (1,41%)",39.0,32.0,35.5,36.0,36.0,36.0,36.0,36.0,251.65,2.2,79.2
"December, 2014","34,9  1,3 (3,87%)",36.9,30.3,33.6,35.3,35.3,34.0,34.9,34.44,226.03000000000003,3.7,127.49
"January, 2015","35,2  0 (0%)",38.7,31.7,35.2,0.0,0.0,0.0,35.2,0.0,226.01,100.0,3.52
"February, 2015","32,7  0 (0%)",35.9,29.5,32.7,0.0,0.0,0.0,32.7,0.0,216.37,1.1,35.97
"March, 2015","38,2  0 (0%)",42.0,34.4,38.2,0.0,0.0,0.0,38.2,0.0,192.58,500.0,17.74
"April, 2015","34  -0,9 (-2,58%)",38.3,31.5,34.9,33.0,34.0,33.0,34.0,33.84,153.01,700.0,23.69
"May, 2015","33,1  0,1 (0,3%)",36.3,29.7,33.0,33.0,33.1,33.0,33.1,33.05,166.82999999999998,1.9,62.8
"June, 2015","28  0,3 (1,08%)",30.4,25.0,27.7,28.0,29.9,27.9,28.0,28.03,153.28,4.8,134.47
"July, 2015","27,9  0 (0%)",30.6,25.2,27.9,27.9,27.9,27.5,27.9,27.72,149.85,14.1,390.83
"August, 2015","28,5  0 (0%)",31.3,25.7,28.5,28.5,28.8,28.5,28.5,28.56,134.25,6.056,172.939
"September, 2015","35  -0,2 (-0,57%)",38.7,31.7,35.2,35.0,35.0,34.5,35.0,34.660000000000004,142.72,5.303,183.825
"October, 2015","36,6  -0,3 (-0,81%)",40.5,33.3,36.9,36.9,37.0,36.6,36.6,36.73,145.45,34.18,1.254.770
"November, 2015","44  -2,1 (-4,56%)",50.7,41.5,46.1,45.8,45.8,43.5,44.0,44.89,169.18,83.674,3.740.208
"December, 2015","52  -0,5 (-0,95%)",57.7,47.3,52.5,52.0,52.8,51.0,52.0,51.89,195.01,69.306,3.596.722
"January, 2016","49,8  0,1 (0,2%)",54.6,44.8,49.7,49.7,49.9,49.6,49.8,49.7,176.26,19.2,954.440
"February, 2016","50,8  -0,2 (-0,39%)",56.1,45.9,51.0,51.0,51.0,50.3,50.8,50.56,177.44,68.6,3.469.599
"March, 2016","44,9  -0,2 (-0,44%)",49.6,40.6,45.1,45.5,45.5,44.6,44.9,44.95,16.23,52.94,2.382.530
"April, 2016","44,5  -1,1 (-2,41%)",50.1,41.1,45.6,45.0,46.0,44.0,44.5,44.74,165.66,10.2,456.140
"May, 2016","42,5  -0,1 (-0,23%)",46.8,38.4,42.6,42.6,42.6,42.4,42.5,42.49,155.76,14.8,628.800
