Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","33,2  -0,7 (-2,06%)",36.2,31.6,33.9,33.5,33.5,33.2,33.2,33.27,21.35,4.98,166.000
"February, 2015","32,9  -0,3 (-0,9%)",35.5,30.9,33.2,0.0,33.1,32.8,32.9,32.83,21.15,32.52,1.068.000
"March, 2015","32,5  -0,4 (-1,22%)",35.5,30.9,32.9,32.5,32.6,32.5,32.5,32.52,20.71,40.9,1.330.000
"April, 2015","32,4  -0,1 (-0,31%)",35.2,30.6,32.5,32.4,32.4,32.3,32.4,32.35,20.39,5.3,171.000
"May, 2015","37,3  -0,2 (-0,53%)",40.1,34.9,37.5,37.3,37.4,36.5,37.3,37.34,23.98,24.62,919.000
"June, 2015","37,3  0 (0%)",39.9,34.7,37.3,36.5,37.3,36.5,37.3,36.78,23.98,4.51,166.000
"July, 2015","33,3  0,9 (2,78%)",34.7,30.3,32.4,33.9,34.3,33.3,33.3,34.19,20.9,5.89,201.000
"August, 2015","46,5  0,1 (0,22%)",49.6,43.2,46.4,47.1,47.1,46.0,46.5,46.25,23.37,63.05,2.916.000
"September, 2015","46,7  0,7 (1,52%)",49.2,42.8,46.0,46.8,46.8,46.0,46.7,46.6,23.16,25.13,1.171.000
"October, 2015","38,4  1,2 (3,23%)",39.8,34.6,37.2,37.9,39.7,37.6,38.4,38.43,24.69,103.51,3.978.000
"November, 2015","33,9  1,3 (3,99%)",34.8,30.4,32.6,32.2,34.0,32.2,33.9,32.94,21.8,71.6,2.359.000
"December, 2015","33,2  -0,9 (-2,64%)",34.1,29.7,34.1,34.8,34.8,33.2,33.2,33.989999999999995,21.59,34.99,1.189.000
"January, 2016","31,5  0,3 (0,96%)",33.3,29.1,31.2,31.0,32.0,31.0,31.5,31.37,20.49,15.04,472.0
"February, 2016","29,9  0 (0%)",31.9,27.9,29.9,29.9,30.9,29.5,29.9,29.97,20.380000000000003,14.16,424.000
"March, 2016","28,8  -0,2 (-0,69%)",31.0,27.0,29.0,28.9,28.9,28.8,28.8,28.8,19.56,16.23,467.000
"April, 2016","26,9  1,5 (5,91%)",27.1,23.7,25.4,24.0,26.9,24.0,26.9,25.27,17.54,12.16,307.000
"May, 2016","23  1,5 (6,98%)",23.0,20.0,21.5,22.0,23.0,20.1,23.0,22.72,14.68,33.19,754.0
"June, 2016","22,6  -0,2 (-0,88%)",24.3,21.3,22.8,22.8,22.8,21.7,22.6,22.15,15.24,7.23,160.0
"July, 2016","19,3  0,1 (0,52%)",20.5,17.9,19.2,19.1,19.5,19.0,19.3,19.25,12.9,84.03,1.531.600
"August, 2016","16,1  -0,5 (-3,01%)",17.7,15.5,16.6,16.7,16.9,16.1,16.1,16.419999999999998,10.76,53.58,880.000
"September, 2016","20,2  1 (5,21%)",20.5,17.9,19.2,19.0,20.5,19.0,20.2,19.74,13.5,369.56,7.296.000
"October, 2016","22,5  0 (0%)",24.05,20.95,22.5,22.2,22.7,21.9,22.5,22.34,15.04,266.63,5.956.000
"November, 2016","22,1  0,6 (2,79%)",23.0,20.0,21.5,21.4,22.5,21.4,22.1,22.07,14.77,125.62,2.761.000
"December, 2016","16,2  0,15 (0,93%)",17.15,14.95,16.05,16.1,16.7,16.1,16.2,16.41,14.080000000000002,121.75,1.998.000
"January, 2017","15,9  0,2 (1,27%)",16.75,14.65,15.7,15.8,16.0,15.7,15.9,15.79,14.35,77.83,1.229.000
"February, 2017","14,8  -0,6 (-3,9%)",16.45,14.35,15.4,15.3,15.4,14.8,14.8,15.04,13.35,155.160,2.334.000
"March, 2017","16,6  0,3 (1,84%)",17.4,15.2,16.3,16.3,16.8,16.25,16.6,16.43,14.98,337.05,5.537.000
"April, 2017","14,3  -0,4 (-2,72%)",15.7,13.7,14.7,14.6,14.85,14.0,14.3,14.37,12.9,311.37,4.474.000
"May, 2017","14,3  0 (0%)",15.3,13.3,14.3,14.3,14.5,14.25,14.3,14.35,13.55,115.23,1.654.000
"June, 2017","14,8  0,15 (1,02%)",15.65,13.65,14.65,14.65,14.8,14.3,14.8,14.48,14.02,176.77,2.559.000
"July, 2017","15,6  0,2 (1,3%)",16.45,14.35,15.4,15.4,15.6,15.35,15.6,15.47,14.78,173.77,2.688.000
"August, 2017","16,75  0,15 (0,9%)",17.75,15.45,16.6,16.6,16.8,16.55,16.75,16.65,15.87,343.71,5.723.000
"September, 2017","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.65,17.2,17.3,17.419999999999998,16.39,399.93,6.966.000
"October, 2017","19  -0,3 (-1,55%)",20.65,17.95,19.3,19.3,19.3,18.7,19.0,18.94,18.0,424.82,8.048.000
"November, 2017","21,6  -0,1 (-0,46%)",23.2,20.2,21.7,21.9,21.9,21.5,21.6,21.7,20.46,427.46,9.274.000
"December, 2017","21,15  0,35 (1,68%)",22.25,19.35,20.8,20.8,21.4,20.6,21.15,21.02,20.04,519.62,10.922.000
"January, 2018","23,3  -0,15 (-0,64%)",25.05,21.85,23.45,23.45,23.5,23.1,23.3,23.27,22.07,427.84,9.949.000
"February, 2018","22,8  -0,1 (-0,44%)",24.5,21.3,22.9,22.8,22.9,22.6,22.8,22.78,21.6,311.13,7.088.000
"March, 2018","24,7  0 (0%)",26.4,23.0,24.7,24.7,25.0,24.15,24.7,24.55,23.4,279.33,6.858.000
"April, 2018","27,2  0 (0%)",29.1,25.3,27.2,27.1,27.4,26.1,27.2,26.85,25.77,318.83,8.562.000
"May, 2018","26,5  0,5 (1,92%)",27.8,24.2,26.0,26.0,26.5,25.7,26.5,26.17,25.87,156.690,4.100.000
"June, 2018",26  0 (0%),27.8,24.2,26.0,26.0,26.2,25.7,26.0,25.910000000000004,25.380000000000003,138.14,3.579.000
"July, 2018","23,5  0,1 (0,43%)",25.0,21.8,23.4,23.4,23.5,23.0,23.5,23.25,22.94,249.6,5.803.000
"August, 2018",26  0 (0%),27.8,24.2,26.0,26.0,26.2,25.5,26.0,25.79,25.380000000000003,862.310,22.237.000
"September, 2018","27,3  -0,25 (-0,91%)",29.45,25.65,27.55,27.5,27.5,27.25,27.3,27.35,26.65,574.170,15.705.000
"October, 2018","24  0,5 (2,13%)",25.1,21.9,23.5,23.6,24.2,23.6,24.0,23.86,23.43,555.45,13.254.000
"November, 2018","23,9  0,05 (0,21%)",25.5,22.2,23.85,23.8,24.1,23.5,23.9,23.76,23.33,539.66,12.825.000
"December, 2018","22,95  0 (0%)",24.55,21.35,22.95,23.05,23.1,22.65,22.95,22.89,22.4,323.72,7.411.000
"January, 2019","23,3  0,6 (2,64%)",24.25,21.15,22.7,22.75,23.4,22.75,23.3,23.130000000000003,22.74,655.360,15.158.000
"February, 2019","23,4  -0,5 (-2,09%)",25.55,22.25,23.9,23.8,23.95,23.4,23.4,23.57,22.84,271.0,6.388.000
"March, 2019","22,75  -0,35 (-1,52%)",24.7,21.5,23.1,23.1,23.1,22.7,22.75,22.8,22.21,228.64,5.214.000
