Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,9  0 (0%)",14.8,13.0,13.9,14.3,14.3,13.9,13.9,13.97,79.4,38.37,536.000
"February, 2014","10,1  0,1 (1%)",10.7,93.0,10.0,10.0,10.1,98.0,10.1,99.9,54.6,12.4,123.822
"March, 2014","11,4  0,1 (0,88%)",12.0,10.6,11.3,11.8,11.8,11.3,11.4,11.36,61.6,39.81,452.109
"April, 2014","9,3  -0,5 (-5,1%)",10.4,92.0,98.0,96.0,96.0,93.0,93.0,93.4,50.3,15.11,141.156
"May, 2014",9  0 (0%),96.0,84.0,9.0,92.0,92.0,88.0,9.0,88.0,51.4,10.02,88.0
"June, 2014","10  0,1 (1,01%)",10.5,93.0,99.0,10.3,10.3,99.0,10.0,10.05,57.1,23.91,240.0
"July, 2014","10,3  -0,1 (-0,96%)",11.1,97.0,10.4,10.3,10.4,10.2,10.3,10.28,58.8,3.31,34.000
"August, 2014","11,1  -0,1 (-0,89%)",11.9,10.5,11.2,11.1,11.2,11.0,11.1,11.09,63.4,92.23,1.023.000
"September, 2014","12,7  -0,3 (-2,31%)",13.9,12.1,13.0,12.9,13.0,12.7,12.7,12.75,72.5,5.19,66.000
"October, 2014","13,2  0,1 (0,76%)",14.0,12.2,13.1,13.0,13.2,13.0,13.2,13.06,75.4,11.62,152.000
"November, 2014","13,9  -0,4 (-2,8%)",15.3,13.3,14.3,14.0,14.3,13.9,13.9,13.98,79.4,49.25,688.000
"December, 2014","13,7  0 (0%)",14.6,12.8,13.7,13.7,13.7,13.6,13.7,13.66,78.2,2.5,34.0
"January, 2015","14,9  0 (0%)",15.9,13.9,14.9,14.9,15.3,14.8,14.9,14.85,85.1,79.37,1.179.000
"February, 2015","14,7  0 (0%)",15.7,13.7,14.7,14.5,14.7,14.5,14.7,14.57,84.0,7.67,112.000
"March, 2015","16,5  0,4 (2,48%)",17.2,15.0,16.1,16.3,16.5,16.1,16.5,16.29,94.2,30.08,490.000
"April, 2015","17,7  0,1 (0,57%)",18.8,16.4,17.6,17.6,17.9,17.4,17.7,17.580000000000002,10.11,40.55,713.000
"May, 2015","17,4  -0,1 (-0,57%)",18.7,16.3,17.5,17.5,17.5,17.3,17.4,17.39,10.41,33.21,577.000
"June, 2015","17,1  -0,2 (-1,16%)",18.5,16.1,17.3,17.2,17.3,17.1,17.1,17.16,10.23,11.02,189.000
"July, 2015","17,8  0 (0%)",19.0,16.6,17.8,17.7,17.9,17.7,17.8,17.81,10.65,36.07,642.000
"August, 2015","17,6  -0,1 (-0,56%)",18.9,16.5,17.7,17.9,17.9,17.4,17.6,17.490000000000002,10.84,64.87,1.134.000
"September, 2015","17,1  0,1 (0,59%)",18.1,15.9,17.0,17.1,17.1,16.9,17.1,17.009999999999998,11.03,13.43,228.000
"October, 2015","18  -0,2 (-1,1%)",19.4,17.0,18.2,18.1,18.3,18.0,18.0,18.15,11.17,27.74,503.000
"November, 2015","18,9  -0,1 (-0,53%)",20.3,17.7,19.0,19.0,19.0,18.7,18.9,18.8,11.72,67.94,1.277.000
"December, 2015","20,6  -0,3 (-1,44%)",22.1,19.3,20.9,20.8,21.2,20.4,20.6,20.59,12.47,44.72,921.000
"January, 2016","21,1  0 (0%)",22.5,19.7,21.1,21.5,21.5,20.9,21.1,20.96,13.8,31.94,669.0
"February, 2016","23,3  0,5 (2,19%)",24.3,21.3,22.8,23.3,23.5,22.8,23.3,23.06,15.24,64.19,1.480.000
