Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,1  0,2 (0,87%)",24.5,21.3,22.9,23.0,23.3,22.6,23.1,23.08,89.6,34.69,801.000
"February, 2014","13,6  0,6 (4,62%)",13.9,12.1,13.0,12.5,13.6,12.5,13.6,12.88,53.1,53.81,693.112
"March, 2014","14,7  -0,2 (-1,34%)",15.9,13.9,14.9,14.8,14.9,14.7,14.7,14.84,57.3,39.54,586.847
"April, 2014","14,7  0,1 (0,68%)",15.6,13.6,14.6,14.8,14.8,14.6,14.7,14.6,57.3,5.13,74.912
"May, 2014","13,4  -0,4 (-2,9%)",14.7,12.9,13.8,13.7,13.7,13.4,13.4,13.580000000000002,48.9,13.0,177.0
"June, 2014","14,7  0,2 (1,38%)",15.5,13.5,14.5,14.4,15.0,14.4,14.7,14.8,53.7,222.59,3.294.000
"July, 2014","16,3  0,2 (1,24%)",17.2,15.0,16.1,16.0,16.5,16.0,16.3,16.11,59.5,34.13,550.000
"August, 2014","18,1  0,1 (0,56%)",19.2,16.8,18.0,18.0,18.3,18.0,18.1,18.05,70.2,106.58,1.924.000
"September, 2014","21,2  0,5 (2,42%)",22.1,19.3,20.7,20.7,22.0,20.7,21.2,21.24,82.2,202.1,4.292.000
"October, 2014","20,8  0,4 (1,96%)",21.8,19.0,20.4,20.4,20.8,20.2,20.8,20.49,80.7,94.570,1.938.000
"November, 2014","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,22.7,23.1,22.7,22.9,22.91,88.8,71.7,1.643.000
"December, 2014","20,6  0,5 (2,49%)",21.5,18.7,20.1,21.0,21.3,20.6,20.6,20.92,79.9,20.61,431.000
"January, 2015","20,5  0 (0%)",21.9,19.1,20.5,20.5,20.5,20.1,20.5,20.32,79.5,93.25,1.895.000
"February, 2015","20,9  0,1 (0,48%)",22.2,19.4,20.8,20.7,20.9,20.7,20.9,20.81,81.1,12.12,252.000
"March, 2015","20,7  0,1 (0,49%)",22.0,19.2,20.6,20.8,20.8,20.6,20.7,20.61,80.3,12.0,247.000
"April, 2015","21,6  -0,1 (-0,46%)",23.2,20.2,21.7,21.6,21.6,20.9,21.6,21.36,83.8,83.78,1.789.000
"May, 2015","20,5  -0,3 (-1,44%)",22.2,19.4,20.8,20.6,20.7,20.4,20.5,20.53,83.5,71.85,1.475.000
"June, 2015","24,5  0,6 (2,51%)",25.5,22.3,23.9,23.7,24.8,23.7,24.5,24.39,99.8,196.69,4.797.000
"July, 2015","26  0,1 (0,39%)",27.7,24.1,25.9,25.9,26.2,25.9,26.0,26.07,10.59,53.0,1.382.000
"August, 2015","23,5  0 (0%)",25.1,21.9,23.5,23.4,23.5,23.3,23.5,23.37,11.16,21.02,491.000
"September, 2015",25  0 (0%),26.7,23.3,25.0,25.1,25.1,24.9,25.0,24.96,11.82,5.23,131.000
"October, 2015","26,1  0,5 (1,95%)",27.3,23.9,25.6,25.7,26.1,25.7,26.1,25.99,13.04,13.77,358.000
"November, 2015","28,5  0,1 (0,35%)",30.3,26.5,28.4,28.1,28.6,28.1,28.5,28.1,14.23,70.07,1.889.000
"December, 2015","28,1  0,9 (3,31%)",29.6,25.8,27.2,27.2,28.1,27.2,28.1,27.910000000000004,13.1,304.63,8.431.000
"January, 2016","29,8  0 (0%)",31.8,27.8,29.8,29.8,29.9,29.7,29.8,29.8,14.23,41.55,1.238.000
"February, 2016","29,8  0 (0%)",31.8,27.8,29.8,29.8,29.9,29.7,29.8,29.79,14.23,101.48,3.023.000
"March, 2016","35,2  -0,5 (-1,4%)",38.1,33.3,35.7,36.3,36.3,35.2,35.2,35.72,16.55,121.12,4.326.000
"April, 2016","37,1  0 (0%)",39.6,34.6,37.1,37.0,37.3,36.9,37.1,37.04,18.07,118.85,4.403.000
"May, 2016","34,3  0,3 (0,88%)",36.3,31.7,34.0,34.0,34.8,33.9,34.3,34.25,16.47,25.71,881.000
"June, 2016","39,5  0 (0%)",42.2,36.8,39.5,39.5,39.6,39.0,39.5,39.44,18.92,85.09,3.356.000
"July, 2016","38,5  0,1 (0,26%)",41.0,35.8,38.4,38.2,38.5,38.0,38.5,38.14,18.44,82.83,3.159.000
"August, 2016","34,6  0 (0%)",37.0,32.2,34.6,34.4,34.6,34.0,34.6,34.4,18.7,95.4,3.282.000
"September, 2016","35,75  0,45 (1,27%)",37.75,32.85,35.3,35.3,35.8,35.15,35.75,35.58,19.32,44.45,1.582.000
"October, 2016","39,3  -0,2 (-0,51%)",42.25,36.75,39.5,39.2,39.45,38.9,39.3,39.04,21.24,28.67,1.119.000
"November, 2016","37,5  0,3 (0,81%)",39.8,34.6,37.2,37.8,37.9,37.2,37.5,37.59,20.27,30.5,1.146.000
"December, 2016","37,5  0,1 (0,27%)",40.0,34.8,37.4,37.0,37.5,37.0,37.5,37.02,20.27,73.26,2.712.000
"January, 2017","37  1,05 (2,92%)",38.45,33.45,35.95,35.4,38.45,35.4,37.0,35.910000000000004,20.0,23.56,846.000
"February, 2017","35,6  0 (0%)",38.05,33.15,35.6,35.3,35.6,35.3,35.6,35.4,19.24,28.15,996.000
"March, 2017","34,2  0 (0%)",36.55,31.85,34.2,34.0,34.2,33.5,34.2,33.760000000000005,18.48,59.0,1.992.000
"April, 2017","33  0,05 (0,15%)",35.25,30.65,32.95,33.0,33.0,32.0,33.0,32.0,17.830000000000002,21.28,681.000
"May, 2017","32,1  0 (0%)",34.3,29.9,32.1,32.0,32.5,31.9,32.1,32.02,17.35,72.95,2.336.000
"June, 2017","32,5  0 (0%)",34.75,30.25,32.5,33.3,33.3,32.0,32.5,32.25,17.56,39.54,1.275.000
"July, 2017","34,5  1,9 (5,83%)",34.85,30.35,32.6,33.2,34.85,32.5,34.5,32.980000000000004,18.64,64.71,2.134.000
"August, 2017","33  1 (3,12%)",34.2,29.8,32.0,32.9,33.0,31.95,33.0,32.63,17.830000000000002,41.53,1.355.000
"September, 2017","30,8  -0,1 (-0,32%)",33.05,28.75,30.9,31.8,31.8,30.6,30.8,30.75,19.51,46.5,1.430.000
"October, 2017","34,9  0,1 (0,29%)",37.2,32.4,34.8,34.9,35.0,34.8,34.9,34.94,22.11,52.77,1.844.000
