Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","93,5  -0,5 (-0,53%)",100.0,87.5,94.0,94.0,94.0,93.5,93.5,93.53,48.84,5.72,535.000
"February, 2014","129  1 (0,78%)",13.6,12.0,12.8,12.9,12.9,12.6,12.9,126.89,42.89,11.74,1.489.730
"March, 2014","139  -1 (-0,71%)",14.9,13.1,14.0,14.0,14.1,13.8,13.9,139.14,46.21,18.22,2.535.080
"April, 2014",141  0 (0%),15.0,13.2,14.1,14.1,14.1,14.0,14.1,140.25,46.88,830.0,116.410
"May, 2014","102  -30 (-22,73%)",10.5,92.5,13.2,10.5,10.5,100.0,10.2,101.67,45.33,50.82,5.167.000
"June, 2014","98  -0,5 (-0,51%)",10.5,92.0,98.5,98.5,98.5,97.0,98.0,97.69,44.69,12.24,1.196.000
"July, 2014","94,5  -0,5 (-0,53%)",10.1,88.5,95.0,95.0,95.0,94.5,94.5,94.55,45.49,123.212,12.419.000
"August, 2014","94  0,5 (0,53%)",100.0,87.0,93.5,93.5,94.0,93.0,94.0,93.38,46.45,102.96,9.813.000
"September, 2014","91,5  -0,5 (-0,54%)",98.0,86.0,92.0,91.0,91.5,91.0,91.5,91.02,45.58,42.517,4.056.000
"October, 2014","94  0,5 (0,53%)",100.0,87.0,93.5,93.5,94.0,93.5,94.0,93.79,47.2,12.04,1.129.000
"November, 2014",94  0 (0%),100.0,87.5,94.0,93.0,94.0,93.0,94.0,93.76,48.97,9.64,904.000
"December, 2014","96  3 (3,23%)",99.5,86.5,93.0,94.0,96.0,92.0,96.0,94.38,50.14,17.56,1.657.000
"January, 2015",93  0 (0%),99.5,86.5,93.0,93.5,93.5,92.0,93.0,93.11,49.49,21.47,1.999.000
"February, 2015",91  0 (0%),97.0,85.0,91.0,91.5,91.5,91.0,91.0,91.27,48.42,660.0,60.000
"March, 2015","89,5  -0,5 (-0,56%)",96.0,84.0,90.0,89.0,89.5,88.5,89.5,88.91,47.62,53.14,5.008.000
"April, 2015","84  -3 (-3,45%)",93.0,81.0,87.0,86.5,86.5,84.0,84.0,84.96000000000001,44.7,7.58,644.000
"May, 2015","73  -1 (-1,35%)",79.0,69.0,74.0,74.5,74.5,73.0,73.0,73.22999999999999,40.34,14.93,1.093.000
"June, 2015","73,5  -1,5 (-2%)",80.0,70.0,75.0,74.0,75.0,73.5,73.5,73.92999999999999,40.61,153.91,11.997.000
"July, 2015","74  -2 (-2,63%)",81.0,71.0,76.0,75.0,76.0,74.0,74.0,74.59,40.89,22.79,1.700.000
"August, 2015","70,5  0 (0%)",75.0,66.0,70.5,72.0,72.0,70.0,70.5,70.92999999999999,39.31,10.28,729.000
"September, 2015","66,5  1,5 (2,31%)",69.5,60.5,65.0,65.5,66.5,65.5,66.5,65.9,37.08,34.21,2.254.000
"October, 2015","71  -0,5 (-0,7%)",76.5,66.5,71.5,71.0,71.5,70.5,71.0,70.97999999999999,39.88,26.14,1.855.000
"November, 2015","66  -0,5 (-0,75%)",71.0,62.0,66.5,66.5,67.0,66.0,66.0,66.49,37.07,12.94,860.000
"December, 2015","66,5  0 (0%)",70.0,61.0,66.5,66.0,66.5,66.0,66.5,66.2,36.77,15.17,1.004.000
"January, 2016","66  3 (4,76%)",67.0,59.0,63.0,64.0,66.0,64.0,66.0,64.37,37.39,17.55,1.130.000
"February, 2016","89,5  2,5 (2,87%)",93.0,81.0,87.0,89.5,90.5,87.0,89.5,89.33,50.7,136.09,12.322.000
"March, 2016","84  -3,5 (-4%)",93.5,81.5,87.5,86.5,87.0,82.0,84.0,84.78,47.85,256.72,22.574.500
"April, 2016","84,5  -1 (-1,17%)",91.0,80.0,85.5,85.5,85.5,84.0,84.5,84.62,49.82,55.41,4.845.320
"May, 2016","76  -0,5 (-0,65%)",81.5,71.5,76.5,76.5,77.0,76.0,76.0,76.49,45.28,15.2,1.163.000
"June, 2016","103  4,5 (4,57%)",10.5,92.0,98.5,10.3,10.4,99.5,10.3,101.83,61.55,166.04,16.908.000
"July, 2016","92,5  -0,5 (-0,54%)",99.5,86.5,93.0,93.0,93.0,90.5,92.5,91.59,57.96,37.2,3.407.000
"August, 2016","96,5  1 (1,05%)",10.2,89.0,95.5,96.5,96.5,94.0,96.5,95.53,61.1,79.03,7.550.000
"September, 2016","112  1,9 (1,73%)",11.78,10.24,11.01,11.05,11.25,10.9,11.2,111.67,70.91,101.51,11.336.000
"October, 2016","98,5  -1,4 (-1,4%)",10.68,93.0,99.9,99.9,10.05,98.5,98.5,99.81,62.36,39.98,3.990.000
"November, 2016","98,2  0 (0%)",10.5,91.4,98.2,98.2,98.5,96.5,98.2,97.3,62.17,39.41,3.835.000
"December, 2016","98  0,8 (0,82%)",10.4,90.4,97.2,98.9,98.9,98.0,98.0,98.36,62.05,109.14,10.570.952
"January, 2017","110  2,5 (2,33%)",11.5,100.0,10.75,10.8,11.09,10.7,11.0,109.45,68.39,150.28,16.448.000
"February, 2017","114  -1 (-0,87%)",12.3,10.7,11.5,11.6,11.65,11.4,11.4,115.12,70.88,53.97,6.213.000
"March, 2017","138,4  1,3 (0,95%)",14.66,12.76,13.71,13.88,13.95,13.72,13.84,138.52,86.05,291.17,40.979.000
"April, 2017",145  0 (0%),15.51,13.49,14.5,14.55,14.77,14.36,14.5,145.93,90.16,113.42,16.551.000
"May, 2017","108  -3,7 (-3,31%)",11.95,10.39,11.17,11.2,11.3,10.77,10.8,109.61,103.19,398.05,43.983.000
