Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6  0,1 (1,69%)",63.0,55.0,59.0,6.0,62.0,6.0,6.0,60.8,38.1,113.32,689.000
"February, 2014","10,1  0 (0%)",10.8,94.0,10.1,10.1,10.1,98.0,10.1,99.7,66.0,771.460,7.689.050
"March, 2014","9,4  -0,2 (-2,08%)",10.2,9.0,96.0,96.0,97.0,94.0,94.0,95.2,61.4,709.120,6.749.456
"April, 2014","7,5  0 (0%)",8.0,7.0,75.0,75.0,77.0,74.0,75.0,75.1,49.0,404.56,3.040.069
"May, 2014","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,64.0,66.0,63.0,63.0,63.3,4.0,760.09,4.812.000
"June, 2014","7  -0,1 (-1,41%)",75.0,67.0,71.0,71.0,72.0,7.0,7.0,70.6,44.5,675.130,4.769.000
"July, 2014","6,9  0,1 (1,47%)",72.0,64.0,68.0,68.0,69.0,67.0,69.0,67.8,43.8,236.110,1.602.000
"August, 2014","7,6  0,4 (5,56%)",77.0,67.0,72.0,73.0,77.0,73.0,76.0,75.4,48.3,954.760,7.198.000
"September, 2014","7,1  -0,1 (-1,39%)",77.0,67.0,72.0,72.0,73.0,71.0,71.0,71.8,45.1,437.09,3.137.000
"October, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,64.0,65.0,64.0,65.0,64.5,41.3,232.89,1.501.000
"November, 2014","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,6.0,61.0,59.0,59.0,59.9,37.5,321.22,1.925.000
"December, 2014","5,3  0,2 (3,92%)",54.0,48.0,51.0,51.0,54.0,51.0,53.0,52.6,33.7,184.67,971.000
"January, 2015","4,9  -0,2 (-3,92%)",54.0,48.0,51.0,5.0,51.0,49.0,49.0,49.3,31.1,85.5,422.0
"February, 2015","4,6  0 (0%)",49.0,43.0,46.0,46.0,46.0,45.0,46.0,45.3,29.2,43.08,195.000
"March, 2015","4,1  0 (0%)",43.0,39.0,41.0,41.0,42.0,39.0,41.0,40.5,26.1,51.8,210.000
"April, 2015","3,7  -0,1 (-2,63%)",4.0,36.0,38.0,37.0,37.0,36.0,37.0,36.2,23.5,113.39,411.0
"May, 2015","3,6  0 (0%)",38.0,34.0,36.0,36.0,36.0,35.0,36.0,35.2,22.9,118.03,416.000
"June, 2015","3,1  -0,2 (-6,06%)",35.0,31.0,33.0,32.0,32.0,31.0,31.0,31.1,19.7,221.08,688.0
"July, 2015","3,2  0,1 (3,23%)",33.0,29.0,31.0,31.0,32.0,3.0,32.0,30.5,20.3,187.77,573.000
"August, 2015","2,8  -0,1 (-3,45%)",31.0,27.0,29.0,29.0,29.0,28.0,28.0,28.2,17.9,50.99,144.0
"September, 2015","2,6  -0,1 (-3,7%)",28.0,26.0,27.0,27.0,27.0,26.0,26.0,26.4,16.0,73.84,195.000
"October, 2015","4  0,2 (5,26%)",4.0,36.0,38.0,4.0,4.0,39.0,4.0,39.8,26.6,798.330,3.178.000
"November, 2015","3,7  0,1 (2,78%)",38.0,34.0,36.0,36.0,38.0,35.0,37.0,36.7,24.6,1.146.120,4.211.000
"December, 2015","5,8  -0,3 (-4,92%)",66.0,58.0,61.0,58.0,59.0,57.0,58.0,57.5,43.6,2.573.250,14.793.000
"January, 2016",7  0 (0%),74.0,66.0,7.0,69.0,71.0,67.0,7.0,69.1,56.2,827.060,5.718.000
"February, 2016","8,1  0,3 (3,85%)",83.0,73.0,78.0,81.0,83.0,77.0,81.0,79.5,65.1,1.415.140,11.257.000
"March, 2016","9,1  -0,1 (-1,09%)",98.0,86.0,92.0,9.0,92.0,88.0,91.0,90.2,81.0,932.900,8.416.000
"April, 2016","9,8  0,4 (4,26%)",10.0,88.0,94.0,94.0,99.0,93.0,98.0,95.6,88.4,1.744.140,16.626.000
"May, 2016","13,1  0,7 (5,65%)",13.2,11.6,12.4,12.3,13.2,12.2,13.1,12.72,11.81,1.518.400,19.317.000
"June, 2016","12,6  -0,1 (-0,79%)",13.5,11.9,12.7,12.6,12.8,12.4,12.6,12.59,11.64,492.420,6.216.000
"July, 2016","12,7  0,1 (0,79%)",13.4,11.8,12.6,12.6,12.7,12.5,12.7,12.57,11.64,860.16,10.772.986
"August, 2016","14,6  -0,1 (-0,68%)",15.7,13.7,14.7,14.6,14.8,14.4,14.6,14.48,13.38,1.113.460,15.934.000
"September, 2016","15,9  0,2 (1,27%)",16.75,14.65,15.7,15.55,15.9,15.5,15.9,15.66,14.57,545.780,8.502.250
"October, 2016","14,15  -0,05 (-0,35%)",15.15,13.25,14.2,14.2,14.3,13.95,14.15,14.09,13.9,531.560,7.490.000
"November, 2016","10,75  -0,8 (-6,93%)",12.35,10.75,11.55,10.75,10.75,10.75,10.75,10.75,10.56,202.640,2.178.000
"December, 2016","7,76  -0,58 (-6,95%)",89.2,77.6,83.4,77.6,77.6,77.6,77.6,77.6,77.4,169.940,1.318.960
"January, 2017","4,56  0,01 (0,22%)",48.6,42.4,45.5,45.9,46.2,45.5,45.6,45.9,42.9,842.110,3.861.000
"February, 2017","5,64  0,13 (2,36%)",58.9,51.3,55.1,54.4,58.0,51.3,56.4,54.4,53.1,2.051.410,11.152.000
"March, 2017","5,05  0,02 (0,4%)",53.8,46.8,50.3,50.3,50.6,5.0,50.5,50.2,47.5,513.870,2.582.000
"April, 2017","6,89  0,04 (0,58%)",73.2,63.8,68.5,68.7,68.9,68.3,68.9,68.6,64.9,343.810,2.358.000
"May, 2017","8,88  0,23 (2,66%)",92.5,80.5,86.5,86.3,92.5,86.0,88.8,88.6,84.3,836.600,7.411.000
"June, 2017","7,13  -0,29 (-3,91%)",79.3,69.1,74.2,74.2,75.8,71.0,71.3,73.1,68.4,2.186.610,15.978.000
"July, 2017","5,23  -0,19 (-3,51%)",57.9,50.5,54.2,54.3,54.8,51.6,52.3,52.9,50.2,529.970,2.801.000
"August, 2017","4,71  0,01 (0,21%)",50.2,43.8,47.0,47.7,47.7,46.8,47.1,47.1,45.2,108.31,510.000
"September, 2017","5,08  0,08 (1,6%)",53.5,46.5,5.0,5.0,50.9,5.0,50.8,50.4,48.7,127.67,643.000
"October, 2017","4,03  -0,27 (-6,28%)",46.0,4.0,43.0,42.0,43.0,4.0,40.3,41.2,38.7,165.86,684.000
"November, 2017",4  0 (0%),42.8,37.2,4.0,39.8,4.0,39.3,4.0,39.6,38.4,60.39,239.000
"December, 2017","3,75  0,04 (1,08%)",39.6,34.6,37.1,36.9,37.7,36.9,37.5,37.5,36.0,92.6,347.0
"January, 2018","3,2  -0,1 (-3,03%)",35.3,30.7,33.0,33.0,33.0,32.0,32.0,32.4,30.7,78.6,255.000
"February, 2018","2,95  -0,01 (-0,34%)",31.6,27.6,29.6,29.7,29.7,29.0,29.5,29.1,28.3,48.41,141.0
"March, 2018","3,04  0,06 (2,01%)",31.8,27.8,29.8,3.0,30.4,29.0,30.4,29.7,29.2,30.69,91.0
"April, 2018","2,72  -0,01 (-0,37%)",29.2,25.4,27.3,27.3,27.5,26.6,27.2,26.8,26.1,32.13,86.0
"May, 2018","2,72  0,17 (6,67%)",27.2,23.8,25.5,25.4,27.2,25.4,27.2,26.7,26.1,49.07,131.0
"June, 2018","2,58  0,02 (0,78%)",27.3,23.9,25.6,25.9,25.9,25.8,25.8,25.7,24.8,18.69,48.0
"July, 2018","2,45  0,02 (0,82%)",26.0,22.6,24.3,23.3,25.0,23.3,24.5,24.3,23.5,58.87,143.0
"August, 2018","3,4  0,16 (4,94%)",34.6,30.2,32.4,32.4,34.0,32.0,34.0,33.5,32.6,125.53,420.000
"September, 2018",4  0 (0%),42.8,37.2,4.0,40.4,40.4,4.0,4.0,4.0,38.4,93.200,373.000
"October, 2018","4,8  0 (0%)",51.3,44.7,48.0,47.9,5.0,45.0,48.0,47.8,46.1,56.05,268.000
"November, 2018","5,76  -0,16 (-2,7%)",63.3,55.1,59.2,58.1,59.2,57.0,57.6,58.0,55.3,133.13,772.000
"December, 2018","5,2  -0,18 (-3,35%)",57.5,50.1,53.8,53.7,53.8,52.0,52.0,53.4,49.9,64.93,347.0
"January, 2019","5,01  0,03 (0,6%)",53.2,46.4,49.8,48.0,51.2,48.0,50.1,49.8,48.1,347.76,1.732.000
"February, 2019","4,63  -0,31 (-6,28%)",52.8,46.0,49.4,46.5,46.5,46.3,46.3,46.4,44.4,22.0,102.0
"March, 2019","5,1  0,1 (2%)",53.5,46.5,5.0,5.0,51.0,49.0,51.0,49.9,48.9,64.9,324.0
"April, 2019","4,98  -0,01 (-0,2%)",53.3,46.5,49.9,49.8,49.8,47.2,49.8,48.2,47.8,830.0,4.0
"May, 2019","5,07  0,17 (3,47%)",52.4,45.6,49.0,50.9,50.9,47.4,50.7,47.7,48.6,6.5,31.0
"June, 2019","4,7  -0,04 (-0,84%)",50.7,44.1,47.4,47.0,47.1,45.3,47.0,46.4,45.1,6.470,30.000
"July, 2019","4,9  0,28 (6,06%)",49.4,43.0,46.2,49.0,49.0,49.0,49.0,49.0,47.0,20.0,98.0
"August, 2019","4,5  0,1 (2,27%)",47.0,41.0,44.0,45.0,45.0,43.0,45.0,44.5,43.2,3.37,15.0
"September, 2019","4,2  0,06 (1,45%)",44.2,38.6,41.4,38.8,42.0,38.8,42.0,41.3,40.3,6.54,27.0
"October, 2019","3,9  0,08 (2,09%)",40.8,35.6,38.2,39.8,39.8,38.0,39.0,38.2,37.4,17.03,65.0
"November, 2019","3,69  0 (0%)",39.4,34.4,36.9,0.0,0.0,0.0,36.9,0.0,35.4,1.27,4.0
"December, 2019","3,79  0,1 (2,71%)",39.4,34.4,36.9,38.0,38.4,37.9,37.9,38.4,36.4,25.79,99.0
"January, 2020","4,2  0,2 (5%)",42.8,37.2,4.0,42.0,42.0,42.0,42.0,42.0,42.0,20.0,84.0
"February, 2020","3,74  -0,01 (-0,27%)",40.1,34.9,37.5,34.9,37.4,34.9,37.4,35.0,37.4,10.85,38.0
"March, 2020","4,29  0 (0%)",45.9,39.9,42.9,0.0,0.0,0.0,42.9,0.0,42.9,200.0,1.0
"April, 2020","6,09  0,39 (6,84%)",60.9,53.1,57.0,6.0,60.9,57.0,60.9,59.3,60.9,528.7,3.082.000
"May, 2020","7,75  0,5 (6,9%)",77.5,67.5,72.5,74.0,77.5,67.6,77.5,69.4,77.5,710.4,4.933.000
"June, 2020","8,7  0 (0%)",93.0,81.0,87.0,84.1,88.0,83.0,87.0,83.7,0.0,35.97,301.0
"July, 2020","7,99  0,19 (2,44%)",83.4,72.6,78.0,79.9,79.9,79.9,79.9,79.9,0.0,10.0,80.0
"August, 2020","7,3  -0,29 (-3,82%)",81.2,70.6,75.9,71.0,75.0,71.0,73.0,71.6,0.0,10.750,77.000
"September, 2020","7,75  -0,07 (-0,9%)",83.6,72.8,78.2,78.3,78.4,77.5,77.5,78.0,0.0,144.26,1.125.000
"October, 2020","8,55  -0,11 (-1,27%)",92.6,80.6,86.6,86.6,87.2,85.5,85.5,86.6,0.0,566.1,4.904.000
"November, 2020","9,29  0,49 (5,57%)",94.1,81.9,88.0,9.0,93.0,89.7,92.9,91.0,0.0,416.620,3.791.000
"December, 2020","9,46  -0,13 (-1,36%)",10.25,89.2,95.9,96.2,96.2,94.5,94.6,94.9,0.0,233.420,2.215.000
"January, 2021","9,65  0,15 (1,58%)",10.15,88.4,95.0,95.0,96.6,95.0,96.5,96.1,0.0,326.7,3.138.000
"February, 2021","10  0,02 (0,2%)",10.65,92.9,99.8,99.5,10.0,99.5,10.0,99.9,0.0,149.800,1.496.000
"March, 2021","10,2  -0,2 (-1,92%)",11.1,96.8,10.4,10.4,10.45,10.05,10.2,10.17,0.0,1.011.000,10.234.000
"April, 2021","10,6  0,15 (1,44%)",11.15,97.2,10.45,10.45,10.8,10.45,10.6,10.6,0.0,1.010.500,10.711.000
"May, 2021","10,05  0,08 (0,8%)",10.65,92.8,99.7,99.7,10.1,99.7,10.05,10.03,0.0,189.200,1.895.000
"June, 2021","10,4  0,1 (0,97%)",11.0,95.8,10.3,10.3,10.45,10.3,10.4,10.37,0.0,960.100,10.040.000
"July, 2021","11,8  -0,05 (-0,42%)",12.65,11.05,11.85,11.85,12.0,11.8,11.8,11.88,0.0,256.000,3.042.000
"August, 2021","11,4  -0,1 (-0,87%)",12.3,10.7,11.5,11.5,11.5,11.1,11.4,11.39,0.0,782.400,8.917.000
"September, 2021","13,05  0,3 (2,35%)",13.6,11.9,12.75,12.8,13.1,12.8,13.05,12.95,0.0,1.470.000,17.863.000
"October, 2021","13,95  -0,15 (-1,06%)",15.05,13.15,14.1,14.1,14.2,13.75,13.95,13.96,0.0,2.767.820,37.680.533
"November, 2021","12,75  0 (0%)",13.6,11.9,12.75,12.7,13.0,12.65,12.75,12.84,0.0,993.200,12.047.000
"December, 2021","12  0,3 (2,56%)",12.5,10.9,11.7,11.8,12.0,11.3,12.0,11.64,0.0,338.700,3.942.000
