Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14,3  -0,4 (-2,72%)",15.7,13.7,14.7,14.8,14.9,14.3,14.3,14.56,11.17,565.360,8.229.000
"February, 2014","16,8  0,1 (0,6%)",17.8,15.6,16.7,16.8,16.9,16.3,16.8,16.54,10.52,867.950,14.351.765
"March, 2014","18,1  -0,9 (-4,74%)",20.3,17.7,19.0,19.0,19.0,18.1,18.1,18.5,11.33,437.260,8.091.379
"April, 2014","16,7  0,3 (1,83%)",17.5,15.3,16.4,16.4,16.7,16.3,16.7,16.41,10.46,167.83,2.753.427
"May, 2014","14,5  -0,3 (-2,03%)",15.8,13.8,14.8,14.8,15.1,14.5,14.5,14.82,90.8,244.4,3.621.000
"June, 2014","15,8  -0,1 (-0,63%)",17.0,14.8,15.9,15.9,16.1,15.8,15.8,15.88,98.9,16.92,269.000
"July, 2014","15,3  0,4 (2,68%)",15.9,13.9,14.9,15.3,15.6,15.0,15.3,15.43,95.8,126.95,1.959.000
"August, 2014","13,4  0,3 (2,29%)",14.0,12.2,13.1,13.1,13.6,13.0,13.4,13.19,10.46,374.78,4.942.000
"September, 2014","15  0,5 (3,45%)",15.5,13.5,14.5,14.4,15.2,14.3,15.0,14.71,11.71,1.894.450,27.863.000
"October, 2014","14,4  0,6 (4,35%)",14.7,12.9,13.8,13.9,14.4,13.8,14.4,14.18,11.24,1.298.780,18.417.000
"November, 2014","14,7  0 (0%)",15.7,13.7,14.7,14.7,15.2,14.7,14.7,14.84,11.48,1.143.590,16.966.000
"December, 2014","13,1  0,8 (6,5%)",13.1,11.5,12.3,12.4,13.1,12.4,13.1,12.86,10.23,1.677.520,21.069.000
"January, 2015","12,9  -0,5 (-3,73%)",14.3,12.5,13.4,13.4,13.4,12.7,12.9,13.09,10.07,384.84,5.037.000
"February, 2015","13,2  0 (0%)",14.1,12.3,13.2,13.2,13.3,13.1,13.2,13.169999999999998,10.31,150.09,1.977.000
"March, 2015","12  0,5 (4,35%)",12.3,10.7,11.5,11.5,12.0,11.5,12.0,11.73,93.7,611.710,7.176.000
"April, 2015","12,2  -0,1 (-0,81%)",13.1,11.5,12.3,12.3,12.4,12.1,12.2,12.2,95.3,237.12,2.893.000
"May, 2015","11,5  0,2 (1,77%)",12.0,10.6,11.3,11.3,11.6,11.3,11.5,11.46,89.8,1.190.570,13.648.000
"June, 2015","12  -0,3 (-2,44%)",13.1,11.5,12.3,12.1,12.4,12.0,12.0,12.1,93.7,1.624.500,19.656.000
"July, 2015","12  -0,2 (-1,64%)",13.0,11.4,12.2,12.2,12.3,12.0,12.0,12.12,93.7,467.160,5.665.000
"August, 2015","10,5  -0,1 (-0,94%)",11.3,99.0,10.6,10.6,10.7,10.4,10.5,10.51,83.0,428.030,4.500.000
"September, 2015","12,1  0,4 (3,42%)",12.5,10.9,11.7,11.8,12.3,11.8,12.1,12.06,97.3,1.148.470,13.854.000
"October, 2015","12  0,1 (0,84%)",12.7,11.1,11.9,12.0,12.1,11.9,12.0,11.94,95.7,538.730,6.430.000
"November, 2015","10,1  -0,2 (-1,94%)",11.0,96.0,10.3,10.3,10.3,10.0,10.1,10.08,87.3,418.83,4.223.000
"December, 2015","9,1  0 (0%)",97.0,85.0,91.0,91.0,91.0,9.0,91.0,90.9,73.7,207.98,1.890.000
"January, 2016","8,1  0 (0%)",86.0,76.0,81.0,81.0,82.0,8.0,81.0,81.3,67.5,276.880,2.251.000
"February, 2016","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,78.0,8.0,77.0,78.0,78.4,65.0,207.5,1.628.000
"March, 2016","7,2  -0,2 (-2,7%)",79.0,69.0,74.0,74.0,75.0,72.0,72.0,73.0,57.7,426.62,3.114.000
"April, 2016","8,6  0 (0%)",92.0,8.0,86.0,86.0,89.0,86.0,86.0,87.2,69.8,638.640,5.567.000
"May, 2016","9,5  0,1 (1,06%)",10.0,88.0,94.0,94.0,96.0,94.0,95.0,94.5,74.6,871.310,8.230.000
"June, 2016","8,3  -0,2 (-2,35%)",9.0,8.0,85.0,83.0,86.0,83.0,83.0,84.3,67.1,345.080,2.909.000
"July, 2016","8,7  0 (0%)",93.0,81.0,87.0,87.0,88.0,86.0,87.0,86.4,68.7,124.720,1.077.000
"August, 2016","7,7  0,2 (2,67%)",8.0,7.0,75.0,75.0,77.0,75.0,77.0,75.9,60.8,384.93,2.922.000
"September, 2016","7,12  0,09 (1,28%)",75.2,65.4,70.3,70.5,71.2,70.2,71.2,70.8,56.2,87.35,619.000
"October, 2016","7,57  0,17 (2,3%)",79.1,68.9,74.0,74.5,75.7,74.1,75.7,74.8,59.8,204.01,1.527.000
"November, 2016","7,86  0,12 (1,55%)",82.8,72.0,77.4,77.6,78.9,77.3,78.6,78.0,62.1,359.53,2.734.808
"December, 2016","7,65  -0,05 (-0,65%)",82.3,71.7,77.0,77.5,77.7,76.2,76.5,76.6,60.4,116.0,888.000
"January, 2017","7,73  0,17 (2,25%)",80.8,70.4,75.6,78.7,78.7,76.3,77.3,77.6,61.0,157.96,1.225.000
"February, 2017","8,5  0 (0%)",90.9,79.1,85.0,86.0,86.9,84.9,85.0,85.8,67.1,1.082.260,9.290.000
"March, 2017","8,67  -0,14 (-1,59%)",94.2,82.0,88.1,88.1,88.5,86.7,86.7,87.4,68.5,238.610,2.086.000
"April, 2017","10,65  0,2 (1,91%)",11.15,97.2,10.45,10.45,10.8,10.4,10.65,10.63,84.7,1.440.440,15.311.000
"May, 2017","12,8  -0,05 (-0,39%)",13.7,12.0,12.85,12.8,13.2,12.5,12.8,12.87,10.21,1.652.800,21.266.000
"June, 2017","15,6  0 (0%)",16.65,14.55,15.6,15.7,15.95,15.35,15.6,15.64,12.44,954.150,14.920.000
"July, 2017","15  -0,2 (-1,32%)",16.25,14.15,15.2,15.3,15.3,15.0,15.0,15.05,11.96,676.320,10.178.000
"August, 2017","15,6  0 (0%)",16.65,14.55,15.6,15.5,15.65,15.5,15.6,15.6,12.44,706.260,11.015.000
"September, 2017","15,9  0,05 (0,32%)",16.95,14.75,15.85,15.85,15.95,15.8,15.9,15.86,12.68,641.690,10.178.000
"October, 2017","15,8  0 (0%)",16.9,14.7,15.8,15.8,15.9,15.7,15.8,15.77,12.96,243.740,3.844.000
"November, 2017","19,9  -0,65 (-3,16%)",21.95,19.15,20.55,20.7,21.55,19.8,19.9,20.47,16.32,4.459.310,91.300.000
"December, 2017","20,6  0,2 (0,98%)",21.8,19.0,20.4,20.5,20.85,20.35,20.6,20.630000000000003,16.9,1.724.040,35.569.000
"January, 2018","22,65  -1,7 (-6,98%)",26.05,22.65,24.35,25.3,26.05,22.65,22.65,25.17,18.58,11.561.780,291.007.000
"February, 2018","23,8  -0,05 (-0,21%)",25.5,22.2,23.85,23.75,23.9,23.65,23.8,23.78,19.52,1.808.170,42.998.000
"March, 2018","25,7  -0,3 (-1,15%)",27.8,24.2,26.0,26.05,26.1,25.6,25.7,25.82,21.08,1.505.920,38.881.000
"April, 2018","22,5  0,4 (1,81%)",23.6,20.6,22.1,22.2,22.5,21.5,22.5,22.18,18.46,953.640,21.154.000
"May, 2018","18,7  0,05 (0,27%)",19.95,17.35,18.65,18.85,19.4,18.7,18.7,18.94,15.34,806.370,15.271.000
"June, 2018","17,7  -0,6 (-3,28%)",19.55,17.05,18.3,18.0,18.2,17.5,17.7,17.82,14.52,1.881.390,33.758.384
"July, 2018","16  -0,2 (-1,23%)",17.3,15.1,16.2,16.2,16.6,16.0,16.0,16.28,13.12,1.237.610,20.146.000
"August, 2018","17,45  0,25 (1,45%)",18.4,16.0,17.2,17.3,17.85,17.25,17.45,17.54,15.16,1.861.800,32.660.000
"September, 2018","17,75  -0,3 (-1,66%)",19.3,16.8,18.05,18.0,18.1,17.75,17.75,17.89,15.419999999999998,2.019.590,36.139.000
"October, 2018","14,2  0,55 (4,03%)",14.6,12.7,13.65,13.75,14.2,13.75,14.2,14.080000000000002,12.34,790.110,11.125.000
"November, 2018","15,6  0,2 (1,3%)",16.45,14.35,15.4,15.5,15.6,15.3,15.6,15.48,13.56,2.038.690,31.005.950
"December, 2018","15,5  0,3 (1,97%)",16.25,14.15,15.2,15.0,16.0,15.0,15.5,15.59,13.47,4.053.030,63.263.500
"January, 2019","15,65  -0,4 (-2,49%)",17.15,14.95,16.05,16.15,16.2,15.65,15.65,15.93,13.6,741.520,11.810.000
"February, 2019","16,15  -0,35 (-2,12%)",17.05,14.85,16.5,16.55,16.6,16.1,16.15,16.31,14.52,1.284.580,20.946.000
"March, 2019","15,25  -0,15 (-0,97%)",16.45,14.35,15.4,15.65,15.65,15.2,15.25,15.32,14.29,1.183.390,18.149.700
"April, 2019","15,2  0,2 (1,33%)",16.05,13.95,15.0,15.0,15.3,15.0,15.2,15.18,14.25,1.040.780,15.797.000
"May, 2019","14,25  0 (0%)",15.2,13.3,14.25,14.35,14.35,14.05,14.25,14.19,13.36,469.280,6.657.000
"June, 2019","13,5  0,35 (2,66%)",14.05,12.25,13.15,13.1,13.5,13.0,13.5,13.24,12.65,1.069.540,14.157.000
