Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,8  -0,3 (-2,48%)",12.9,11.3,12.1,12.1,12.3,11.8,11.8,12.04,12.0,2.042.120,24.589.000
"February, 2014","5,8  0,1 (1,75%)",6.0,54.0,57.0,57.0,59.0,56.0,58.0,57.7,48.7,1.161.360,6.695.627
"March, 2014","9,4  -0,3 (-3,09%)",10.3,91.0,97.0,98.0,98.0,93.0,94.0,95.5,83.4,1.303.510,12.446.280
"April, 2014","8,9  0 (0%)",95.0,83.0,89.0,88.0,91.0,87.0,89.0,89.0,79.0,1.046.770,9.318.979
"May, 2014","7,8  -0,2 (-2,5%)",85.0,75.0,8.0,79.0,81.0,78.0,78.0,78.9,69.2,1.485.480,11.723.000
"June, 2014","8,6  0,2 (2,38%)",89.0,79.0,84.0,84.0,86.0,84.0,86.0,85.1,76.3,1.168.710,9.942.000
"July, 2014","9,7  0,2 (2,11%)",10.1,89.0,95.0,95.0,98.0,95.0,97.0,96.3,86.1,1.960.000,18.880.000
"August, 2014","10,8  -0,2 (-1,82%)",11.7,10.3,11.0,10.9,11.0,10.5,10.8,10.77,10.98,4.065.900,43.785.000
"September, 2014","11,1  0,6 (5,71%)",11.2,98.0,10.5,10.3,11.1,10.3,11.1,10.92,11.29,3.844.120,41.962.000
"October, 2014","11,4  0,2 (1,79%)",11.9,10.5,11.2,11.2,11.6,11.1,11.4,11.37,11.59,2.175.660,24.734.000
"November, 2014","12,1  -0,4 (-3,2%)",13.3,11.7,12.5,12.4,12.6,12.1,12.1,12.38,12.31,1.745.800,21.616.000
"December, 2014","9,9  0,6 (6,45%)",99.0,87.0,93.0,93.0,99.0,93.0,99.0,98.0,10.07,1.756.564,17.220.000
"January, 2015","11,5  -0,3 (-2,54%)",12.6,11.0,11.8,11.7,11.8,11.3,11.5,11.57,11.7,4.175.470,48.330.000
"February, 2015","10,5  0 (0%)",11.2,98.0,10.5,10.6,10.7,10.4,10.5,10.53,10.68,2.761.200,29.107.000
"March, 2015","9,3  0,1 (1,09%)",98.0,86.0,92.0,91.0,94.0,91.0,93.0,92.8,94.6,2.441.900,22.672.000
"April, 2015","9,1  -0,2 (-2,15%)",99.0,87.0,93.0,91.0,93.0,9.0,91.0,90.9,92.6,2.323.330,21.121.000
"May, 2015","8,8  0 (0%)",94.0,82.0,88.0,88.0,89.0,84.0,88.0,86.9,89.5,2.610.060,22.680.000
"June, 2015","8,9  -0,2 (-2,2%)",97.0,85.0,91.0,9.0,92.0,89.0,89.0,90.4,90.5,6.394.930,57.785.000
"July, 2015","7,1  -0,2 (-2,74%)",78.0,68.0,73.0,73.0,74.0,71.0,71.0,72.2,72.2,2.609.040,18.830.000
"August, 2015","6,8  -0,2 (-2,86%)",74.0,66.0,7.0,7.0,7.0,68.0,68.0,68.8,70.2,871.570,5.998.000
"September, 2015","6,6  0,1 (1,54%)",69.0,61.0,65.0,65.0,67.0,65.0,66.0,65.8,67.1,3.011.120,20.341.154
"October, 2015","8,2  0,2 (2,5%)",85.0,75.0,8.0,8.0,83.0,79.0,82.0,81.4,82.5,3.215.160,26.178.000
